Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4bJX21zvsGJELwVNf902qk,"Never Know","FREE 6LACK","6LACK",2016-11-18,249680,55,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-22T12:57:05Z,"","LVRN Records",0.645,0.571,5,-9.021,0,0.2,0.0947,0.00000332,0.185,0.184,95.223,4
spotify:track:5mv1po6d9khHzWHp0C2yBs,"Balmain Jeans","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","Kid Cudi;Raphael Saadiq",2014-02-25,327320,40,false,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:16:32Z,"neo soul,soul,retro soul","Kid Cudi/Universal Records",0.506,0.732,1,-6.294,1,0.0327,0.483,0.00133,0.0754,0.6,160,4
spotify:track:3oYod1daHuFMb2Z0FG79OE,"Expectations (feat. 6LACK)","Wow... That's Crazy","Wale;6LACK",2019-10-11,304000,46,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:16:41Z,"","MMG/Warner Records",0.523,0.408,8,-6.637,0,0.28,0.702,0,0.107,0.0872,122.159,4
spotify:track:4cQrSREMqBSvJ8ZzBZjVb8,"Mile High (feat. Travis Scott & Metro Boomin)","Assume Form","James Blake;Travis Scott;Metro Boomin",2019-01-18,193600,64,false,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:16:51Z,"rap","Polydor Records",0.754,0.37,6,-9.854,0,0.12,0.403,0.0000622,0.107,0.228,114.941,4
spotify:track:4A5owiyEiYxDuDPvTrRCxS,"I Heard You Got Too Litt Last Night","Collection One","SAINt JHN",2018-03-30,197885,0,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:17:34Z,"","Godd Complexx/HITCO",0.788,0.549,5,-7.492,1,0.0445,0.0524,0.00000524,0.101,0.367,134.964,4
spotify:track:6wM1atku9wXDgiYfxU8l0X,"Alive","Play by Play","Norman Perry",2018-01-13,138300,32,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:17:45Z,"trap soul,dark r&b","Norman Perry / EMPIRE",0.697,0.288,10,-10.397,0,0.0477,0.0102,0.156,0.111,0.134,99.992,4
spotify:track:4S7YHmlWwfwArgd8LfSPud,"L$D","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,238314,76,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:17:56Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
spotify:track:7GYoEbez6qFszDiEmiuBEb,"Stop Playin'","Stop Playin'","THEY.",2019-08-21,178680,41,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:18:35Z,"","Mind of a Genius/Warner Records",0.702,0.557,1,-5.298,0,0.0639,0.0286,0.0000937,0.0747,0.292,161.987,4
spotify:track:3eekarcy7kvN4yt5ZFzltW,"HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",2019-10-04,175720,85,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:18:04Z,"rap","Cactus Jack/Epic",0.598,0.427,7,-8.764,0,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
spotify:track:1Ci4wASMY4xtKVMeHA6Sd5,"through the late night","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,286235,67,true,lfb073qkdikn10rrcxx8fmzbp,2019-10-20T22:18:11Z,"rap","Cactus Jack / Epic",0.744,0.589,5,-1.218,0,0.0359,0.36,0,0.119,0.242,127.051,4
