Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1LO04pi6Ns31FIte9OCJrg,"Wilted Flower","Wilted Flower","Heritiér",2026-05-01,139305,28,false,antoniosmith247,2026-06-01T22:23:16Z,"dark r&b","Suncollective",0.634,0.338,8,-11.012,1,0.0404,0.441,0.0000448,0.132,0.153,117.999,4
spotify:track:75rjpPPUrJoFcuVoAkkImF,"draggin' my feet!","draggin' my feet!","Jahson Paynter",2026-03-18,132587,43,false,antoniosmith247,2026-04-15T18:24:10Z,"","Jahson Paynter",0.473,0.329,6,-10.266,1,0.0624,0.838,0.00000515,0.0936,0.366,86.149,4
spotify:track:5CVH4yjJy1Nhr1G51UBG7e,"the one","the one","Gabriel Jacoby",2025-09-19,146361,52,false,antoniosmith247,2025-12-24T03:24:12Z,"","PULSE Records",0.616,0.7,7,-4.218,1,0.365,0.256,0.00271,0.136,0.763,203.449,4
spotify:track:6mOHbyx4tBgAgkvuGRB1OC,"angie","i don't mind floating","Humble the Great",2024-10-17,175314,47,false,antoniosmith247,2026-03-12T18:36:44Z,"uk r&b","Neighbourhood",0.458,0.547,10,-7.281,1,0.0654,0.211,0.0000302,0.145,0.508,118.752,4
spotify:track:2auiFrBxH5jWD2wIw4pqTh,"EXPECTATIONS","EXPECTATIONS","Agasha",2026-03-06,168000,12,false,antoniosmith247,2026-05-26T12:33:59Z,"","Mutesasira",0.635,0.297,5,-12.218,1,0.0528,0.658,0,0.152,0.19,139.739,4
spotify:track:5rp6f6CiXVjpZ09u0BHeeN,"LET U LEAD (with Billy Lemos)","LET U LEAD (with Billy Lemos)","Noah Guy;Billy Lemos",2024-05-24,150857,57,false,antoniosmith247,2024-11-08T03:50:49Z,"bedroom pop","is it real LLC",0.638,0.533,5,-9.747,0,0.0312,0.296,0.0058,0.109,0.537,139.964,4
spotify:track:4JapZZgYFnhYQbZq1JQl4f,"Connoisseur","WARM","Nami",2025-05-09,189973,35,false,antoniosmith247,2026-01-10T01:24:32Z,"","ONDAS under exclusive license to gamma.",0.548,0.637,7,-8.116,1,0.0683,0.298,0,0.113,0.352,79.86,4
spotify:track:6xRPYdFsgRiueld8r6pwBu,"RUNTIME","STILL LIFE","Renao",2025-10-10,156040,8,true,antoniosmith247,2025-11-12T16:47:47Z,"","D36/Sony Music Entertainment",0.572,0.274,5,-11.135,0,0.0735,0.816,0,0.11,0.459,138.712,4
spotify:track:3P0shCddp7QPyyy8HwixkO,"Rain","Rain","Chillday Babe",2026-05-22,147272,7,false,antoniosmith247,2026-06-16T12:18:44Z,"alternative r&b","Chillday Creations",0.653,0.512,1,-11.74,1,0.0731,0.085,0.0148,0.197,0.496,88.268,4
spotify:track:7qJRRPkLoOfjD3vYRrF4T4,"maple brown","maple brown","Jahson Paynter",2025-08-27,179342,52,false,antoniosmith247,2025-10-08T12:45:50Z,"","Jahson Paynter",0.734,0.667,1,-7.15,1,0.156,0.56,0.0000125,0.108,0.2,102.163,4
spotify:track:40ZUYrNTx4WAWN39VkrCOW,"Stay Tru","The Jungle Is The Only Way Out","Mereba",2019-02-27,237853,56,true,antoniosmith247,2025-04-02T01:04:17Z,"alternative r&b","Interscope Records",0.541,0.364,4,-11.715,1,0.0802,0.863,0.0000933,0.117,0.341,150.077,4
spotify:track:6OpU3cvY19M2hFxTbLKy5L,"Juno","Honeybloom","Choker",2018-08-03,231680,50,true,antoniosmith247,2025-01-25T18:36:19Z,"alternative r&b","Jet Fuzz",0.438,0.266,7,-12.863,1,0.0363,0.922,0.000298,0.148,0.116,120.075,4
spotify:track:2B0p9p2bBzB9MnfWIeCbzq,"concrete","concrete","Orion Sun",2021-10-13,212000,51,true,antoniosmith247,2026-01-26T16:02:41Z,"alternative r&b,bedroom pop","Mom+Pop Music",0.724,0.599,0,-7.026,1,0.103,0.5,0.00275,0.1,0.879,147.983,4
spotify:track:0rBlYpV9Bv5JKbLem8wsEO,"deja vu","deja vu","Grace Spidell",2026-04-24,154687,17,false,antoniosmith247,2026-05-12T22:56:29Z,"","Grace Spidell",0.444,0.421,6,-15.732,1,0.0687,0.688,0.0468,0.1,0.359,60.141,4
spotify:track:7MxpqTXsSjZqeqjNEpMMdt,"Haste","Haste","Iyasu",2026-03-27,186352,15,false,antoniosmith247,2026-03-31T21:10:34Z,"alternative r&b","6493847 Records DK2",0.279,0.372,5,-10.887,1,0.0339,0.76,0,0.133,0.35,169.999,3
spotify:track:1d2JohKRdWb7Xrf280KIJh,"Vibe Witchu","Vibe Witchu","Kimiesha Jones",2025-09-19,150389,5,false,antoniosmith247,2026-07-02T18:26:14Z,"","Kimmunity Inc.",0.729,0.377,7,-7.209,1,0.0534,0.492,0.0000641,0.114,0.245,120.993,4
spotify:track:664MJsq4TZayFA27WVFl2L,"comeover","comeover","Torne",2025-03-28,87032,14,false,antoniosmith247,2026-01-21T19:27:23Z,"alternative r&b","Torne",0.73,0.251,3,-13.792,0,0.0512,0.917,0.0263,0.156,0.505,90.814,4
spotify:track:4fbefFotDPrNc8JnrwcxY2,"What If","What If","Ady Suleiman",2025-12-11,151746,25,true,antoniosmith247,2025-12-17T16:26:18Z,"","Ady Suleiman",0.648,0.724,11,-6.133,0,0.0726,0.224,0.708,0.0798,0.902,182.109,4
spotify:track:7LuTfLUYXH4S1gNWn7XJcM,"GIVE ME UP","TAMPERED HEARTS","SAÍ!;natameley",2026-03-27,178581,6,false,antoniosmith247,2026-06-16T12:02:37Z,"melodic rap","SAÍ",0.716,0.233,8,-15.211,1,0.0468,0.594,0.00117,0.0986,0.716,147.911,4
spotify:track:1DIZoYL8tGHnqN6ainEaEj,"Destiny'sProphecy Pt II","AfterHours","TrackStarMark;Kimi;BRNDN",2026-07-03,77162,0,false,antoniosmith247,2026-07-03T21:48:52Z,"soca","TrackStarStudio",0.499,0.442,7,-11.236,1,0.125,0.356,0,0.187,0.475,124.109,5
