Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5hR0wTnydz6lmErOV4c0sp,"Losing You","Losing You","Solange",2012-10-02,260398,75,false,david.barajas22,2026-05-03T05:04:43Z,"alternative r&b,neo soul","Terrible Records",0.736,0.798,0,-6.174,1,0.127,0.0579,0.0681,0.161,0.464,113.996,4
spotify:track:1fOkmYW3ZFkkjIdOZSf596,"Pink Matter","channel ORANGE","Frank Ocean;André 3000",2012-07-10,268813,82,true,david.barajas22,2026-05-03T05:04:06Z,"ambient jazz","Red Zone Entertainment / IDJ",0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,3
spotify:track:3PFaFVWq5wucLu6s4baj9D,"Girl (feat. KAYTRANADA)","Ego Death","The Internet;KAYTRANADA",2015-06-26,416322,65,true,david.barajas22,2026-05-03T05:05:58Z,"alternative r&b,neo soul","Odd Future",0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,4
spotify:track:1x3S3LYn5wqKHPzfUiqsj1,"Go Deep","The Velvet Rope","Janet Jackson",1997-10-07,282026,56,false,david.barajas22,2026-05-03T05:03:05Z,"new jack swing","Virgin Records",0.885,0.55,8,-6.518,0,0.0555,0.0259,0.018,0.266,0.822,102.09,4
spotify:track:0y60itmpH0aPKsFiGxmtnh,"Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,87,false,david.barajas22,2026-06-06T04:11:18Z,"","Roc Nation W Smith P&D",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
spotify:track:75pAfYEpRXZf7GVORGhOgz,"Fallen","Moodring","Mýa",2003-01-01,214600,53,false,david.barajas22,2026-05-03T05:03:01Z,"","A&M",0.669,0.61,1,-8.217,1,0.0457,0.119,0.0000275,0.53,0.428,94.439,4
spotify:track:2igNvPf7RLTZG688Mx8GtU,"girl, get up. (feat. SZA)","girl, get up. (feat. SZA)","Doechii;SZA",2025-12-30,188600,72,true,david.barajas22,2026-06-14T03:46:44Z,"r&b","Top Dawg Entertainment/Capitol Records",0.648,0.774,11,-7.13,0,0.242,0.209,0.0000771,0.35,0.436,93.222,4
spotify:track:7vVX3wpEUV5iUJFVUfKSpc,"Make It Work","Majid Jordan","Majid Jordan",2016-02-05,224373,42,false,david.barajas22,2026-06-06T03:59:29Z,"","OVO Sound",0.75,0.643,4,-7.43,1,0.0534,0.00275,0.00291,0.146,0.343,107.014,4
spotify:track:1JVDTuD60L2oSz9D6TlQiq,"D.D.","Trilogy","The Weeknd",2012-11-13,274434,55,false,david.barajas22,2026-06-04T23:08:26Z,"","The Weeknd/Lyric",0.678,0.661,7,-6.681,0,0.0854,0.691,0,0.64,0.435,119.979,4
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,88,true,david.barajas22,2026-05-03T05:15:36Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
