Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WFgvKVfEhb3IUAFGrutTR,"Love Me Not","Bird's Eye","Ravyn Lenae",2024-08-09,213466,92,false,,1970-01-01T00:00:00Z,"alternative r&b,indie soul","Atlantic Records",0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:0JXXNGljqupsJaZsgSbMZV,"Sure Thing","All I Want Is You","Miguel",2010-11-30,195373,89,false,,1970-01-01T00:00:00Z,"r&b","Jive",0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
spotify:track:3GZD6HmiNUhxXYf8Gch723,"Lost","channel ORANGE","Frank Ocean",2012-07-10,234093,86,true,,1970-01-01T00:00:00Z,"","Red Zone Entertainment / IDJ",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4
spotify:track:1eTaznNW4Xxtx9za2SMTXB,"DENIAL IS A RIVER","Alligator Bites Never Heal","Doechii",2024-08-30,159586,78,true,,1970-01-01T00:00:00Z,"","Top Dawg Entertainment/Capitol Records",0.825,0.644,6,-3.24,0,0.33,0.0905,0,0.0795,0.622,93.292,4
spotify:track:6bNbBrBcbkk1YVPpVJcDX5,"Daddy's Not The One","Dirty Blues Princess","KELS",2026-06-12,193466,49,false,,1970-01-01T00:00:00Z,"","KELS",0.801,0.488,5,-6.856,0,0.0401,0.452,0.00000157,0.249,0.783,112.965,4
spotify:track:5BQf3eyCsoSP5jNGx9sPdD,"You Want My Love","You Want My Love","Earth, Wind & Fire;Lucky Daye",2021-08-20,194373,48,false,,1970-01-01T00:00:00Z,"funk,disco","UME Direct",0.609,0.746,5,-5.429,0,0.0814,0.0185,0,0.306,0.629,80.967,4
spotify:track:2VjXGuPVVxyhMgER3Uz2Fe,"Ex-Factor","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,326533,79,false,,1970-01-01T00:00:00Z,"neo soul","Ruffhouse/Columbia",0.593,0.619,3,-9.003,0,0.0976,0.118,0,0.484,0.668,80.02,4
spotify:track:1MCem6JigI6jgQPMgriKbU,"Tyrone - Live","Live","Erykah Badu",1997-11-18,221866,55,true,,1970-01-01T00:00:00Z,"neo soul,r&b","Kedar",0.464,0.598,1,-10.051,0,0.112,0.0241,0.000026,0.977,0.353,130.373,3
spotify:track:2hNLKzFe1yvgYbqxYOxIja,"A Good Day","A Good Day","Urban Mystic",2025-07-03,225000,22,false,,1970-01-01T00:00:00Z,"neo soul","SoBe Entertainment",0.785,0.504,11,-6.301,1,0.0436,0.22,0,0.148,0.784,111.921,4
spotify:track:177Gk50xMUz4QMiEXLARFP,"If You Want Me To Stay (with Anthony Ramos)","If You Want Me To Stay (with Anthony Ramos)","Ari Lennox;Anthony Ramos",2020-09-03,187605,36,false,,1970-01-01T00:00:00Z,"alternative r&b,neo soul","Dreamville/Interscope Records and Anthony Ramos/Republic Records",0.592,0.473,0,-8.543,1,0.11,0.0156,0.00000177,0.297,0.419,203.783,4
spotify:track:7cDzBhJUEu5LYcsCwWPSzg,"This Could Be Us","Art Official Age","Prince",2014-09-30,312229,31,false,,1970-01-01T00:00:00Z,"funk rock,funk","Legacy Recordings",0.748,0.55,6,-6.428,1,0.0739,0.145,0,0.111,0.362,142.068,4
