Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nexAvWNhwg51EavnDgViy,"Toxic","It Was Good Until It Wasn't","Kehlani",2020-05-08,168182,69,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T05:21:03Z,"","TSNMI / Atlantic",0.653,0.453,7,-5.395,0,0.0351,0.307,0.00101,0.113,0.0405,111.737,4
spotify:track:7r1MqPAD09w24mCUUbxiCI,"Make You Mine","Give Or Take","GIVĒON",2022-06-24,200192,67,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:14Z,"r&b","Epic",0.551,0.37,5,-10.194,0,0.0551,0.87,0,0.122,0.241,137.265,4
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,"Snooze","SOS","SZA",2022-12-09,201800,89,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:53:12Z,"r&b","Top Dawg Entertainment/RCA Records",0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
spotify:track:1Mza2sr6tPhy6jjI3HB9fW,"Hold Me Down","Freudian","Daniel Caesar",2017-08-25,231267,4,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:41Z,"","Golden Child Recordings",0.463,0.427,8,-9.799,0,0.0549,0.628,0.000565,0.0911,0.231,116.059,4
spotify:track:2xZ0zfuDTv5LxLhEgD82PG,"Awkward","Ctrl (Deluxe)","SZA",2022-06-09,178000,72,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:39Z,"r&b","Top Dawg Entertainment/RCA Records",0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,4
spotify:track:0h1ednFFd4xK5SCO8mXNOe,"Tryna Be","Give Or Take","GIVĒON",2022-06-24,170653,60,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:35Z,"r&b","Epic",0.637,0.242,1,-12.556,0,0.0513,0.524,0,0.204,0.281,131.993,3
spotify:track:4f62eIiule4nIWnHOcbjA6,"Outside","Outside","Bryson Tiller",2022-09-08,188579,34,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:37Z,"trap soul,r&b","TrapSoul/RCA Records",0.606,0.523,1,-7.662,1,0.113,0.147,0,0.122,0.725,97.779,4
spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"I Was Never There","My Dear Melancholy,","The Weeknd;Gesaffelstein",2018-03-30,241066,84,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:33Z,"","The Weeknd/Lyric",0.323,0.737,10,-4.008,1,0.0335,0.14,0.000162,0.163,0.156,112.923,4
spotify:track:62d6YXEYxmMWAuLpw1EysL,"Garden Kisses","Garden Kisses","GIVĒON",2018-08-08,195405,71,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:38Z,"r&b","Medium, Blossum Entertainment, & Twenty Rules",0.478,0.373,5,-9.505,1,0.0317,0.915,0.00000636,0.128,0.354,120.129,4
spotify:track:4t5Zj9I7WDYFaYlSif13lV,"Insecure","A.M. Paradox","Brent Faiyaz",2016-09-20,245619,62,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:45Z,"r&b","Lost Kids, LLC",0.534,0.306,11,-11.341,0,0.0659,0.507,0,0.591,0.379,139.823,4
spotify:track:1WMatlc8gIq9bLd6bDeabo,"pray slow","It'll Be Fine","Chase Shakur",2022-06-24,202103,0,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:46Z,"dark r&b,r&b","Forever N September",0.433,0.341,1,-11.428,1,0.171,0.664,0.0182,0.707,0.312,119.911,4
spotify:track:6qBFSepqLCuh5tehehc1bd,"Like I Want You","TAKE TIME","GIVĒON",2020-03-27,260776,78,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:48Z,"r&b","Epic/Not So Fast",0.678,0.355,10,-7.757,0,0.0627,0.759,0.0000706,0.114,0.438,119.772,3
spotify:track:2QfznFotJNZmnIEYFdzE5T,"Heartbreak Anniversary","Heartbreak Anniversary","GIVĒON",2020-02-21,196794,74,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:51Z,"r&b","Epic/Not So Fast",0.624,0.457,0,-8.876,1,0.0494,0.557,0,0.128,0.586,129.758,4
spotify:track:3XgGQ1wjo5khvq2UImjyNF,"ALL MINE","WASTELAND","Brent Faiyaz",2022-07-08,216062,79,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:56Z,"r&b","Lost Kids LLC., Marketed by Venice / Stem",0.617,0.378,9,-8.54,1,0.0315,0.428,0.0000916,0.11,0.22,141.967,4
spotify:track:3LRbalLzZcuvSR6jVnqclh,"Meet Me in Amsterdam","After the Sun","RINI",2018-10-31,301448,55,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:51:58Z,"","Warner Records",0.62,0.265,9,-10.409,0,0.0345,0.281,0.0000102,0.114,0.169,106.022,3
spotify:track:6WzRpISELf3YglGAh7TXcG,"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","Popular (Music from the HBO Original Series)","The Weeknd;Playboi Carti;Madonna",2023-06-02,215466,84,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:01Z,"rage rap","XO / Republic Records",0.854,0.674,1,-6.23,1,0.184,0.0517,0.0000853,0.509,0.848,99.022,4
spotify:track:2J6OF7CkpdQGSfm1wdclqn,"Clouded","Fuck The World","Brent Faiyaz",2020-02-07,110128,77,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:03Z,"r&b","Lost Kids",0.583,0.344,2,-8.765,1,0.0559,0.774,0,0.143,0.581,65.203,3
spotify:track:74fQgHleHZ4V7Gm1XYcGkj,"One Night Only","One Night Only","Sonder",2018-02-09,195909,80,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:04Z,"dark r&b,r&b","Sonder Global / Human Re Sources",0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,4
spotify:track:1Ky8xo7X6SeebLT1Co4RXX,"Remind Me","Give Or Take","GIVĒON",2022-06-24,204489,55,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:05Z,"r&b","Epic",0.473,0.424,6,-11.019,1,0.0418,0.897,0.000135,0.12,0.457,90.034,4
spotify:track:39KG4kom3enSx4GTThuDGt,"Coaster","American Teen","Khalid",2017-04-27,199121,65,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:06Z,"","Right Hand Music Group, LLC/RCA Records",0.441,0.219,8,-14.586,1,0.0419,0.935,0,0.115,0.244,94.021,4
spotify:track:2Xr1dTzJee307rmrkt8c0g,"love nwantiti (ah ah ah)","CKay The First","CKay",2019-08-30,145800,78,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:09Z,"afrobeats,afrobeat,afro r&b,afropop","Chocolate City Music",0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,4
spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Idol Episode 4 (Music from the HBO Original Series)","The Weeknd;JENNIE;Lily-Rose Depp",2023-06-23,244684,93,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:11Z,"k-pop","XO / Republic Records",0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
spotify:track:3GZD6HmiNUhxXYf8Gch723,"Lost","channel ORANGE","Frank Ocean",2012-07-10,234093,86,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:15Z,"","Red Zone Entertainment / IDJ",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4
spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,"Bad Habit","Bad Habit","Steve Lacy",2022-06-29,232114,74,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:15Z,"","L-M Records/RCA Records",0.686,0.507,1,-7.097,1,0.0357,0.626,0.0000751,0.383,0.69,168.955,4
spotify:track:6fRgjqJptZry7fipP2Beyh,"Montreal","Trilogy","The Weeknd",2012-11-13,250520,55,false,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:16Z,"","CP Records",0.517,0.803,5,-4.459,0,0.124,0.0441,0.0000174,0.424,0.155,183.917,4
spotify:track:4sMmYKC0ot3GTbl2RzHw7T,"And This is Just The Intro","PLAYBOY","Tory Lanez",2021-03-05,326813,71,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:17Z,"","One Umbrella Records",0.53,0.517,5,-9.253,0,0.399,0.387,0,0.176,0.381,137.554,4
spotify:track:6ydWxkzjDktHsTzvWcaZ1i,"In For It","In For It","Tory Lanez;RL Grime",2015-01-15,293306,76,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:23Z,"edm trap,future bass,edm","Benny Blanco Major",0.383,0.531,5,-7.814,0,0.0741,0.0753,0.000102,0.108,0.0375,105.971,4
spotify:track:2E6S3NgbSG9NYwbdi6rWYB,"Morning","Morning","Teyana Taylor;Kehlani",2019-11-01,253946,50,true,qo6rqy7mdblflyegpk0z8sxhl,2024-01-11T04:52:54Z,"","Getting Out Our Dreams, Inc./Def Jam Recordings",0.579,0.632,3,-7.732,0,0.0918,0.677,0,0.0892,0.76,120.262,3
