Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fAhY1tVGHTfWADAyRbOMp,"MY FEET","MY FEET","Khal!l",2026-06-12,291500,49,false,,2026-06-21T21:45:09Z,"","I, Am Khalil LLC under exclusive license to Roc Nation Distribution",0.652,0.379,5,-11.018,1,0.163,0.84,0.00114,0.134,0.0564,120.107,4
spotify:track:3SoarlzPEiF7NgSeGsh44S,"the feeling","the feeling","Steve Lacy",2026-06-05,275936,83,true,,2026-06-21T21:45:09Z,"","L-M Records/RCA Records",0.577,0.655,0,-8.013,0,0.0335,0.125,0.0245,0.0823,0.459,85.986,4
spotify:track:5yE7OnSteFeItR1YlmV9WI,"Wishing Well","Wishing Well","Duckwrth",2026-06-19,232320,53,true,,2026-06-21T21:45:09Z,"","Them Hellas/The Blind Youth",0.462,0.385,8,-8.517,0,0.0548,0.658,0.0131,0.104,0.358,62.921,4
spotify:track:3FqJdAxQaJBjLPQAbf7tPS,"Beautiful Things 1st scene/audition","UNDRA","reggie",2026-05-29,169784,42,false,,2026-06-21T21:45:09Z,"","Reginald Helms/RCA Records",0.347,0.3,9,-10.006,1,0.0597,0.672,0.000615,0.376,0.382,75.182,5
spotify:track:5V589jlf5pbV2CYFeUJyI8,"Find Me","Find Me","Dahi;Moses Sumney;Mez",2026-06-05,213346,49,false,,2026-06-21T21:45:09Z,"art pop,indie soul","ALTER Music LLC",0.618,0.883,10,-6.874,0,0.124,0.116,0.00705,0.122,0.491,114.039,4
spotify:track:4715gj4rHnRupk6HAnDUus,"Firestorm","Of Earth & Wires","Dua Saleh",2026-05-15,149720,49,false,,2026-05-15T07:04:17Z,"alternative r&b","Ghostly International",0.705,0.516,8,-5.77,1,0.247,0.113,0.0000906,0.0603,0.716,179.786,4
spotify:track:2E0cEkMXWGKOA1wZx48IG5,"I Can See","I Can See","Nick Hakim",2026-06-10,344041,55,false,,2026-06-21T21:45:09Z,"indie soul","Earseed Records",0.593,0.443,1,-10.59,0,0.0644,0.34,0.014,0.0731,0.28,76.951,4
spotify:track:0jlOdZleCUed8nv4LcLjjU,"outta time","outta time","Kelela;A. K. Paul",2026-06-16,251173,60,true,,2026-06-21T21:45:09Z,"alternative r&b","Warp Records",0.452,0.459,0,-9.796,1,0.0668,0.279,0.00000574,0.109,0.153,101.464,1
spotify:track:7EMXZO6LkLU4HBsBB9LZjt,"Crashing Out!","Crashing Out!","CARI",2026-05-28,153312,41,false,,2026-06-21T21:45:09Z,"uk r&b","CARI",0.382,0.659,7,-5.541,1,0.0669,0.302,0.0000064,0.464,0.145,117.684,4
spotify:track:5E1QRJE50r50eyQhMIVXmk,"100 Years","PINE","James Savage",2026-05-13,234398,43,false,,2026-05-15T07:04:17Z,"","Private Garden Records",0.59,0.315,2,-10.769,0,0.143,0.782,0.00239,0.117,0.695,78.856,4
spotify:track:62PpNCrIep6clOAMg2gKt7,"Wide Eyed","Wide Eyed","Mack Keane",2026-05-08,202911,52,false,,2026-05-08T06:11:38Z,"","broke",0.745,0.515,6,-7.447,0,0.0788,0.436,0.00001,0.101,0.59,99.986,4
spotify:track:0pRenJTb7hbHm4zExJvC4Z,"Very Bad News","Traditional Noise","April + VISTA",2026-04-22,201848,32,false,,2026-04-24T04:14:21Z,"alternative r&b","Third & Hayden Recordings",0.261,0.767,5,-6.765,1,0.0403,0.00045,0.695,0.156,0.345,74.971,4
spotify:track:3CElLbVHAx5oqgDozDdpwR,"tangerine!","tangerine!","Jahson Paynter",2026-04-08,158117,45,true,,2026-04-17T06:06:32Z,"","Jahson Paynter",0.33,0.372,7,-10.232,1,0.0314,0.768,0.000659,0.109,0.228,170.525,4
spotify:track:3jjIOrKthJeLRtjwTKROfj,"SPLINTER","Splinter","F3miii",2026-04-17,173538,61,false,,2026-04-17T06:06:32Z,"","PlantainSound",0.426,0.637,8,-6.876,0,0.0362,0.0291,0.00000544,0.218,0.516,122.835,1
spotify:track:0jr6HPls0E2oy8fY4Cn4JD,"Arthur (feat. DERBY)","PATINA","Casper Sage;Derby",2026-05-01,193725,40,false,,2026-05-08T06:11:38Z,"alternative r&b,indie r&b","Free Lunch/Warner Records",0.557,0.738,1,-7.326,1,0.0487,0.0558,0,0.0909,0.461,139.645,4
spotify:track:3CZ0ba4RIVdv40FbjHpOEA,"idk idk","idk idk","Jim Legxacy",2026-03-24,146526,62,false,,2026-03-27T06:30:33Z,"uk r&b","(!)",0.566,0.701,8,-3.839,1,0.0855,0.0881,0.00115,0.234,0.452,126.456,3
spotify:track:3y4LIpilnLA8w3Tu3fhkni,"wool","Mr. Lovebomb","Isaia Huron",2026-04-10,220129,45,false,,2026-04-17T06:06:32Z,"alternative r&b","ITOLA LLC/Slang/RCA Records",0.527,0.615,6,-5.53,1,0.318,0.0387,0.0000508,0.175,0.6,170.184,4
spotify:track:0iAj8Y4ZSdezYNsqDjiFpd,"Gemini Eyes","Gemini Eyes","Arima Ederra",2026-03-03,299520,29,false,,2026-03-06T06:14:13Z,"","RCA Records Label",0.445,0.331,7,-10.605,0,0.0255,0.8,0.217,0.0901,0.175,84.395,4
spotify:track:52T8TTMESX21406wvTdQDY,"Trying Times","Trying Times","James Blake",2026-03-13,273805,61,false,,2026-03-13T08:17:11Z,"","Good Boy",0.596,0.351,4,-10.139,1,0.0301,0.786,0.00745,0.156,0.304,137.747,4
