Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2VMJkgrhqfOOYBlZif2nvX,"She Wants My Money","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,133560,46,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:12:57Z,"","Columbia",0.704,0.478,9,-6.562,1,0.047,0.771,0.000516,0.0875,0.42,128.789,4
spotify:track:0psWKCR3qW2qqyCTAbCFtO,"CRYBABY :*(","CRYBABY :*(","Dijon",2019-11-01,168746,43,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:13:38Z,"","Dark Green, Dark Green",0.76,0.596,2,-8.902,1,0.193,0.54,0.000257,0.354,0.704,90.021,4
spotify:track:0smaFg1bQ4imeJrWn5F2iX,"Drnuk","HAN","Berhana",2019-10-18,186293,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:13:53Z,"","EQT Recordings, LLC",0.655,0.442,9,-11.985,1,0.108,0.394,0.00194,0.0808,0.189,100.953,4
spotify:track:0afGLa6wcYiLLXFZ48ZQpY,"Thunder","Cat Heaven","Roy Blair",2017-12-08,313663,48,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:14:13Z,"bedroom pop","ROY / EMPIRE",0.667,0.316,0,-9.132,1,0.0262,0.0292,0.00613,0.147,0.156,100.998,4
spotify:track:2cUV93Y7FLGR42ycRRf0bL,"Drunk","Drunk","Dijon",2019-02-27,191750,49,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:14:27Z,"","Dark Green, Dark Green",0.472,0.431,10,-6.593,1,0.0614,0.0687,0,0.215,0.284,123.799,4
spotify:track:44ashym52bERKclJsKt3Db,"Okok (Hibachi)","Valley Hopefuls","Jordan Ward",2019-06-07,133152,0,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:15:00Z,"alternative r&b","Live Help LIve / Artium Recordings, LLC",0.894,0.475,11,-8.346,1,0.131,0.309,0.000138,0.111,0.571,144.202,4
spotify:track:6E6n27YzMs6wbiYnERsj3k,"Plus","Plus","Peach Tree Rascals",2019-02-07,272718,0,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:15:17Z,"","Homemade Projects, LLC / TenThousand Projects, LLC",0.567,0.287,1,-11.219,1,0.281,0.877,0.00000269,0.0925,0.564,178.068,4
spotify:track:1rpQJ5vH0wjL8EtSA7ZITQ,"Chicago Diner","Chicago Diner","Kota the Friend",2018-08-01,176000,0,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:15:32Z,"","Fltbys",0.843,0.559,6,-7.876,1,0.0592,0.577,0.0000235,0.105,0.42,133.02,4
spotify:track:0Dcv1cRaS8sEUYzjHNhHBr,"SOS","SOS","McClenney",2019-02-19,187241,36,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:15:50Z,"alternative r&b","Haven",0.7,0.316,4,-10.26,1,0.0384,0.562,0.00429,0.116,0.55,72.936,4
spotify:track:66H0yX3dWnODauOIwlBBHq,"E30","E30","Ryan Trey",2019-04-26,180414,29,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:16:01Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.73,0.557,11,-10.61,1,0.313,0.375,0,0.476,0.438,114.587,5
spotify:track:37b1KAbfOZeBzeMB0LGO3g,"Napkins","Napkins","RIZ LA VIE",2018-02-23,215625,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:16:16Z,"stutter house","Human Re Sources",0.738,0.443,0,-8.975,0,0.387,0.437,0.00000147,0.106,0.666,144.14,4
spotify:track:19YKaevk2bce4odJkP5L22,"Nikes","Blonde","Frank Ocean",2016-08-20,314075,72,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:16:27Z,"","Boys Don't Cry",0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,4
spotify:track:3DNsBFRbQWxygrn4UsqvTF,"Stoop So Low","Stoop So Low","Alextbh",2016-11-07,197938,38,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:16:40Z,"","Alextbh",0.426,0.397,4,-9.089,0,0.0546,0.67,0,0.109,0.335,87.424,1
spotify:track:43IjtK3IEEyTM5Ek32a2Pr,"Brakelights","Brakelights","Omar Apollo",2017-08-08,168387,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:16:55Z,"bedroom pop","Omar Apollo",0.695,0.42,7,-7.735,1,0.0385,0.597,0.0222,0.0839,0.257,124.019,3
spotify:track:4eULGB0zI7NIdV2KjWbbiZ,"Mood (feat. Zacari)","Chasing Summer","SiR;Zacari",2019-08-30,191360,0,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:17:29Z,"alternative r&b,neo soul","Top Dawg Entertainment/RCA Records",0.599,0.686,8,-5.951,1,0.0422,0.0177,0.00105,0.0929,0.663,148.009,4
spotify:track:5E6zbMYOYpTe1tg9Fa8OzW,"Fill Me Up Anthem","Fill Me Up Anthem","Gus Dapperton",2019-03-14,276870,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:17:43Z,"bedroom pop","Gus Dapperton",0.562,0.591,8,-2.981,1,0.0275,0.393,0,0.113,0.531,130.99,4
spotify:track:4OTzYYMAUUV30VRCZSbmJ2,"Bull Fighter","Bull Fighter","Jean Dawson",2018-05-25,257691,17,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:17:57Z,"","Handwritten Records",0.395,0.716,2,-5.908,1,0.0598,0.517,0.00171,0.208,0.408,79.189,4
spotify:track:6FBzhcfgGacfXF3AmtfEaX,"C U Girl","C U Girl","Steve Lacy",2015-02-15,129697,79,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:18:13Z,"","L-M Records",0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100,4
spotify:track:1NlGXcWeUSe1s3IgRKcqmB,"Antidote","A Collection of Fleeting Moments and Daydreams","Orion Sun",2020-01-06,169822,59,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:18:24Z,"alternative r&b,bedroom pop","orion sun",0.645,0.786,1,-3.995,1,0.188,0.173,0,0.137,0.452,81.917,4
spotify:track:4p1Er46wDz4zGQI7Sxor3W,"Unbothered","Unbothered","Omar Apollo",2018-01-06,124954,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:18:34Z,"bedroom pop","Omar Apollo",0.641,0.487,2,-7.098,1,0.03,0.271,0.00223,0.133,0.322,108.933,4
spotify:track:6OpU3cvY19M2hFxTbLKy5L,"Juno","Honeybloom","Choker",2018-08-03,231680,50,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:18:47Z,"alternative r&b","Jet Fuzz",0.438,0.266,7,-12.863,1,0.0363,0.922,0.000298,0.148,0.116,120.075,4
spotify:track:7w0lCrXGoUj5b8DgW5wZlx,"Petrol Bliss","Mono No Moto","Choker",2019-01-25,189295,44,true,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:18:57Z,"alternative r&b","Jet Fuzz",0.778,0.291,0,-10.355,1,0.106,0.84,0.0000823,0.66,0.353,142.015,4
spotify:track:6KKHXbJtnJPjla3V49YPac,"Prune, You Talk Funny","Prune, You Talk Funny","Gus Dapperton",2017-12-05,212701,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:19:12Z,"bedroom pop","Gus Dapperton",0.57,0.75,10,-7.193,0,0.0383,0.0177,0.00247,0.197,0.578,140.063,4
spotify:track:5H2WmzaijYOGTHeHdM3w9P,"Nice Boys","Care","TEMPOREX",2017-01-11,180845,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:19:26Z,"bedroom pop","NBI",0.546,0.669,2,-10.806,1,0.103,0.495,0.735,0.25,0.337,75.144,4
spotify:track:75TDPu9k7Yv3IovdYaNCwk,"Cooks","Cooks","Still Woozy",2017-07-16,174105,61,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:19:37Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.45,0.583,4,-10.49,0,0.0811,0.434,0.0126,0.244,0.701,77.066,4
spotify:track:1JHOy566xSKwNPqaB9AF2i,"Tinder Song","Tinder Song","Victor Internet",2017-12-22,120375,0,false,2142rwjjwxoffmcaqqrcyw45i,2020-06-10T14:19:49Z,"bedroom pop","Victor Internet",0.619,0.459,11,-7.341,1,0.0239,0.517,0.0000253,0.0977,0.548,79.992,4
