Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4OmfWzukSVD140NiAIEjem,"Static","Gemini Rights","Steve Lacy",2022-07-15,156538,73,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:27Z,"","L-M Records/RCA Records",0.335,0.305,1,-12.661,1,0.0741,0.434,0.631,0.101,0.215,79.001,5
spotify:track:4QGITEzvSZ77PQCAp9XIkR,"Simon Says","Pigeons & Planes & Big.Ass.Kids present: See You Next Year","See You Next Year;Dreamer Isioma",2022-08-05,167586,22,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:31Z,"lo-fi indie,alternative r&b","Big.Ass.Kids",0.695,0.539,2,-7.044,1,0.0413,0.809,0,0.204,0.464,116.075,4
spotify:track:3xfz3yzwXhSQCSvJXoM7fY,"I Love You More Than You Know (feat. Childish Gambino)","Hummingbird","bLAck pARty;Childish Gambino",2022-08-05,262351,38,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:35Z,"indie soul,alternative r&b","Wolf+Rothstein/RCA Records",0.625,0.592,11,-8.034,0,0.0363,0.0971,0.073,0.119,0.217,88.04,4
spotify:track:7xW3rU5rzv4ghw0h8APxuH,"MESS U MADE","MESS U MADE","MICHELLE",2021-10-27,168542,39,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:40Z,"bedroom pop","Canvasback/ATL",0.674,0.366,4,-6.539,1,0.0381,0.341,0.0000073,0.125,0.346,126.994,3
spotify:track:125DSBjIfOOCkmyRukprZT,"Buzzed","Buzzed","¿Téo?;WILLOW",2021-06-01,159732,34,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:46Z,"","49 Digits LLC",0.599,0.484,8,-11.866,1,0.06,0.652,0.0104,0.0962,0.371,152.001,4
spotify:track:24CY4TWscXoyZRrmsQdiq1,"Bitches Be (with Jst Ray)","she / her / black bitch","Doechii;Jst Ray",2022-08-05,204440,36,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:54Z,"","Top Dawg Entertainment/Capitol Records",0.6,0.49,5,-8.701,1,0.0372,0.0577,0.0228,0.145,0.171,142.948,4
spotify:track:5EQxUpN2n5MUXtqIGbUOzk,"safety","safety","greek",2022-07-29,183600,35,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:05:58Z,"indie r&b","greek",0.437,0.309,6,-12.927,1,0.032,0.38,0,0.15,0.44,100.009,3
spotify:track:7jDIGhIvkPUbelQLpZ9j1j,"wild horses","flora + fana","Fana Hues",2022-03-25,198633,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:03Z,"alternative r&b","Bright Antenna",0.33,0.421,2,-11.467,0,0.0618,0.826,0.889,0.0688,0.151,111.275,4
spotify:track:3FmHd3XrPO1zIkPq5QvPj5,"Foolish","Foolish","Natanya",2022-04-29,228000,35,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:06Z,"uk r&b,alternative r&b","Independent",0.722,0.612,8,-9.818,0,0.239,0.255,0.000276,0.11,0.545,90.027,4
spotify:track:6OxJsaqxD7yaR35qRuhyFa,"amphetamine","amphetamine","boylife",2021-09-16,120241,34,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:10Z,"bedroom pop","boylife",0.691,0.751,8,-8.222,1,0.426,0.597,0.0165,0.0911,0.633,84.718,4
spotify:track:1ciQU7ZQGHq129m3njp9en,"dirty dancer","dirty dancer","Orion Sun",2022-02-08,169720,1,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:15Z,"alternative r&b,bedroom pop","Mom+Pop",0.702,0.525,7,-5.028,0,0.0313,0.376,0.0667,0.119,0.515,113.856,4
spotify:track:6z9AcMUgtvT5Pyb1XGlWIn,"orange","Goûter","Lou Val",2022-07-29,151578,20,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:20Z,"","DRKLY",0.574,0.507,0,-6.521,1,0.0434,0.0807,0.00778,0.08,0.411,75.924,4
spotify:track:5cbmKj0MMYHB7Z6VusQpWn,"Poster Girl","Poster Girl","Talia Goddess",2021-11-19,174330,3,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:24Z,"alternative r&b","TRANCE RECORDS",0.823,0.362,9,-7.647,1,0.0708,0.0821,0.0413,0.107,0.684,124.947,4
spotify:track:207wpnoruEx0FoLj2Z8cQj,"Ce Soir","Ce Soir","Duckwrth;Syd",2022-08-05,162222,33,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:28Z,"alternative r&b","SuperGood/The Blind Youth",0.658,0.72,1,-6.178,1,0.142,0.0152,0,0.0855,0.542,108.105,4
spotify:track:3xqtvSfofDvSMVwwSbuvKi,"careless (feat. daniel caesar)","CAPRISONGS","FKA twigs;Daniel Caesar",2022-01-14,216760,49,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:32Z,"art pop,alternative r&b","Atlantic Records",0.706,0.395,11,-6.952,0,0.0588,0.724,0.0000216,0.203,0.26,118.128,4
spotify:track:4dj5RTVztRLROh8hJi8uHl,"whelmed","allthefeels","emawk",2019-07-25,248669,38,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:37Z,"alternative r&b","emawk",0.706,0.328,5,-12.398,0,0.072,0.548,0.00333,0.298,0.502,140.05,4
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,"The Dress","Absolutely","Dijon",2021-11-05,184767,78,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:41Z,"","R&R Digital/Warner Records",0.747,0.531,8,-5.99,1,0.0477,0.266,0.0000018,0.192,0.785,88.009,4
spotify:track:0DmkBOGgEWMbUJlL6VwwF2,"Helmet","Gemini Rights","Steve Lacy",2022-07-15,201510,74,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:45Z,"","L-M Records/RCA Records",0.612,0.675,9,-6.518,0,0.0231,0.0994,0,0.217,0.763,97.04,4
spotify:track:1RJl5cZ8kFpoVFOS2x6scI,"Take Me Where Your Heart Is","The Shave Experiment (Director's Cut)","Q",2021-06-04,192896,65,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:49Z,"alternative r&b","Columbia",0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,4
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,88,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:53Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:4WaqKOyMYufVzW57VrYc6U,"Luvaroq","Luvaroq","Elujay;serpentwithfeet",2021-10-01,220781,0,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:06:58Z,"alternative r&b,indie r&b","OneTime!",0.68,0.686,1,-6.089,1,0.0285,0.04,0.0975,0.0455,0.79,142.007,4
spotify:track:3nE7KhZq3bz31I7g7hvt1v,"Power","Power","Annahstasia",2022-07-27,168175,19,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:05Z,"","Sacred Bull Records",0.366,0.263,11,-12.47,1,0.0337,0.904,0.00000105,0.127,0.11,137.311,3
spotify:track:4GlMuZ2gHZfAPxEji04pdA,"Through The Dark","YSRA","FACESOUL",2021-10-13,153000,34,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:09Z,"","COLORSxSTUDIOS",0.409,0.197,10,-13.395,0,0.0375,0.928,0.0000706,0.188,0.0562,122.065,3
spotify:track:6YY6jWYRxEcctNOepXpOVE,"Lonely As I Ever Was","Are U Down?","Spencer.",2021-09-10,233722,32,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:13Z,"bedroom pop,alternative r&b,indie r&b","4AD",0.613,0.602,2,-9.939,1,0.0734,0.172,0.00728,0.138,0.147,97.198,4
spotify:track:1Weox7JrxWlozk46HkXHTp,"sorry","sorry","UMI",2022-03-11,220199,34,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:18Z,"","UMI/Keep Cool/RCA Records",0.388,0.438,4,-12.215,1,0.137,0.624,0.00155,0.113,0.0527,89.935,4
spotify:track:2bydO0jZES9rBvSnPvYN5L,"Lemonhaze","A PawPaw Rod EP","PawPaw Rod",2021-09-15,156478,1,true,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:37Z,"indie r&b","GODMODE",0.814,0.53,2,-7.648,0,0.0589,0.415,0.00391,0.185,0.745,101.581,4
spotify:track:3Kfh2IIk7nehym6iv2Ru8P,"Last Dance","JAMIE","Montell Fish",2022-07-22,189000,32,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:41Z,"christian lo-fi","Lord’s Child, LLC",0.532,0.158,7,-15.94,0,0.0608,0.938,0.000283,0.434,0.143,159.49,3
spotify:track:6zlIN2RRLiNzitagYR44m0,"HAZY","HAZY","Kyle Dion;Tkay Maidza",2022-02-04,168746,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:45Z,"alternative r&b","Kyle Dion",0.703,0.558,5,-6.06,0,0.0799,0.265,0,0.066,0.42,85.022,4
spotify:track:4d53iJvfGbPyQGRnbtmtiW,"Leave It","What If? / Leave It","Lil Silva;Charlotte Day Wilson",2022-06-29,232500,20,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:49Z,"uk funky,ballroom vogue,alternative r&b","Nowhere Music Ltd",0.602,0.515,5,-11.397,0,0.0538,0.351,0.00179,0.167,0.4,91.573,4
spotify:track:4iVofzQL8rewHAv4uDk3GO,"celebration","Getaway","Orion Sun",2022-03-11,204653,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:53Z,"alternative r&b,bedroom pop","Mom+Pop",0.147,0.457,1,-8.907,1,0.0325,0.529,0.305,0.0927,0.321,82.239,4
spotify:track:4IVtwWBNj9NEBNR7tkXDqb,"Satellites","HYPNOS","Ravyn Lenae",2022-05-20,265680,48,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:07:57Z,"alternative r&b,indie soul","Atlantic Records",0.436,0.764,4,-6.347,0,0.0685,0.474,0.35,0.125,0.266,169.002,4
spotify:track:6LmNmPxViPRou1YAvyg1OS,"Stay High - Childish Gambino Version","Jaime (Reimagined)","Brittany Howard;Childish Gambino",2021-07-23,218400,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:01Z,"","ATO Records",0.839,0.655,9,-5.793,1,0.049,0.161,0.00026,0.153,0.754,123.004,3
spotify:track:7I2hbb8rsTvJR5PtaywRkv,"breakfast","breakfast","Fana Hues",2021-12-10,192857,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:05Z,"alternative r&b","Bright Antenna",0.678,0.263,9,-18.118,1,0.044,0.655,0.0345,0.103,0.18,90.992,3
spotify:track:3IQ6PPDCEJBRFiqUCWeyI0,"Automatic - Orion Sun Remix","Automatic (Orion Sun Remix)","Spencer.;Orion Sun",2021-04-27,124736,36,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:08Z,"bedroom pop,alternative r&b,indie r&b","4AD",0.647,0.459,6,-13.058,0,0.12,0.364,0.337,0.294,0.261,95.908,4
spotify:track:1ZjE0bbhrk7OyQftjaWUxQ,"Doctor, My Eyes","Doctor, My Eyes","Khamari",2021-11-12,194135,59,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:12Z,"indie r&b","Not specified",0.457,0.452,7,-8.321,1,0.0369,0.776,0.000107,0.22,0.535,82.603,4
spotify:track:5KzBH7THRVKCCmkMp1tazw,"moonlit room","moonlit room","UMI",2022-05-12,250679,36,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:16Z,"","UMI/Keep Cool/RCA Records",0.609,0.286,9,-13.184,1,0.0469,0.608,0.000591,0.122,0.14,151.86,3
spotify:track:4kJT7Yj6Za01KfKHjb7mZE,"Fall in Love with You.","JAMIE","Montell Fish",2022-07-22,132000,54,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:20Z,"christian lo-fi","Lord’s Child, LLC",0.538,0.0203,4,-23.163,1,0.0437,0.92,0.019,0.104,0.103,121.447,3
spotify:track:1uf4itZeNCVYDHExNH9Ov3,"pressure","Getaway","Orion Sun",2022-03-11,220893,0,false,5o8x11qqf7lxqq5f4sirhivr4,2022-08-09T03:08:25Z,"alternative r&b,bedroom pop","Mom+Pop",0.545,0.341,6,-10.742,0,0.0297,0.559,0.0207,0.105,0.293,131.847,4
