Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0KyAGiNGUytG5JLxJu4F6l,"Pretty Girl","Pretty Girl","Clairo",2017-08-04,178352,4,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:02Z,"bedroom pop","FADER Label",0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
spotify:track:1F6IbA7di42uPc3cff8PXV,"Flaming Hot Cheetos","Flaming Hot Cheetos","Clairo",2017-06-14,123884,6,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:06Z,"bedroom pop","FADER Label",0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
spotify:track:7qwt4xUIqQWCu1DJf96g2k,"Hello?","diary 001","Clairo;Rejjie Snow",2018-05-25,135016,3,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:08Z,"bedroom pop,jazz rap","FADER Label",0.839,0.473,10,-7.835,0,0.0607,0.641,0.000459,0.0939,0.0644,98.732,4
spotify:track:1ucnuV88gFTfR3BalmznDk,"Lover Is a Day","wannabewithu","Cuco",2016-07-09,456000,77,true,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:10Z,"bedroom pop","Cuco",0.404,0.647,3,-10.452,1,0.0409,0.0434,0.198,0.1,0.351,180.128,4
spotify:track:5mIOsPuQdXchVY0jB5NO9Q,"4EVER","4EVER","Clairo",2018-04-27,159595,6,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:18Z,"bedroom pop","FADER Label",0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,4
spotify:track:3Z6cltU0OfbUdSZtZlzKPL,"Dream Girl","Dream Girl","Crisaunt",2019-02-14,179286,69,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:21Z,"bedroom pop","Crisaunt",0.945,0.239,4,-17.862,1,0.0389,0.372,0.29,0.118,0.583,118.616,4
spotify:track:0TZejo18HlJ86OrWNsXKnw,"Mrs Magic","Mrs Magic","Strawberry Guy",2019-07-24,208500,82,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:24Z,"bedroom pop","Melodic",0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,4
spotify:track:75IQVo8hqI1iwVZyvkN2VT,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,82,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:26Z,"bedroom pop,indie pop,dream pop","Indie",0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
spotify:track:16gJmoOqRt2lKmlXtDpWgH,"Cariño","Superclean, Vol. II","The Marías",2018-09-28,258713,75,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:30Z,"bedroom pop","Superclean Records",0.646,0.47,0,-10.697,0,0.0284,0.4,0.0348,0.11,0.651,113.995,4
spotify:track:0qOCy2LqvdkMora7eZsJhQ,"From the Subway Train","Angel Youth","Vansire",2018-04-26,57370,66,false,31dsshqkewgydj7x2m4k3ftir3q4,2024-08-08T03:58:34Z,"bedroom pop","Vansire",0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,4
