Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61OJxhoY3Ix50rYVKo8zRK,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,79,false,12102368254,2025-09-12T18:34:39Z,"indie rock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,4
spotify:track:5euumi7eqEgmxvCIJw2pSp,"Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,69,false,12102368254,2025-09-12T18:34:45Z,"indie rock","Very Nice Records",0.707,0.768,7,-7.072,1,0.0323,0.0279,0.000292,0.169,0.832,139.985,4
spotify:track:5naar7XewEOAjOywIp6Jjq,"Remember When","Nothing Happens","Wallows",2019-03-22,155146,74,false,12102368254,2025-09-12T18:34:46Z,"indie","Atlantic Records",0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,4
spotify:track:1XrSjpNe49IiygZfzb74pk,"What Once Was","Songs of Her's","Her's",2017-05-12,255067,80,false,12102368254,2025-09-12T18:34:47Z,"indie","Heist Or Hit Records",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,81,false,12102368254,2025-09-12T18:34:52Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:6jgkEbmQ2F2onEqsEhiliL,"My Kind of Woman","2","Mac DeMarco",2012-10-16,190845,84,false,12102368254,2025-09-12T18:35:02Z,"indie,lo-fi indie","Captured Tracks",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4
spotify:track:7xLfmCx9jcZNgzlIK7NupN,"Stress Relief","Am I sinking or Am I swimming?","late night drive home",2021-09-17,205714,81,false,12102368254,2025-09-12T18:35:07Z,"indie","late night drive home, under exclusive license to Amuseio AB",0.519,0.666,8,-7.576,1,0.0318,0.0108,0.000623,0.0781,0.603,139.94,4
spotify:track:6cMMZ2pdP4PkYsVJqX2WUh,"Kids","Kids","Current Joys",2015-03-08,269142,82,false,12102368254,2025-09-12T18:35:17Z,"lo-fi indie","Current Joys",0.828,0.656,6,-9.638,1,0.0336,0.52,0.358,0.0745,0.902,113.45,4
spotify:track:2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,81,false,12102368254,2025-09-12T18:35:21Z,"indie,lo-fi indie","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
spotify:track:1ucnuV88gFTfR3BalmznDk,"Lover Is a Day","wannabewithu","Cuco",2016-07-09,456000,77,true,12102368254,2025-09-12T18:35:28Z,"bedroom pop","Cuco",0.404,0.647,3,-10.452,1,0.0409,0.0434,0.198,0.1,0.351,180.128,4
spotify:track:0KyAGiNGUytG5JLxJu4F6l,"Pretty Girl","Pretty Girl","Clairo",2017-08-04,178352,4,false,12102368254,2025-09-12T18:35:32Z,"bedroom pop","FADER Label",0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
spotify:track:1F6IbA7di42uPc3cff8PXV,"Flaming Hot Cheetos","Flaming Hot Cheetos","Clairo",2017-06-14,123884,6,false,12102368254,2025-09-12T18:35:36Z,"bedroom pop","FADER Label",0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
