Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,90,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:31:37Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,87,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:01Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
spotify:track:0Qv7xi6uPSqH2k82tOkGSt,"Mad World","The Hurting","Tears For Fears",1983-03-07,215400,72,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:09Z,"new wave,synthpop","EMI",0.628,0.907,4,-6.047,1,0.0412,0.0471,0.0579,0.0635,0.954,118.724,4
spotify:track:3rQfYDjgpRy5LFlClpPQW9,"Dancing with Myself - 2001 Remaster","Anthology","Billy Idol;Generation X",2003-02-28,227400,75,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:14Z,"","Chrysalis Records",0.392,0.886,4,-6.981,1,0.061,0.0000583,0.274,0.219,0.755,176.625,4
spotify:track:2RhBtpsSB5QwzGu0fVZ4PA,"When It's Cold I'd Like To Die","Stranger Things: Soundtrack from the Netflix Series, Season 4","Moby",2022-07-01,252986,63,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:23Z,"downtempo,trip hop","Legacy Recordings",0.0694,0.293,0,-10.813,1,0.0389,0.327,0.0000834,0.253,0.0384,77.196,3
spotify:track:3sRCesHh424gmCji7Fz9Gm,"I Wonder If I Take You Home","Playlist: The Very Best Of Lisa Lisa & Cult Jam","Lisa Lisa & Cult Jam;Full Force",2012-07-03,404213,57,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:28Z,"freestyle,funk melody,new jack swing","Columbia/Legacy",0.844,0.647,7,-9.248,1,0.0877,0.0405,0.132,0.106,0.58,115.164,4
spotify:track:48RJAYTcIXuBPg55EzbaEq,"Stand Back - 2016 Remaster","The Wild Heart (2016 Remastered)","Stevie Nicks",1983-06-10,291093,52,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:33Z,"","Rhino Atlantic",0.684,0.848,11,-7.908,0,0.0524,0.109,0.000953,0.114,0.653,116.027,4
spotify:track:1PtQJZVZIdWIYdARpZRDFO,"Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,86,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:38Z,"art pop,baroque pop,art rock","Fish People",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
spotify:track:2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,22,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:44Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
spotify:track:4KWzsYmXYYbTjb4tYxulvd,"Who's Crying Now (2022 Remaster)","Escape (2022 Remaster)","Journey",1981-07-17,299653,74,false,2gxg7l2nsnpcd3ky1imje725q,2025-08-24T18:32:48Z,"aor,classic rock","Columbia/Legacy",0.568,0.607,9,-7.735,0,0.0296,0.0587,0,0.131,0.327,121.984,4
