Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75IQVo8hqI1iwVZyvkN2VT,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,82,false,,2026-06-12T04:03:10Z,"bedroom pop,indie pop,dream pop","Indie",0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
spotify:track:3EUwnOxvsfuTbc9pkHY8Sk,"for keeps","Kiss the Sun","Asal",2026-05-29,149479,55,false,,2026-06-12T04:03:10Z,"","Wovy Records, Inc",0.568,0.412,10,-8.993,1,0.0286,0.611,0.00106,0.208,0.321,133.932,4
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,"The Dress","Absolutely","Dijon",2021-11-05,184767,78,false,,2026-06-12T04:03:10Z,"","R&R Digital/Warner Records",0.747,0.531,8,-5.99,1,0.0477,0.266,0.0000018,0.192,0.785,88.009,4
spotify:track:3qAYNIIiXHoycbCWku8cIU,"Energizer","Energizer","girlsweetvoiced",2026-06-19,151306,57,false,,2026-06-23T15:35:03Z,"","sweetvoiced",0.527,0.325,0,-13.652,1,0.0323,0.909,0.104,0.119,0.813,165.726,4
spotify:track:1VQhNfefgdwjT9VgMoiWp2,"Surface Tension","Surface Tension","sunniva",2026-05-15,169642,38,false,,2026-06-12T04:03:10Z,"slowcore,bedroom pop","sunniva",0.523,0.161,2,-19.201,1,0.0456,0.941,0.89,0.128,0.318,149.701,3
spotify:track:5LqcqOHr7Mu8KoLsNTCuYd,"Hotel Swimming Pool","Technicolour","Jia",2026-05-26,238129,36,false,,2026-06-12T04:03:10Z,"","Light Organ Records",0.272,0.384,9,-9.087,1,0.0333,0.674,0.000616,0.121,0.0395,137.652,3
spotify:track:61OJxhoY3Ix50rYVKo8zRK,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,79,false,,2026-06-12T04:03:10Z,"indie rock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,4
spotify:track:1p8yFFvh1lf2kndKPUd8aI,"burning in the afterglow","burning in the afterglow","ava rae",2026-02-12,207391,39,false,,2026-06-12T04:03:10Z,"bedroom pop","COLLECTIVE CONSCIOUS",0.732,0.445,5,-9.244,1,0.0989,0.443,0.0000149,0.074,0.732,92.023,4
spotify:track:76vnbFYXLxoaJq6ee2Q5VM,"Another Life (Feat. Bryant Barnes)","Another Life (Feat. Bryant Barnes)","Chezile;Bryant Barnes",2026-02-20,169933,59,false,,2026-06-12T04:03:10Z,"","10K Projects",0.25,0.318,0,-15.917,0,0.0381,0.649,0.00101,0.118,0.101,188.243,3
spotify:track:6rY5FAWxCdAGllYEOZMbjW,"SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,88,true,,2026-06-12T04:03:10Z,"","88rising Music",0.517,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.968,4
