Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20tqXTp7TJRtLA8s2vpgEB,"strangers","strangers","proderics;melodybloom",2024-03-16,135192,79,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:02Z,"","proderics and melodybloom",0.673,0.631,4,-9.891,0,0.0281,0.694,0.358,0.104,0.883,133.976,4
spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,"Pain","to hell with it","PinkPantheress",2021-10-15,98544,84,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:04Z,"bedroom pop","Parlophone UK",0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,4
spotify:track:0yOf4dgkVq8jbB2zxVK8Zj,"August 10","Broken Girl","Julie Doiron",1996-04-01,178000,78,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:13Z,"slowcore","Jagjaguwar",0.511,0.0641,7,-15.943,1,0.0418,0.0394,0.0092,0.0897,0.35,115.351,4
spotify:track:7KhJdiu4zbPlhlImRLIyDl,"Prom Night","Prom Night","Riovaz",2020-04-01,145899,72,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:15Z,"","Riovaz",0.813,0.608,7,-9.918,1,0.169,0.355,0.00000856,0.0963,0.0512,149.251,4
spotify:track:36TbBJ7mLPOZMAYs0p4mxb,"Mary","Trick","Alex G",2012-11-05,197733,74,true,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:17Z,"","Lucky Number",0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.955,4
spotify:track:751srcHf5tUqcEa9pRCQwP,"Tek It","Running","Cafuné",2021-07-20,191823,84,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:18Z,"","Elektra (NEK)",0.423,0.913,8,-5.354,1,0.0655,0.0000653,0,0.269,0.596,146.995,4
spotify:track:16JBsVkJeQMibsQv25jFiz,"#doyalike","#doyalike","mikeeysmind",2020-01-01,183054,17,true,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:19Z,"","Unjaps AB",0.628,0.542,11,-13.32,0,0.0784,0.136,0.245,0.591,0.362,96.13,4
spotify:track:12U117TSsECDI6T2NNm3pn,"never see a lonely night again","never see a lonely night again","Sadboienola",2022-11-09,134246,48,true,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:21Z,"","ENOLA",0.545,0.548,1,-7.993,1,0.263,0.864,0,0.122,0.594,98.331,4
spotify:track:1eoVl7IOkvYh1ajE4DSW3k,"unlike me (cyber$tar mix)","unlike me (cyber$tar mix)","cyber$tar;Kate Havnevik",2025-01-09,155432,14,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:23Z,"breakcore","cyber$tar",0.518,0.389,11,-9.221,0,0.0324,0.0143,0.00177,0.266,0.0563,95.038,4
spotify:track:3fuyYaLhZ2RoP9eWpvfP1H,"A New Kind Of Love - Demo","A New Kind Of Love (Demo)","Frou Frou;Imogen Heap;Guy Sigsworth",2022-04-08,259071,82,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:28Z,"","Megaphonic",0.674,0.487,9,-13.307,1,0.0331,0.169,0.00411,0.127,0.329,132.97,4
spotify:track:5rc7178sa2YRDlBFBHY0e8,"Stephanie","Stephanie","Nafeesisboujee",2023-09-15,126969,82,true,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:35Z,"","nafees's bedroom studio",0.781,0.496,0,-11.224,1,0.0409,0.0887,0,0.258,0.388,114.425,4
spotify:track:0JIMT9gzLIIz0esKLyjbKf,"Telephones","Changes","Vacations",2018,212432,83,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:37Z,"","Nettwerk Music Group",0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,4
spotify:track:4ENgK9ehJ9PxxrjY2iEH1j,"Chandelier","Chandelier","Will Paquin",2020-09-25,127464,77,true,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:42Z,"","Will Paquin Music",0.331,0.5,2,-9.119,0,0.0514,0.677,0.00000661,0.116,0.421,86.963,4
spotify:track:2rrq3SGYxk90xLx5fMmPhZ,"I Must Apologise","to hell with it","PinkPantheress",2021-10-15,108373,77,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:42:49Z,"bedroom pop","Parlophone UK",0.616,0.856,9,-6.098,1,0.0457,0.516,0.0652,0.245,0.75,157.109,4
spotify:track:2vWBUC9djv6BtiGlmKiQaH,"YKWIM?","Bipolar","Yot Club",2019-05-31,212750,80,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:43:04Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,87,false,31hoxyxq4u4jwos2uww3oybjeoci,2025-12-08T21:43:14Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
