Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BhK8Mho223YLPQOLfzWNP,"Killing Me","Ivory","Omar Apollo",2022-04-08,165320,59,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:17:01Z,"bedroom pop","Warner Records",0.861,0.27,6,-9.515,0,0.0616,0.301,0.00288,0.124,0.608,84.004,4
spotify:track:2NCBjlH7FHEG7hXcnvUaWA,"Ugotme","Stereo","Omar Apollo",2018-05-30,127272,0,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:23:46Z,"bedroom pop","Omar Apollo",0.782,0.494,0,-1.458,1,0.0339,0.454,0.0000631,0.134,0.401,65.832,4
spotify:track:2kSb3wYSOV996xA2NSmpck,"Melting","Por Vida","Kali Uchis",2015-02-04,208853,13,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:27:13Z,"","Kali Uchis LLC",0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,4
spotify:track:0JmO3EBtl9qhnLkzr4FiP0,"Speed","Por Vida","Kali Uchis",2015-02-04,255183,2,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:34:14Z,"","Kali Uchis LLC",0.583,0.508,9,-6.676,0,0.0619,0.0776,0,0.245,0.183,169.978,3
spotify:track:2nDLZMuPMvHzNtUY2e7nV3,"la luna enamorada","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,110526,57,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:38:17Z,"","EMI / Interscope",0.529,0.239,6,-14.054,0,0.0248,0.873,0.00896,0.098,0.442,75.293,4
spotify:track:5OJkXdRgQPGrbl6aGnGH1G,"vaya con dios","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,175539,56,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:47:37Z,"","EMI / Interscope",0.388,0.594,7,-8.014,1,0.0317,0.0118,0.000143,0.326,0.277,69.367,4
spotify:track:4fPjI40ElIwJQ4DJJxSCOe,"Attracted to You","Attracted To You","PinkPantheress",2021-07-09,67638,75,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:54:23Z,"bedroom pop","Parlophone UK",0.727,0.58,6,-11.094,1,0.192,0.0372,0.00377,0.0596,0.75,114.21,4
spotify:track:5w9YU63asHqNFyWq3nCsSl,"Noticed I Cried","to hell with it","PinkPantheress",2021-10-15,82226,60,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:57:28Z,"bedroom pop","Parlophone UK",0.499,0.856,11,-5.705,1,0.061,0.0544,0.131,0.0734,0.394,163.956,4
spotify:track:3ZpqeV6u8cheGopIXQlHfH,"All My Friends Know","to hell with it","PinkPantheress",2021-10-15,118813,63,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-07T20:59:04Z,"bedroom pop","Parlophone UK",0.719,0.549,10,-8.297,1,0.147,0.327,0.148,0.117,0.192,102.092,4
spotify:track:4tKGFmENO69tZR9ahgZu48,"Murder On The Dancefloor","Read My Lips (Deluxe Version)","Sophie Ellis-Bextor",2002-06-06,230013,83,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T01:13:10Z,"","Polydor Records",0.73,0.849,1,-5.281,0,0.0299,0.00234,0.0000257,0.312,0.887,117.308,4
spotify:track:3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,89,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:29:06Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian","Daniel Caesar;Kali Uchis",2017-08-25,278179,8,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:47:09Z,"","Golden Child Recordings",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
spotify:track:6FBzhcfgGacfXF3AmtfEaX,"C U Girl","C U Girl","Steve Lacy",2015-02-15,129697,79,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:52:37Z,"","L-M Records",0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100,4
spotify:track:2CBtdZVcpSwaxOcLUi1AGo,"Care For You","Care For You","The Marías",2020-10-16,156026,65,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:55:09Z,"bedroom pop","Superclean Records",0.879,0.413,1,-9.161,0,0.0575,0.816,0.221,0.318,0.869,109.988,4
spotify:track:7N3c9CKUmRqrt3dDvGWBWG,"Gotta Get Up - Interlude","Isolation","Kali Uchis",2018-04-06,113270,56,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:58:49Z,"","EMI",0.488,0.381,3,-8.095,0,0.0498,0.605,0.0872,0.0776,0.217,140.941,4
spotify:track:6mLNU3uGKZ1fLcJv9J1u7G,"Summer Love","Mango","bLAck pARty",2016-10-14,74318,47,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T04:59:53Z,"indie soul,alternative r&b","Wolf & Rothstein",0.617,0.604,3,-7.79,0,0.0345,0.591,0.000751,0.334,0.855,159.861,3
spotify:track:0XvoMOI25j4wODyk8nuANS,"All Night","Oncle Jazz","Men I Trust",2019-09-13,188468,59,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T05:01:05Z,"bedroom pop,indie pop,dream pop","Independent",0.794,0.209,10,-13.359,0,0.0409,0.743,0.911,0.0892,0.62,146.001,4
spotify:track:4BD3sl4HjTAzWGVIP8LLm4,"I Wanna C U","Angel's Pulse","Blood Orange",2019-07-12,74725,54,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T05:02:16Z,"art pop","Domino Recording Co",0.793,0.304,0,-12.191,0,0.0442,0.715,0.181,0.114,0.72,99.773,4
spotify:track:7twY0ucjaUFUNfjkCHj1Cs,"Hey Boy (feat. Kali Uchis)","Apolonio","Omar Apollo;Kali Uchis",2020-10-16,102160,53,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T05:03:54Z,"bedroom pop","Warner Records",0.751,0.511,0,-10.481,0,0.39,0.478,0.00552,0.0802,0.653,151.618,4
spotify:track:1zgHn1EqUyA0HqNYMdJ5ia,"Best Time","Larger Than Life","Brent Faiyaz",2023-10-27,82508,78,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T05:08:16Z,"r&b","ISO Supremacy under exclusive license to UnitedMasters LLC",0.81,0.307,9,-7.215,1,0.12,0.16,0.00298,0.0779,0.697,92.995,4
spotify:track:3tPH2C0umk9pjLBMmz0D9M,"Bury me (feat. Kelela)","Heaven knows","PinkPantheress;Kelela",2023-11-10,124613,57,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T11:52:11Z,"bedroom pop,alternative r&b","Warner Records",0.781,0.506,4,-7.609,1,0.21,0.236,0,0.212,0.528,77.419,4
spotify:track:6WVSnyKQGzs1fosa2I3FMQ,"Shibuya (feat. Syd)","Free Nationals","Free Nationals;Syd",2019-12-13,136831,61,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T11:52:25Z,"alternative r&b","OBE, LLC / EMPIRE",0.76,0.665,4,-7.021,0,0.0612,0.105,0.399,0.0945,0.808,92.992,4
spotify:track:6HSTJbYzJCK5jKz7hrsvQh,"intro","Getaway","Orion Sun",2022-03-11,180560,1,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T12:51:38Z,"alternative r&b,bedroom pop","Mom+Pop",0.525,0.459,10,-9.324,0,0.0329,0.203,0.000443,0.271,0.647,84.401,4
spotify:track:6SjxVgMjH3b3AI4wVviZfi,"The aisle","Heaven knows","PinkPantheress",2023-11-10,165773,66,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T21:37:47Z,"bedroom pop","Warner Records",0.761,0.8,11,-7.464,1,0.0992,0.0808,0.0762,0.0742,0.792,134.001,4
spotify:track:67r7ZHxVxONN9ZQk05AQVL,"Do You Miss Me?","Do you miss me?","PinkPantheress",2022-11-15,128853,61,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T22:10:10Z,"bedroom pop","Warner Records",0.647,0.871,11,-7.144,0,0.0936,0.0976,0.000534,0.173,0.643,129.928,4
spotify:track:5WbfFTuIldjL9x7W6y5l7R,"Kingston","Atlanta Millionaires Club","Faye Webster",2019-05-24,202653,79,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T23:24:31Z,"","Secretly Canadian",0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4
spotify:track:2xZ0zfuDTv5LxLhEgD82PG,"Awkward","Ctrl (Deluxe)","SZA",2022-06-09,178000,72,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-09T23:41:48Z,"r&b","Top Dawg Entertainment/RCA Records",0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,4
spotify:track:59acp1OhcvxwVBwQJBYKuX,"Loose","Freudian","Daniel Caesar",2017-08-25,185522,5,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T00:19:05Z,"","Golden Child Recordings",0.198,0.162,1,-15.815,1,0.0343,0.926,0.00896,0.135,0.0527,70.453,1
spotify:track:1H8BKN1WYV6AW1kghI3ldP,"Orlando","Negro Swan","Blood Orange",2018-08-24,182893,55,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T07:16:38Z,"art pop","Domino Recording Co",0.764,0.534,1,-10.966,0,0.0982,0.546,0.0823,0.404,0.647,143.519,3
spotify:track:128I36bDgYHU9l2QcgEGcd,"Love Between...","Red Moon In Venus","Kali Uchis",2023-03-03,155083,63,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T07:41:42Z,"","Geffen Records",0.582,0.404,2,-11.327,0,0.0413,0.83,0.00308,0.101,0.465,130.919,4
spotify:track:1jQfgl9WRle7D8a3GXLwaD,"Transform (feat. Charlotte Day Wilson)","Freudian","Daniel Caesar;Charlotte Day Wilson",2017-08-25,280586,3,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T07:51:46Z,"","Golden Child Recordings",0.498,0.292,5,-10.656,1,0.031,0.511,0.000019,0.256,0.348,68.963,4
spotify:track:5QvditjxADt1HMKPgaMjJm,"Seven","Seven","Men I Trust",2018-09-06,225394,65,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T07:52:43Z,"bedroom pop,indie pop,dream pop","Independent",0.692,0.421,4,-10.948,1,0.0295,0.668,0.152,0.104,0.83,96.981,4
spotify:track:2I9t0e3gLAKOi5syoHxP46,"fue mejor","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis;PARTYNEXTDOOR",2020-12-04,228602,62,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T07:55:57Z,"dark r&b,r&b,trap soul","EMI / Interscope",0.684,0.35,7,-9.399,0,0.0495,0.607,0,0.426,0.263,103.951,4
spotify:track:5tdtOKe2N9b2K20ajt3Y1f,"Nostalgic Montage","Nostalgic Montage","Salami Rose Joe Louis",2019-03-14,130907,41,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:24:01Z,"bedroom pop","Brainfeeder",0.467,0.193,9,-17.711,1,0.0331,0.947,0.0965,0.0995,0.071,110.11,5
spotify:track:0Gt4nGWoATcQFL38a1NRao,"West Savannah (feat. SZA)","Cilvia Demo","Isaiah Rashad;SZA",2014-01-28,167276,70,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:25:01Z,"r&b","Top Dawg Entertainment",0.652,0.906,9,-4.032,1,0.161,0.13,0.0681,0.504,0.559,125.103,4
spotify:track:6V91Cctseyb8yz67YQMDw3,"Worth the Wait (feat. Omar Apollo)","Red Moon In Venus","Kali Uchis;Omar Apollo",2023-03-03,150699,56,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:26:48Z,"bedroom pop","Geffen Records",0.635,0.542,0,-11.08,1,0.127,0.737,0,0.548,0.204,77.959,4
spotify:track:5f6esnDQcBiFAm8iMfkw12,"Silkk da Shocka (feat. Syd)","The Sun's Tirade","Isaiah Rashad;Syd",2016-09-02,166086,65,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:34:33Z,"alternative r&b","Top Dawg Entertainment",0.59,0.602,8,-8.195,1,0.413,0.577,0.00000659,0.643,0.72,121.986,4
spotify:track:4m3ZUt0eXm3z1PdclPDevH,"places we go","places we go","peace",2022-11-30,113313,35,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:45:03Z,"","peacesmusic",0.704,0.382,0,-9.918,0,0.0383,0.222,0.381,0.106,0.718,119.975,4
spotify:track:3E895HtTn6lB40SA0l9EkL,"Take Me Away (feat. Syd)","Freudian","Daniel Caesar;Charlotte Day Wilson",2017-08-25,226116,1,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T08:56:01Z,"","Golden Child Recordings",0.395,0.409,6,-8.58,1,0.056,0.708,0.0000162,0.0982,0.193,74.088,4
spotify:track:7klPHv3HnXdUY3dSfTccNc,"Time","Free Nationals","Free Nationals;Mac Miller;Kali Uchis",2019-12-13,210385,67,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T09:20:56Z,"","OBE, LLC / EMPIRE",0.469,0.771,5,-7.071,1,0.338,0.518,0.000197,0.0789,0.298,88.968,4
spotify:track:5ahq8vkzMznGmfN2EVOukP,"Lover/Friend","Lover/Friend","KAYTRANADA;Rochelle Jordan",2023-11-30,212250,56,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T09:47:02Z,"alternative r&b","KAYTRANADA/RCA Records",0.727,0.733,8,-9.81,0,0.215,0.0144,0.000415,0.0481,0.586,105.134,4
spotify:track:44CSjBjs3mcn5c66XnB8It,"Stuntin","Lover/Friend","KAYTRANADA;Channel Tres",2023-11-30,182265,39,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T09:55:35Z,"hip house","KAYTRANADA/RCA Records",0.86,0.745,7,-3.962,1,0.102,0.00142,0.0116,0.0867,0.606,111.984,4
spotify:track:2LZ2CNbcbJrwh53pitRgom,"Silver Soul","Teen Dream","Beach House",2010-01-26,298680,70,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T11:41:08Z,"dream pop","Sub Pop Records",0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032,4
spotify:track:66p59VAALXRlp777aP1Wom,"Coming Home - Interlude","Isolation","Kali Uchis",2018-04-06,159852,50,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T16:46:27Z,"","EMI",0.624,0.544,7,-8.004,1,0.0998,0.337,0.00000349,0.122,0.293,87.931,4
spotify:track:0q75NwOoFiARAVp4EXU4Bs,"Love Galore (feat. Travis Scott)","Ctrl","SZA;Travis Scott",2017-06-09,275085,78,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T23:15:48Z,"r&b,rap","Top Dawg Entertainment/RCA Records",0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,4
spotify:track:0725YWm6Z0TpZ6wrNk64Eb,"Super Rich Kids","channel ORANGE","Frank Ocean;Earl Sweatshirt",2012-07-10,304760,79,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-10T23:39:05Z,"experimental hip hop,alternative hip hop","Red Zone Entertainment / IDJ",0.739,0.419,3,-8.241,0,0.0854,0.219,0,0.196,0.58,60.493,4
spotify:track:4h5x3XHLVYFJaItKuO2rhy,"Ghost in the Machine (feat. Phoebe Bridgers)","SOS","SZA;Phoebe Bridgers",2022-12-09,218586,69,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T00:00:45Z,"r&b","Top Dawg Entertainment/RCA Records",0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,4
spotify:track:4deAN7JXhdHHifxOp0TTjU,"Do You Like Me?","NEVER ENOUGH","Daniel Caesar",2023-04-07,227520,71,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T00:43:46Z,"","Republic Records",0.718,0.398,11,-6.774,1,0.0396,0.498,0.0352,0.129,0.373,76.976,4
spotify:track:5jyGyPBWTflDi9TssaLsAK,"One More Night","Servant: Songs From The Attic (Deluxe Edition) [Music From The Apple TV+ Original Series]","Saleka",2023-03-17,200788,30,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T01:53:35Z,"","Lakeshore Records",0.511,0.18,0,-16.239,0,0.0446,0.954,0.000563,0.119,0.072,84.895,4
spotify:track:0JIMT9gzLIIz0esKLyjbKf,"Telephones","Changes","Vacations",2018,212432,83,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T02:31:22Z,"","Nettwerk Music Group",0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,4
spotify:track:5fQBa4wkmq28xpSLOQ202K,"Normal Girl","Ctrl","SZA",2017-06-09,253590,78,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T04:34:55Z,"r&b","Top Dawg Entertainment/RCA Records",0.624,0.532,0,-7.146,1,0.124,0.269,0.0000517,0.158,0.362,76.453,4
spotify:track:74fQgHleHZ4V7Gm1XYcGkj,"One Night Only","One Night Only","Sonder",2018-02-09,195909,80,false,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T04:42:42Z,"dark r&b,r&b","Sonder Global / Human Re Sources",0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,4
spotify:track:1dbar1XukTbn7FQzQTqDQK,"Outside All Night (feat. A$AP Rocky & N3WYRKLA)","Larger Than Life","Brent Faiyaz;N3WYRKLA;A$AP Rocky",2023-10-27,202841,68,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T05:16:58Z,"r&b,rap","ISO Supremacy under exclusive license to UnitedMasters LLC",0.646,0.648,1,-7.408,0,0.15,0.0741,0,0.215,0.833,141.966,4
spotify:track:48oQGynnS8RLiYRFsJ6pDL,"FYTB (FEAT. JOONY)","WASTELAND","Brent Faiyaz;Joony",2022-07-08,198003,56,true,nrpxj2ryv9dyhs627ckaqmlnr,2024-01-11T06:01:19Z,"r&b","Lost Kids LLC., Marketed by Venice / Stem",0.783,0.48,3,-9.182,0,0.251,0.258,0.00000473,0.305,0.364,133.086,4
