Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:59c2xv2kMzYM6HR9oY6BIa,"Sweet Boy","Sweet Boy","Malcolm Todd",2024-04-05,180000,89,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:58:27Z,"","Columbia",0.774,0.371,5,-9.54,0,0.0309,0.367,0.00000275,0.298,0.707,88.013,4
spotify:track:7dqhCs9znNwfs8gzaASJpK,"Hesitating","Demos Before Prom","Malcolm Todd",2022-05-15,144761,72,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:58:39Z,"","Columbia",0.479,0.441,5,-9.513,1,0.0711,0.873,0.0000175,0.161,0.365,126.204,4
spotify:track:0eAuGrXyGFYwur9ARUe7LJ,"Earrings","Sweet Boy","Malcolm Todd",2024-04-05,151500,98,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:58:45Z,"","Columbia",0.498,0.505,10,-8.644,0,0.0524,0.233,0.000028,0.365,0.547,79.877,4
spotify:track:5vPUv0xziXbV4lnWeVNXNq,"Roommates","Sweet Boy","Malcolm Todd",2024-04-05,214504,87,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:59:01Z,"","Columbia",0.755,0.292,0,-13.611,0,0.0311,0.619,0.00000134,0.114,0.437,110.005,4
spotify:track:6KBzft33aLJTLiTcAoJrKK,"Walk to Class","Malcolm Todd","Malcolm Todd",2025-04-04,228480,72,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:59:09Z,"","Columbia",0.561,0.476,10,-7.364,1,0.0293,0.174,0.000039,0.0768,0.726,78.025,4
spotify:track:37nwfPGR24VGbOUWvzbZs1,"Zip Up My Fly","Malcolm Todd (still)","Malcolm Todd",2025-08-08,131240,73,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T00:59:22Z,"","Columbia",0.855,0.741,9,-5.112,1,0.0433,0.233,0.0036,0.0666,0.959,110.009,4
spotify:track:7uEFboafVLvROPYTqdMi0n,"4Me 4Me","Sweet Boy","Malcolm Todd",2024-04-05,210400,80,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:00:25Z,"","Columbia",0.573,0.661,8,-7.644,0,0.0647,0.521,0.113,0.56,0.668,150.008,4
spotify:track:3R1XKFgSo7a8paa77cZCM0,"Ladygirl","Sweet Boy","Malcolm Todd",2024-04-05,124500,72,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:01:08Z,"","Columbia",0.633,0.515,2,-8.164,1,0.133,0.808,0.0000145,0.315,0.53,84.878,3
spotify:track:0YVnWFGpf76yEPMUTHnSwy,"Slowww","Shower Shoes","Malcolm Todd",2023-03-24,195813,65,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:02:18Z,"","Columbia",0.492,0.596,11,-9.512,1,0.334,0.374,0.00268,0.144,0.563,73.945,4
spotify:track:2R4AlwtrrkMaRKojcTIzmL,"For the First Time","This Old Dog","Mac DeMarco",2017-05-05,182306,85,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:06:32Z,"indie,lo-fi indie","Captured Tracks",0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,4
spotify:track:7EAMXbLcL0qXmciM5SwMh2,"Heart To Heart","Here Comes The Cowboy","Mac DeMarco",2019-05-10,211140,84,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:06:42Z,"indie,lo-fi indie","Mac’s Record Label",0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,4
spotify:track:6jgkEbmQ2F2onEqsEhiliL,"My Kind of Woman","2","Mac DeMarco",2012-10-16,190845,84,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:06:49Z,"indie,lo-fi indie","Captured Tracks",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4
spotify:track:7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,85,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:06:55Z,"indie,lo-fi indie","Captured Tracks",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
spotify:track:2aaCNg42RA74s0EmHTBqS7,"No Other Heart","Another One","Mac DeMarco",2015-08-07,173117,83,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:07:00Z,"indie,lo-fi indie","Captured Tracks",0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,4
spotify:track:2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,81,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:07:05Z,"indie,lo-fi indie","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
spotify:track:3oUn55qKRZ1JFzfQNbJjS1,"20191009 I Like Her","One Wayne G","Mac DeMarco",2023-04-21,136888,73,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:07:15Z,"indie,lo-fi indie","Mac DeMarco, LLC",0.873,0.252,2,-13.884,1,0.0425,0.766,0.00661,0.0978,0.599,133.983,4
spotify:track:2QzKAF0y1BQhxwg8N05Uog,"Watching Him Fade Away","This Old Dog","Mac DeMarco",2017-05-05,143080,74,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:07:33Z,"indie,lo-fi indie","Captured Tracks",0.74,0.072,3,-17.984,1,0.0713,0.981,0.00698,0.111,0.297,139.081,4
spotify:track:6N4WUdbz6HVKy6u6JX1KqK,"Preoccupied","Here Comes The Cowboy","Mac DeMarco",2019-05-10,239645,71,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:07:42Z,"indie,lo-fi indie","Mac’s Record Label",0.813,0.212,8,-15.421,1,0.163,0.329,0.0725,0.123,0.482,159.062,4
spotify:track:1xxKHsbfPc2xzGLpEXpt55,"20201203","One Wayne G","Mac DeMarco",2023-04-21,258522,71,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:08:03Z,"indie,lo-fi indie","Mac DeMarco, LLC",0.785,0.0604,10,-14.132,1,0.0799,0.73,0.708,0.113,0.445,136.904,4
spotify:track:1Ijh9lrbGPUj1tui7OGpnB,"A Heart Like Hers","Another One","Mac DeMarco",2015-08-07,241860,67,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:08:15Z,"indie,lo-fi indie","Captured Tracks",0.56,0.381,1,-8.503,1,0.0291,0.799,0.000142,0.125,0.558,147.431,4
spotify:track:7JyhhEb1LKIuDiHy6bWdet,"Finally Alone","Here Comes The Cowboy","Mac DeMarco",2019-05-10,144756,63,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:08:59Z,"indie,lo-fi indie","Mac’s Record Label",0.826,0.485,5,-10.92,1,0.0345,0.513,0.00224,0.109,0.852,96.497,4
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,88,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:52:38Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:0f8eRy9A0n6zXpKSHSCAEp,"Infrunami","The Lo-Fis","Steve Lacy",2020-12-04,178328,84,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:52:44Z,"","L-M Records",0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,4
spotify:track:4riDfclV7kPDT9D58FpmHd,"Some","Some","Steve Lacy",2016-10-31,118393,78,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:52:51Z,"","L-M Records",0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,4
spotify:track:6FBzhcfgGacfXF3AmtfEaX,"C U Girl","C U Girl","Steve Lacy",2015-02-15,129697,79,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:53:05Z,"","L-M Records",0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100,4
spotify:track:6M0EP76qW9TG4SNU0agu94,"Uuuu","The Lo-Fis","Steve Lacy",2020-12-04,90708,72,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:53:16Z,"","L-M Records",0.947,0.616,9,-3.602,1,0.0415,0.0168,0.259,0.0658,0.968,127.082,4
spotify:track:2mqXKSieDASoq4N5739wCz,"Donchano","The Lo-Fis","Steve Lacy",2020-12-04,98686,66,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:53:33Z,"","L-M Records",0.674,0.489,11,-7.257,0,0.125,0.624,0.00195,0.236,0.772,207.947,3
spotify:track:3G9tyuUoBVNTDXY0icrUVf,"Out of Me Head","The Lo-Fis","Steve Lacy",2020-12-04,141055,66,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:53:47Z,"","L-M Records",0.799,0.39,8,-14.592,1,0.102,0.397,0.711,0.107,0.978,88.509,4
spotify:track:3YBfHJTZPHn5DqgMnD6g5g,"Atomic Vomit","The Lo-Fis","Steve Lacy",2020-12-04,90000,64,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:54:05Z,"","L-M Records",0.667,0.532,2,-11.288,1,0.18,0.456,0.0122,0.12,0.882,86.576,4
spotify:track:0SkgmGr08TvWQciNRgRtmc,"Thats No Fun","The Lo-Fis","Steve Lacy",2020-12-04,161900,61,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:54:27Z,"","L-M Records",0.542,0.723,3,-5.18,1,0.0428,0.77,0.00000275,0.625,0.294,83.078,4
spotify:track:5xA5MggKc3aQxuOzNzPUWB,"Apple Cider","Loveworm","beabadoobee",2019-04-26,178918,79,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:55:39Z,"bedroom pop","Dirty Hit",0.492,0.921,2,-3.939,1,0.032,0.082,0.0114,0.301,0.679,138.008,4
spotify:track:6F5mZpEEjhsAW8UEqbIpz1,"Tired","Patched Up","beabadoobee",2018-12-07,199514,74,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:56:01Z,"bedroom pop","Dirty Hit",0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,4
spotify:track:12UQIJePnGeLmpVReYpG2w,"Sunny day","Beatopia","beabadoobee",2022-07-15,160493,69,false,svldlr8lxfekdsjj60vxfcij9,2025-12-17T01:57:43Z,"bedroom pop","Dirty Hit",0.751,0.595,6,-6.422,0,0.0274,0.209,0.00268,0.0881,0.713,92.999,4
spotify:track:3r1qdSsvJEwiMKHeCWapMM,"Worth It","Fake It Flowers","beabadoobee",2020-10-16,194173,56,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T02:01:25Z,"bedroom pop","Dirty Hit",0.576,0.751,2,-5.256,1,0.0269,0.0125,0.000459,0.0501,0.38,103.009,4
spotify:track:0rH1Y0mcALJgAq8EKF2Zwt,"fall in love with a girl (feat. Beabadoobee)","fall in love with a girl (feat. Beabadoobee)","Cavetown;beabadoobee",2022-02-25,190853,53,true,svldlr8lxfekdsjj60vxfcij9,2025-12-17T02:01:35Z,"bedroom pop","Sire",0.684,0.506,10,-8.23,1,0.0292,0.227,0.0000361,0.0969,0.398,107.056,4
spotify:track:5PfUn4xn6NNDUBdtoF0k3J,"sedated","heartpacing","jaydes",2022-08-14,106671,0,true,svldlr8lxfekdsjj60vxfcij9,2026-01-03T09:56:36Z,"","jaydes",0.706,0.422,0,-10.789,1,0.274,0.419,0,0.0977,0.781,126.136,4
spotify:track:2Smgwq1bUVeuidC7abuxsh,"convenience","romanticism","jaydes",2022-04-30,74423,0,true,svldlr8lxfekdsjj60vxfcij9,2026-01-03T09:56:48Z,"","2741821 Records DK",0.422,0.338,3,-12.149,1,0.0378,0.726,0,0.389,0.334,71.143,5
