Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3r8RuvgbX9s7ammBn07D3W,"Ditto","Ditto","NewJeans",2022-12-19,185506,82,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","ADOR",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
spotify:track:7xoUc6faLbCqZO6fQEYprd,"One Last Time","My Everything (Deluxe)","Ariana Grande",2014-08-22,197266,89,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"pop","Universal Records",0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.025,4
spotify:track:6hmRFbbCQiSNiJczmVfnjz,"waiting4u","waiting4u","clovvi",2026-03-05,160000,34,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:19:41Z,"bedroom pop","clovvi",0.673,0.737,1,-8.372,0,0.0365,0.0001,0.00811,0.314,0.581,120.006,4
spotify:track:7aYGCP34Xo6XujY7Ix1DxB,"Girl Like Me","Fancy That","PinkPantheress",2025-05-09,145520,84,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"bedroom pop","Warner Records",0.682,0.995,6,-3.846,0,0.0781,0.0229,0.000381,0.305,0.771,137.436,4
spotify:track:2qmmnbJ9JR3f7vofbyje5r,"Slow Dance","Charm","Clairo",2024-07-12,234853,78,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"bedroom pop","Clairo",0.727,0.534,2,-8.444,1,0.0297,0.72,0.0186,0.0977,0.598,84.007,4
spotify:track:5H5CtslGA3f8a3qockqc9d,"calli","calli","clovvi",2026-05-26,187704,25,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:19:48Z,"bedroom pop","clovvi",0.608,0.754,0,-8.833,1,0.0698,0.385,0.00000217,0.048,0.541,109.923,4
spotify:track:0JUWF44gfMszGNhjCF7Ufs,"Midnight Pretenders","浮遊空間","Tomoko Aran",1983,345266,66,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop","WM Japan",0.757,0.337,0,-14.937,0,0.0313,0.2,0,0.0677,0.559,92.864,4
spotify:track:2UuKZDzjZ7cVMOvpmuAMYj,"Tell Me","The Wonder Years","Wonder Girls",2007-09-12,217000,76,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","Republic Records - JYP Entertainment",0.792,0.924,6,-6.866,0,0.0327,0.104,0.000224,0.336,0.968,127.003,4
spotify:track:4XkBIVeCsFNYVkLFRoVklm,"solo ride","solo ride","clovvi",2026-05-06,168023,26,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:19:55Z,"bedroom pop","clovvi",0.721,0.845,0,-5.3,1,0.0349,0.0886,0.328,0.136,0.519,120.008,4
spotify:track:5dF22XUGeNAR3GBhMgshgp,"NEON","NEON","YUKIKA",2019-02-22,220795,45,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop","ESTIMATE",0.647,0.921,5,-4.078,1,0.0561,0.14,0.00000111,0.379,0.774,114.991,4
spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,"Feel Special","Feel Special","TWICE",2019-09-23,206866,72,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","Republic Records - TWICE",0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,4
spotify:track:5fqJtVsXdXAzchPKsXmxWb,"limbolove","limbolove","clovvi",2026-04-28,197142,25,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:06Z,"bedroom pop","clovvi",0.663,0.925,5,-4.217,1,0.0478,0.00467,0,0.572,0.27,112.039,4
spotify:track:51ZQ1vr10ffzbwIjDCwqm4,"we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-03-08,228639,90,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"pop","Republic Records",0.645,0.646,5,-8.334,1,0.0427,0.0615,0.0000304,0.074,0.295,115.842,4
spotify:track:3zhbXKFjUDw40pTYyCgt1Y,"What is Love?","Summer Nights","TWICE",2018-07-09,208240,79,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","Republic Records - TWICE",0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4
spotify:track:4K2aDihgg7GX6NsSwLZPEF,"so alone","so alone","clovvi;Clodagh Brooks",2026-02-13,195661,22,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:10Z,"bedroom pop","clovvi",0.596,0.773,9,-8.972,0,0.0411,0.000131,0.0147,0.0719,0.768,102.007,4
spotify:track:1wicceeNVtcnym2YjiOmyj,"Bags","Immunity","Clairo",2019-08-02,260519,83,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"bedroom pop","FADER Label",0.742,0.539,1,-7.913,1,0.0322,0.165,0.4,0.116,0.885,104.992,4
spotify:track:65FftemJ1DbbZ45DUfHJXE,"OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,81,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","ADOR",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
spotify:track:6hmRFbbCQiSNiJczmVfnjz,"waiting4u","waiting4u","clovvi",2026-03-05,160000,34,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:42Z,"bedroom pop","clovvi",0.673,0.737,1,-8.372,0,0.0365,0.0001,0.00811,0.314,0.581,120.006,4
spotify:track:2qQpFbqqkLOGySgNK8wBXt,"FANCY","FANCY YOU","TWICE",2019-04-22,213880,75,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","Republic Records - TWICE",0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,4
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,88,true,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
spotify:track:5H5CtslGA3f8a3qockqc9d,"calli","calli","clovvi",2026-05-26,187704,25,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:48Z,"bedroom pop","clovvi",0.608,0.754,0,-8.833,1,0.0698,0.385,0.00000217,0.048,0.541,109.923,4
spotify:track:1dLeSutde2Nt4DIWaLKxXO,"Just a Joke","Relief 72 hours","Yurie Kokubu",2013-07-24,189213,58,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop","Sony Music Direct (Japan) Inc.",0.86,0.627,2,-7.758,1,0.049,0.485,0.000156,0.104,0.91,113.758,4
spotify:track:2FBNkgK3GbF2tVWxKNFRjX,"Why So Lonely","Why So Lonely","Wonder Girls",2016-07-05,206706,58,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","Republic Records - JYP Entertainment",0.633,0.725,7,-5.084,1,0.136,0.111,0,0.111,0.805,155.162,4
spotify:track:4XkBIVeCsFNYVkLFRoVklm,"solo ride","solo ride","clovvi",2026-05-06,168023,26,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:52Z,"bedroom pop","clovvi",0.721,0.845,0,-5.3,1,0.0349,0.0886,0.328,0.136,0.519,120.008,4
spotify:track:3coRPMnFg2dJcPu5RMloa9,"Whiplash","Whiplash - The 5th Mini Album","aespa",2024-10-21,183226,77,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"k-pop","aespa",0.863,0.9,10,-2.974,0,0.0448,0.0953,0.0212,0.0786,0.748,126.023,4
spotify:track:38LUbz74v3nmP8x0efElw2,"Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,65,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop,j-pop,kayōkyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
spotify:track:5fqJtVsXdXAzchPKsXmxWb,"limbolove","limbolove","clovvi",2026-04-28,197142,25,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:20:57Z,"bedroom pop","clovvi",0.663,0.925,5,-4.217,1,0.0478,0.00467,0,0.572,0.27,112.039,4
spotify:track:5C3AY2e3hF83MYLXUXfvJX,"I wanna Be With You","STEPS ＋2","Yurie Kokubu",2014-07-09,306920,51,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop","Sony Music Direct (Japan) Inc.",0.507,0.792,10,-3.639,1,0.0369,0.547,0.000213,0.36,0.646,173.473,4
spotify:track:1zHUEIQ6yzaWBzhNCV1SGW,"Sofia","Immunity","Clairo",2019-08-02,188386,83,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"bedroom pop","FADER Label",0.743,0.612,0,-10.005,1,0.0399,0.573,0.00444,0.252,0.641,112.999,4
spotify:track:4K2aDihgg7GX6NsSwLZPEF,"so alone","so alone","clovvi;Clodagh Brooks",2026-02-13,195661,22,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:21:02Z,"bedroom pop","clovvi",0.596,0.773,9,-8.972,0,0.0411,0.000131,0.0147,0.0719,0.768,102.007,4
spotify:track:2JCdUwmGDO3SBkhwkfRaLr,"killer tune kills me","cherish","KIRINJI;YonYon",2019-11-20,250600,55,false,31ikpaenro44p7qon2ucbsewled4,2026-06-03T22:18:55Z,"city pop,shibuya-kei,japanese indie,j-pop,j-r&b","Universal Music LLC",0.787,0.414,1,-8.745,1,0.0379,0.399,0.587,0.14,0.0486,104.999,4
