Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5mIOsPuQdXchVY0jB5NO9Q,"4EVER","4EVER","Clairo",2018-04-27,159595,6,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:15Z,"bedroom pop","FADER Label",0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,4
spotify:track:7qwt4xUIqQWCu1DJf96g2k,"Hello?","diary 001","Clairo;Rejjie Snow",2018-05-25,135016,3,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:18Z,"bedroom pop,jazz rap","FADER Label",0.839,0.473,10,-7.835,0,0.0607,0.641,0.000459,0.0939,0.0644,98.732,4
spotify:track:61OJxhoY3Ix50rYVKo8zRK,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,79,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:19Z,"indie rock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,4
spotify:track:4vHNeBWDQpVCmGbaccrRzi,"Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,73,true,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:20Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,4
spotify:track:0K0ccueOxKjB5vgLVpnhIf,"c u never","c u never","tomcbumpz;piri",2023-09-20,175806,34,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:33Z,"lo-fi hip hop,uk garage,rally house,liquid funk,drum and bass","tomcbumpz",0.83,0.535,11,-10.919,1,0.0843,0.674,0.897,0.0971,0.76,101.045,4
spotify:track:3FwSGFXzoODJ3igRA06DhV,"Rare","Moonlight/Rare","Ralph Castelli",2021-12-08,184000,0,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:36Z,"bedroom pop","Ralph Castelli / Eat What You Kill",0.719,0.482,3,-11.691,0,0.0423,0.271,0.401,0.0655,0.71,119.961,4
spotify:track:4LpUpiYoZ2M3Z1kmhn4EQo,"Still Beating","This Old Dog","Mac DeMarco",2017-05-05,181586,75,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:39Z,"indie,lo-fi indie","Captured Tracks",0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,4
spotify:track:3yfZt97KayxfiXwgKAPtYR,"11","11","Molly McPhaul",2023-07-28,144937,9,true,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:42Z,"lo-fi beats,lo-fi hip hop","mollo's world",0.754,0.719,9,-7.418,1,0.125,0.615,0.188,0.116,0.885,80.007,4
spotify:track:1xSmjB0t19q4CSJ0X0ymGB,"Frankenstein","Frankenstein","Claire Rosinkranz",2021-05-14,202248,61,true,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:45Z,"","Republic Records",0.826,0.745,2,-6.091,1,0.141,0.13,0.0000132,0.178,0.883,119.92,4
spotify:track:7zTTDkkLkJ2iHAqq1daDCr,"OUTTA MY MIND","OUTTA MY MIND","Monsune",2019-08-30,226005,55,false,h0chwfr4b3t98qzln8nb1ctg6,2023-10-10T22:11:49Z,"bedroom pop","Monsune",0.689,0.463,2,-8.121,0,0.0365,0.066,0.000152,0.145,0.864,86.998,4
