Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0awZMpokrVSdvtYe1MdcWM,"Morning Glory - Remastered","(What's The Story) Morning Glory? [Remastered]","Oasis",1995-10-02,303320,58,false,marcus.beaumont,2019-06-17T12:58:45Z,"britpop,madchester","Big Brother",0.33,0.983,0,-3.038,1,0.0932,0.0664,0.0000468,0.491,0.0968,136.952,4
spotify:track:2wOvYLilnDJfuPXGHGFAWZ,"Ripcord","Pablo Honey","Radiohead",1993-02-22,189733,53,false,marcus.beaumont,2021-10-08T01:00:38Z,"art rock,alternative rock","XL Recordings",0.255,0.906,2,-10.436,1,0.0548,0.0000198,0.358,0.322,0.256,137.951,4
spotify:track:55OzuoTnnJl8WWQJ9WMoGs,"On Your Own - 2012 Remaster","Blur","Blur",1997-02-10,266173,40,false,marcus.beaumont,2019-06-21T06:12:15Z,"britpop,madchester,alternative rock","Parlophone UK",0.524,0.835,11,-6.262,1,0.0734,0.0296,0,0.0635,0.549,84.205,4
spotify:track:17hdos7cv1vAvcfoTU4Pym,"The Only One I Know","Some Friendly","The Charlatans",1990-10-08,238120,1,false,marcus.beaumont,2019-06-17T13:08:32Z,"madchester,britpop","Beggars Banquet",0.543,0.572,5,-13.124,1,0.0317,0.0685,0.00119,0.0823,0.533,113.312,4
spotify:track:67ncFJWaIbJdqZl1bpEppz,"Movin' on Up","Screamadelica","Primal Scream",1991-09-23,228266,63,false,marcus.beaumont,2019-06-21T02:31:01Z,"madchester,britpop,alternative dance","Creation Records",0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,4
spotify:track:7I6Ugwp4twHiMh7U7Ie0q1,"Motorcycle Emptiness","GENERATION TERRORISTS","Manic Street Preachers",1992-02-10,365573,37,false,marcus.beaumont,2019-06-20T03:48:57Z,"britpop","Columbia",0.53,0.622,4,-10.332,1,0.0296,0.00000863,0.594,0.113,0.246,112.637,4
spotify:track:61a38rFWxM6jwnKP7SPw9k,"Yesterday Went Too Soon","Yesterday Went Too Soon","Feeder",1999-08-30,260853,0,false,marcus.beaumont,2019-06-20T03:14:21Z,"britpop","Echo",0.271,0.775,10,-4.874,1,0.0471,0.00306,0.000141,0.129,0.177,161.587,4
spotify:track:2q1VaYfLyPur3bwZswF5o2,"Going For Gold","Going For Gold","Shed Seven",1999-01-01,267493,0,false,marcus.beaumont,2019-06-17T12:44:43Z,"britpop,madchester","Polydor",0.36,0.844,9,-4.847,1,0.0353,0.0171,0.348,0.0818,0.483,96.186,4
spotify:track:5yEPxDjbbzUzyauGtnmVEC,"Bitter Sweet Symphony","Urban Hymns","The Verve",1997-09-29,358426,5,false,marcus.beaumont,2019-06-17T12:44:43Z,"britpop,shoegaze","Hut",0.389,0.889,9,-6.546,1,0.0442,0.0415,0,0.463,0.524,171.121,4
spotify:track:5wFjFUhrcJwZqkv4LEBUXm,"Animal Nitrate - Remastered","Suede (Remastered)","Suede",1993-03-29,205650,0,false,marcus.beaumont,2019-06-18T23:45:33Z,"britpop,madchester","Suede Ltd.",0.0896,0.924,6,-4.133,1,0.0615,0.526,0,0.0793,0.26,204.775,4
