Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5eSllZgRWCIJsDTAqFRwQw,"Coffee & TV","13","Blur",1999,358773,67,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-17T22:43:58Z,"britpop,madchester,alternative rock","Parlophone UK",0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,4
spotify:track:4SE81CrzH0qPA8KHqM9Syz,"Just","The Bends","Radiohead",1995-03-28,234800,0,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-18T04:00:12Z,"art rock,alternative rock","XL Recordings",0.291,0.767,7,-6.913,0,0.0862,0.000401,0.0119,0.0763,0.358,175.699,4
spotify:track:4FDEDR99kqoGZOV88Wpnpg,"Hey Now! - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,341906,54,false,2ssode4h2zqipe5tc8e4uvm9g,2024-09-26T02:25:58Z,"britpop,madchester","Big Brother Recordings Ltd",0.151,0.935,11,-2.461,0,0.0626,0.000235,0.000561,0.308,0.202,202.341,4
spotify:track:3OShEwL39KKdLmBztUC3IP,"Suedehead - 2010 Remaster","Bona Drag (2010 Remaster)","Morrissey",1990-10-15,222466,30,false,2ssode4h2zqipe5tc8e4uvm9g,2021-03-13T06:25:40Z,"britpop,madchester,jangle pop,new wave","Rhino/Warner Records",0.528,0.965,9,-5.265,1,0.0364,0.00265,0.00118,0.14,0.902,142.314,4
spotify:track:6b2oQwSGFkzsMtQruIWm2p,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,7,true,2ssode4h2zqipe5tc8e4uvm9g,2021-01-17T23:18:31Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4
spotify:track:5yEPxDjbbzUzyauGtnmVEC,"Bitter Sweet Symphony","Urban Hymns","The Verve",1997-09-29,358426,5,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-17T23:18:07Z,"britpop,shoegaze","Hut",0.389,0.889,9,-6.546,1,0.0442,0.0415,0,0.463,0.524,171.121,4
spotify:track:5CeL9C3bsoe4yzYS1Qz8cw,"Girls & Boys","Blur: The Best Of","Blur",2000-10-23,259385,75,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-17T23:18:13Z,"britpop,madchester,alternative rock","Parlophone UK",0.693,0.875,7,-8.354,0,0.0315,0.00986,0,0.0601,0.899,120.048,4
spotify:track:6JvEXmRh3l2acBzvqavgT9,"Love Spreads","Second Coming","The Stone Roses",1994-12-05,347093,63,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-18T03:40:07Z,"madchester,britpop,jangle pop","Geffen",0.435,0.88,2,-8.451,1,0.0448,0.00265,0.0014,0.436,0.593,91.116,4
spotify:track:5AkT8GQhA7RDVKebTTiZPF,"Supersonic","Definitely Maybe","Oasis",1994-08-29,283706,0,false,2ssode4h2zqipe5tc8e4uvm9g,2021-01-18T03:40:15Z,"britpop,madchester","Big Brother",0.396,0.882,9,-4.727,1,0.0352,0.0000399,0.00497,0.13,0.691,103.921,4
spotify:track:0zTpyef2bBjDU15R4O8sJ4,"Yes, I Am Blind - 2010 Remaster","Bona Drag (2010 Remaster)","Morrissey",1990-10-15,224600,29,false,2ssode4h2zqipe5tc8e4uvm9g,2021-03-13T06:25:31Z,"britpop,madchester,jangle pop,new wave","Rhino/Warner Records",0.451,0.465,6,-6.464,1,0.0259,0.129,0,0.161,0.177,50.898,4
