Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ziHnshbknkpFLDW5yGBjO,"Never Ever","All Saints","All Saints",1997,387573,68,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","London Records",0.738,0.541,1,-5.485,1,0.0311,0.559,0,0.0492,0.309,134.187,4
spotify:track:1pDylAt4nUPy2r72KRQDYX,"Flying Without Wings","Westlife","Westlife",1999-11-01,216266,67,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","RCA Records Label",0.457,0.488,8,-7.964,1,0.0301,0.326,0,0.154,0.283,72.517,4
spotify:track:013AWvizllIUEC2FOBzOnh,"Truly Madly Deeply","Savage Garden","Savage Garden",1997-03-04,277266,72,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Sony Music Entertainment",0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,4
spotify:track:1M2nd8jNUkkwrc1dgBPTJz,"Angels","Life Thru A Lens","Robbie Williams",1997-01-01,265000,79,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Universal-Island Records Ltd.",0.429,0.594,4,-6.251,1,0.0277,0.156,0.00000495,0.1,0.236,150.22,4
spotify:track:0gcjc7Vt5xtcfmJgf6g2IO,"When You Say Nothing At All","Ronan","Ronan Keating",2000-01-01,256825,75,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Polydor Records",0.461,0.448,7,-10.665,1,0.0246,0.161,0.00000118,0.0811,0.418,173.86,4
spotify:track:6csX1JjmeoLhGqMBXGnZF0,"Runaway","Forgiven, Not Forgotten","The Corrs",1995-09-26,265133,68,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"celtic rock","WM UK",0.423,0.598,5,-7.443,1,0.0268,0.641,0.00000124,0.34,0.521,151.972,3
spotify:track:0RilVXCOQf4AD6a4uTTs7d,"Too Lost In You","Overloaded","Sugababes",2006-01-01,239626,29,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Universal-Island Records Ltd.",0.585,0.662,1,-6.077,0,0.0283,0.0549,0,0.128,0.482,97.963,4
spotify:track:5KVPav34JaKkXwBTJHnPgo,"No Matter What","Where We Belong","Boyzone",1998-05-25,274266,60,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","UMC (Universal Music Catalogue)",0.704,0.417,7,-9.41,1,0.0243,0.187,0.00000213,0.137,0.532,92.726,4
spotify:track:3YKptz29AsOlm7WAVnztBh,"Kiss from a Rose","Seal","Seal",1994-05-31,288426,81,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Warner Records",0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745,3
spotify:track:6vcdzohhBSbNdsZBh5IRpQ,"Back for Good - Radio Mix","Nobody Else (Expanded Edition)","Take That",1995-05-08,242266,78,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Sony Music CG",0.601,0.504,5,-9.761,1,0.0284,0.31,0,0.137,0.564,78.986,4
spotify:track:3JV17jq7Ou2X6jENvAyJ46,"Two In A Million","S Club","S Club",1999-01-01,211200,47,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","UMC (Universal Music Catalogue)",0.667,0.704,1,-7.186,1,0.0253,0.199,0,0.0971,0.768,91.042,4
spotify:track:3adnLFXKO5rC1lhUNSeg3N,"White Flag","Life For Rent","Dido",2003-09-03,240600,66,false,hfotla3jy6i33dlgk1pzp3no6,2023-01-12T18:07:52Z,"","Arista",0.509,0.538,5,-6.835,1,0.0379,0.306,0.00000503,0.091,0.284,170.111,4
