Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Cf6hpnrWfhGA59IK4E8F8,"Animal Nitrate","Suede (25th Anniversary Edition)","Suede",1993-03-29,207762,54,false,ordago13,2022-10-02T21:30:52Z,"britpop,madchester","Edsel",0.283,0.91,6,-5.301,1,0.0431,0.506,0,0.108,0.331,100.928,4
spotify:track:2fXKyAyPrEa24c6PJyqznF,"Common People - Full Length Version","Different Class","Pulp",1995-10-30,351626,71,false,ordago13,2022-10-02T21:31:02Z,"britpop,madchester","Universal-Island Records Ltd.",0.314,0.797,0,-9.026,1,0.038,0.0057,0.0000559,0.0718,0.569,145.393,4
spotify:track:7ppPZa3TRUSGKaks9wH7VT,"Don't Look Back In Anger","(What's The Story) Morning Glory?","Oasis",1995-10-02,287826,76,false,ordago13,2022-10-02T21:31:16Z,"britpop,madchester","Big Brother Recordings Ltd",0.349,0.917,0,-3.645,1,0.071,0.026,0.00000725,0.0968,0.206,164.036,4
spotify:track:4vnYwFOZCVl0bmerWyuzRw,"Country House","Blur: The Best Of","Blur",2000-10-23,237733,56,false,ordago13,2022-10-02T21:31:28Z,"britpop,madchester,alternative rock","Parlophone UK",0.341,0.895,9,-6.66,1,0.076,0.147,0,0.0741,0.677,174.987,4
spotify:track:57iDDD9N9tTWe75x6qhStw,"Bitter Sweet Symphony - Remastered 2016","Urban Hymns (Remastered 2016)","The Verve",1997-09-29,357266,88,false,ordago13,2022-10-02T21:31:34Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,94,true,ordago13,2022-10-02T21:31:45Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:2VmyLy2HQlkevZYboXHM5O,"If You Tolerate This Your Children Will Be Next","This Is My Truth Tell Me Yours","Manic Street Preachers",1998-09-14,290960,61,false,ordago13,2022-10-02T21:31:55Z,"britpop","Epic",0.267,0.81,0,-6.189,1,0.0418,0.00019,0.018,0.084,0.267,127.673,5
spotify:track:7ziicmUOzWXAkdPriOmFk9,"The Only One I Know","Some Friendly","The Charlatans",1990-09-25,238120,61,false,ordago13,2022-10-02T21:32:05Z,"madchester,britpop","Beggars Banquet",0.546,0.572,5,-13.104,1,0.0319,0.0701,0.000731,0.079,0.529,113.312,4
spotify:track:3uvTySdxejOSPEACJsajdW,"Good Enough","Free Peace Sweet","Dodgy",1996-01-01,241306,58,false,ordago13,2022-10-02T21:32:25Z,"britpop,madchester","EMI",0.578,0.967,0,-6.02,1,0.0604,0.00111,0.000569,0.34,0.736,111.735,4
spotify:track:5xC8uOesnn0udeXAYlAnoY,"Alright","I Should Coco","Supergrass",1995-05-15,180880,5,false,ordago13,2022-10-02T21:32:36Z,"britpop","Echo",0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,4
