Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1FCzWkUhMgqtum7GQnoNM8,"Supersonic - Remastered","Definitely Maybe (30th Anniversary Deluxe Edition)","Oasis",2024-08-30,283786,43,false,,2024-09-01T15:34:53Z,"britpop,madchester","Big Brother Recordings Ltd",0.359,0.913,9,-2.865,1,0.0391,0.0000631,0.0121,0.0954,0.589,104.058,4
spotify:track:7FSzJQV6thyoQptFCUTV9c,"Parklife - 2012 Remaster","Parklife (Special Edition)","Blur",1994-04-25,185093,68,false,,2024-03-18T22:10:08Z,"britpop,madchester,alternative rock","Parlophone UK",0.628,0.89,4,-6.094,1,0.0675,0.121,0,0.281,0.722,138.787,4
spotify:track:2fXKyAyPrEa24c6PJyqznF,"Common People - Full Length Version","Different Class","Pulp",1995-10-30,351626,71,false,,2024-03-18T22:10:08Z,"britpop,madchester","Universal-Island Records Ltd.",0.314,0.797,0,-9.026,1,0.038,0.0057,0.0000559,0.0718,0.569,145.393,4
spotify:track:2mxPSHEwjJWOQS7lGw6btF,"Lucky Man","Urban Hymns (Deluxe / Remastered 2016)","The Verve",1997-09-29,293586,75,false,,2024-03-18T22:10:08Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.407,0.663,2,-7.591,1,0.0305,0.255,0.000166,0.0913,0.211,75.989,4
spotify:track:0MteK167vtyb6hoJNC3Uz3,"A Girl Like You","Gorgeous George","Edwyn Collins",2011-10-19,236583,73,false,,2024-03-18T22:10:08Z,"britpop","AED",0.619,0.781,5,-7.456,0,0.0393,0.0245,0.000293,0.402,0.533,126.266,4
spotify:track:1WYrTfvKjQYaYfVziGG1ET,"Linger - Remastered 2026","Everybody Else Is Doing It, So Why Can't We? (Remastered 2026)","The Cranberries",1993,274720,86,false,,2024-03-18T22:10:08Z,"","Island Records",0.217,0.68,7,-7.474,1,0.0306,0.0292,0.000141,0.316,0.17,94.929,4
spotify:track:05ajrG3EAcIe3j7NuqRV9B,"Alright - 2015 Remaster","I Should Coco (20th Anniversary Collector's Edition)","Supergrass",1995-05-15,181266,78,false,,2024-03-18T22:10:08Z,"britpop","Echo",0.463,0.967,4,-5.781,0,0.0901,0.000322,0.357,0.308,0.741,145.915,4
spotify:track:4c6vZqYHFur11FbWATIJ9P,"There She Goes","The La's","The La's",1990,162186,74,false,,2024-03-18T22:10:08Z,"britpop,jangle pop","UMC (Universal Music Catalogue)",0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4
spotify:track:57iDDD9N9tTWe75x6qhStw,"Bitter Sweet Symphony - Remastered 2016","Urban Hymns (Remastered 2016)","The Verve",1997-09-29,357266,88,false,,2024-03-18T22:10:08Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
spotify:track:70LcF31zb1H0PyJoS1Sx1r,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,94,true,,2024-03-18T22:10:08Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
spotify:track:12dU3vAh6AFoJkisorfoUl,"Don't Look Back In Anger - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,289560,80,false,,2024-03-18T22:10:08Z,"britpop,madchester","Big Brother Recordings Ltd",0.328,0.936,0,-3.254,1,0.0628,0.0665,0.00000261,0.165,0.31,162.97,4
spotify:track:5MysS3pCaWxyBGRlm8zNnK,"Laid","Fresh As A Daisy - The Singles","James",2007-01-01,157293,52,false,,2024-03-18T22:10:08Z,"britpop,madchester","EMI",0.474,0.971,0,-4.554,1,0.0364,0.0248,0.0000627,0.15,0.67,116,4
spotify:track:2bEbTqj36jmuwMhvvCRC2y,"Ready to Go","Ready To Go","Republica",2002-05-24,301533,50,false,,2024-03-18T22:10:08Z,"britpop","RCA Camden",0.559,0.952,7,-4.68,1,0.0544,0.000242,0.192,0.204,0.243,130.047,4
spotify:track:0YHRZzR0eUV9JXGFrcS4EX,"Stupid Girl - Remastered 2015","Garbage (20th Anniversary Edition/Remastered)","Garbage",1995,258533,52,false,,2024-03-18T22:10:08Z,"","Almo Sounds",0.634,0.756,1,-4.81,0,0.0332,0.00251,0.000441,0.0427,0.661,119.948,4
