Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FSzJQV6thyoQptFCUTV9c,"Parklife - 2012 Remaster","Parklife (Special Edition)","Blur",1994-04-25,185093,68,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:26:40Z,"britpop,madchester,alternative rock","Parlophone UK",0.628,0.89,4,-6.094,1,0.0675,0.121,0,0.281,0.722,138.787,4
spotify:track:4gAU0cHQJFxj1n2ZDiEIzG,"Step On - 2007 Remaster","Pills 'N' Thrills And Bellyaches (Collector's Edition)","Happy Mondays",1990-01-01,318506,60,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:11Z,"madchester,britpop,alternative dance,acid house","London Records (Because Ltd)",0.595,0.889,7,-7.163,1,0.0332,0.0000112,0.551,0.118,0.45,105.153,4
spotify:track:5xC8uOesnn0udeXAYlAnoY,"Alright","I Should Coco","Supergrass",1995-05-15,180880,5,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:14Z,"britpop","Echo",0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,4
spotify:track:2mv6GY70UsHiTCGQZ4JfgC,"Fools Gold - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,594453,63,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:17Z,"madchester,britpop,jangle pop","Sony Music UK",0.731,0.875,7,-6.393,1,0.0457,0.000367,0.858,0.289,0.164,112.78,4
spotify:track:4CWgqHRJjDLd2PCedMz8eY,"Waterfall - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,278826,65,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:20Z,"madchester,britpop,jangle pop","Sony Music UK",0.491,0.686,11,-8.22,1,0.0289,0.0236,0.263,0.451,0.437,103.715,4
spotify:track:3clIHVzJ9J2rvvrFUKLICo,"She Bangs the Drums - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,232333,66,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:23Z,"madchester,britpop,jangle pop","Sony Music UK",0.339,0.976,9,-4.782,1,0.0909,0.00649,0.00672,0.123,0.672,144.723,4
spotify:track:433EQGQOsQjWvD5eImXkHf,"This Is the One - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,299320,60,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:26Z,"madchester,britpop,jangle pop","Sony Music UK",0.247,0.784,9,-7.452,1,0.0514,0.00133,0.0369,0.558,0.345,126.679,4
spotify:track:51xPLClVr9DDGwrtnFc6DF,"Sally Cinnamon (12"" Single Mix)","Sally Cinnamon","The Stone Roses",1987,207666,0,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:29Z,"madchester,britpop,jangle pop","Revolver Records",0.396,0.673,7,-13.188,1,0.0363,0.0134,0.000593,0.281,0.332,129.272,4
spotify:track:5GPAdazqveAYzXFNQauly6,"There Is a Light That Never Goes Out - Live at Castlefield Bowl","Concrete Love (Deluxe Version)","Courteeners",2014-08-18,266750,33,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:32Z,"indie,madchester","[PIAS] Cooperative",0.307,0.542,1,-11.686,0,0.0423,0.7,0.00000163,0.986,0.592,135.045,4
spotify:track:0bZelokqNQicLQfLU1Ayw8,"Made of Stone - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,254640,65,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:34Z,"madchester,britpop,jangle pop","Sony Music UK",0.264,0.966,7,-5.009,1,0.0832,0.094,0.175,0.332,0.427,131.603,4
spotify:track:758wEKVqfYopJIHYWdLVd4,"I Wanna Be Adored - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,292800,74,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:36Z,"madchester,britpop,jangle pop","Sony Music UK",0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,4
spotify:track:3rzYUfyzdZW96cHXnGn1xI,"What Difference Does It Make? - 2011 Remaster","The Smiths","The Smiths",1984-02-20,229866,64,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:40Z,"new wave,madchester,jangle pop","WM UK",0.383,0.888,1,-6.503,0,0.037,0.000492,0.000174,0.0479,0.393,163.23,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,86,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:43Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,81,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:48Z,"new wave,madchester,jangle pop","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
spotify:track:1Bq65xKgu0kjSUMUlfWyPl,"Transmission - 2020 Digital Remaster","Transmission","Joy Division",1979-10-07,218440,62,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:52Z,"post-punk,gothic rock,new wave,darkwave,madchester,cold wave","WM UK",0.496,0.849,7,-6.512,1,0.0401,0.0202,0.573,0.102,0.65,153.724,4
spotify:track:5fbQCQt91LsVgXusFS0CCD,"Disorder - 2007 Remaster","Unknown Pleasures (Collector's Edition)","Joy Division",1979-06-01,209039,71,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:28:57Z,"post-punk,gothic rock,new wave,darkwave,madchester,cold wave","London Records",0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,4
spotify:track:0rcLhYRihks3t4lFPtHhQV,"She's Lost Control - 2007 Remaster","Unknown Pleasures (Collector's Edition)","Joy Division",1979-06-01,237013,59,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:29:01Z,"post-punk,gothic rock,new wave,darkwave,madchester,cold wave","London Records",0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246,4
spotify:track:0p5eZCY0R7uNCZS1YDtIYI,"Hey","Doolittle","Pixies",1989-04-17,210906,69,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:29:04Z,"alternative rock","4AD",0.59,0.372,7,-12.37,1,0.0318,0.00105,0.00929,0.316,0.306,99.887,4
spotify:track:1YrnDTqvcnUKxAIeXyaEmU,"How Soon Is Now? - 2011 Remaster","Hatful of Hollow","The Smiths",1984,408173,78,false,vexun93cd49rj7hlb3llnsn1n,2023-06-09T18:29:08Z,"new wave,madchester,jangle pop","WM UK",0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,4
