Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xMAMaVbW3tkjXTmSUBPTd,"Common People","Hits (International version)","Pulp",2002-01-01,350640,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Universal Music Group",0.311,0.895,0,-4.854,1,0.0416,0.00735,0.0000409,0.0824,0.496,145.583,4
spotify:track:5CeL9C3bsoe4yzYS1Qz8cw,"Girls & Boys","Blur: The Best Of","Blur",2000-10-23,259385,75,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,alternative rock","Parlophone UK",0.693,0.875,7,-8.354,0,0.0315,0.00986,0,0.0601,0.899,120.048,4
spotify:track:2RYz6zBkLSsYMNi1EU9ntS,"Cigarettes & Alcohol","Definitely Maybe","Oasis",1994-08-29,289400,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Helter Skelter Records",0.295,0.849,2,-2.561,1,0.0489,0.0000254,0.0618,0.147,0.451,114.696,4
spotify:track:2BrL11P3djGJKirIN160qf,"Connection","Elastica","Elastica",1995-02-08,140533,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,riot grrrl","Deceptive",0.686,0.689,3,-5.558,1,0.0366,0.000313,0.69,0.0492,0.875,121.329,4
spotify:track:6joAGL5IuD66Qgcz049ObW,"Yes - Full Version","The Sound Of McAlmont And Butler","McAlmont & Butler",1995-01-01,293893,49,false,bestmv4u,2014-09-22T03:06:34Z,"britpop","Hut",0.422,0.776,5,-7.127,1,0.0381,0.0244,0,0.143,0.405,109.796,4
spotify:track:38P9wcqc8ntgjgybw63R9L,"End of a Century","Blur: The Best Of","Blur",2000-10-23,166933,45,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,alternative rock","Parlophone UK",0.453,0.646,7,-8.012,1,0.0275,0.191,0,0.201,0.508,81.586,4
spotify:track:2DDYniif4CDJ2W8SGVmvGk,"Supersonic","Definitely Maybe","Oasis",1994-08-29,283800,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Helter Skelter Records",0.393,0.876,9,-5.003,1,0.0342,0.0000334,0.00767,0.122,0.685,103.954,4
spotify:track:0hRr4N3aikox5V3fIllEnH,"Reverend Black Grape","It's Great When You're Straight ... Yeah","Black Grape",1995-01-01,313773,0,false,bestmv4u,2014-09-22T03:06:34Z,"madchester,britpop,alternative dance","Universal Music Group",0.61,0.919,8,-6.889,1,0.0643,0.000587,0.00263,0.186,0.657,108.11,4
spotify:track:0A89A3JzW8z5ANy2ASAlyz,"Animal Nitrate","Suede (Deluxe Edition)","Suede",1993-03-29,208640,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","WM Hong Kong",0.243,0.907,6,-4.842,1,0.0468,0.538,0,0.0754,0.274,101.124,4
spotify:track:6HuHn4aD0sbAxf8Q2udFA7,"Sorted For E's & Wizz","Different Class / Deluxe Edition","Pulp",1995-10-30,227733,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Universal Music Group",0.534,0.818,0,-7.819,1,0.0536,0.259,0.00000155,0.358,0.489,93.851,4
spotify:track:40FgcMheirxD3Nhsb9dVAc,"The Man Don’t Give a Fuck","Out Spaced","Super Furry Animals",1998,290466,0,true,bestmv4u,2014-09-22T03:06:34Z,"britpop,neo-psychedelic","Beggars Group U.S.A / XL Recordings",0.53,0.985,9,-2.093,0,0.0661,0.071,0.765,0.406,0.227,125.004,4
spotify:track:7ec55GDkRIBmsI8XKrG1lu,"Disco 2000","Different Class / Deluxe Edition","Pulp",1995-10-30,273733,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Universal Music Group",0.567,0.932,7,-5.888,0,0.0759,0.0147,0,0.0484,0.55,133.074,4
spotify:track:2DUpMrIUlWrb8MyEMCpHed,"For Tomorrow - Visit to Primrose Hill Extended","Blur: The Best Of","Blur",2000-10-23,361840,38,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,alternative rock","Parlophone UK",0.632,0.77,11,-8.592,0,0.0269,0.0241,0.0000547,0.0786,0.731,96.21,4
spotify:track:1JYs5OOgeW1jAOaiiLlJdx,"Girl From Mars","The Best Of Ash (Remastered Version)","Ash",1995-07-31,213533,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop","Echo",0.236,0.797,9,-6.949,1,0.0447,0.0186,0,0.11,0.477,154.336,4
spotify:track:5ItOsTCo8BVD7dgmFC3EZp,"Live Forever","Definitely Maybe","Oasis",1994-08-29,276826,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Helter Skelter Records",0.223,0.762,9,-5.652,0,0.0339,0.0000145,0.00000502,0.369,0.219,90.056,4
spotify:track:1pUNeXXcmAJOyK6TiVL49n,"Babies","His 'N' Hers","Pulp",1994-04-18,244826,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Universal Music Group",0.299,0.818,2,-7.942,1,0.0649,0.113,0.00000246,0.0827,0.604,156.193,4
spotify:track:2Rbrj2ozLWuPLXlibNYO7p,"Ice Hockey Hair","Songbook","Super Furry Animals",2004-10-04,416040,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,neo-psychedelic","Sony Music UK",0.368,0.849,4,-5.159,1,0.0984,0.0781,0.0237,0.0994,0.373,97.125,4
spotify:track:1SvirQJ6UjgcSOCQNW0tAJ,"Wide Open Space","Alternative","Mansun",2008-04-28,271106,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Parlophone UK",0.516,0.796,9,-6.629,0,0.0286,0.0147,0.00000783,0.0824,0.0881,103.71,4
spotify:track:2C2XwqfN3TDn39JRQbWnb6,"The Drowners","Suede (Deluxe Edition)","Suede",1993-03-29,251000,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","WM Hong Kong",0.438,0.907,8,-4.765,1,0.0386,0.0488,0,0.0793,0.64,148.08,4
spotify:track:70LIe5IYE2TI8qqxePAoOR,"Waking Up","Elastica","Elastica",1995-02-08,195600,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,riot grrrl","Deceptive",0.455,0.976,9,-3.757,0,0.0801,0.00274,0.623,0.0566,0.542,137.895,4
spotify:track:0iAcyO7WLhnC7WOTOpjGv1,"Caught By the Fuzz","I Should Coco","Supergrass",1995-05-15,136773,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop","Echo",0.322,0.952,9,-6.925,1,0.205,0.000202,0.219,0.0671,0.257,161.79,4
spotify:track:3XbefxYuXwdevdt9OegZhI,"Don't Look Back in Anger","Stop The Clocks","Oasis",2006-11-17,293573,0,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester","Big Brother",0.324,0.944,0,-2.444,1,0.0593,0.0658,0,0.0828,0.288,162.756,4
spotify:track:5BpWVTgEQTng1ocwMsVzZO,"To the End","Blur: The Best Of","Blur",2000-10-23,231893,46,false,bestmv4u,2014-09-22T03:06:34Z,"britpop,madchester,alternative rock","Parlophone UK",0.507,0.65,2,-8.972,1,0.0244,0.0326,0.00915,0.122,0.608,96.577,4
