Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,86,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:32:29Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:6MJKD4yww06r6AskfnnMRQ,"A Certain Someone","Reading, Writing And Arithmetic","The Sundays",1990,264883,55,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:32:36Z,"dream pop,jangle pop","Geffen",0.661,0.604,9,-10.847,0,0.072,0.123,0.000546,0.225,0.673,122.275,4
spotify:track:1nRJspMBtxOEskfkLzHJHG,"Advert - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,225413,42,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:33:40Z,"britpop,madchester,alternative rock","Parlophone UK",0.63,0.922,2,-5.89,1,0.0439,0.00235,0.00000297,0.108,0.863,137.596,4
spotify:track:3HAuu9OyF56aFHtdE0iTJl,"She's so Loose - 2015 Remaster","I Should Coco (20th Anniversary Collector's Edition)","Supergrass",1995-05-15,179840,38,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:34:16Z,"britpop","Echo",0.418,0.905,0,-6.06,1,0.0567,0.000486,0.0122,0.32,0.445,155.887,4
spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,81,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:34:37Z,"new wave,madchester,jangle pop","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
spotify:track:2RKDbMwtJgKc76H9oPo7Cl,"Boys Don't Cry","Greatest Hits","The Cure",2001-11-13,157053,72,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:37:08Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.463,0.853,11,-6.24,0,0.0706,0.0101,0,0.107,0.69,169.574,4
spotify:track:1FTSo4v6BOZH9QxKc3MbVM,"Song 2 - 2012 Remaster","Blur (Special Edition)","Blur",1997-02-10,121160,85,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:37:28Z,"britpop,madchester,alternative rock","Parlophone UK",0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4
spotify:track:73kW4XDVEv9Vuv7eVN7BdP,"Motorcycle Emptiness - Remastered","Generation Terrorists (Legacy Edition) [Remastered]","Manic Street Preachers",1992-02-10,368960,49,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:37:35Z,"britpop","Sony Music UK",0.529,0.784,1,-5.288,0,0.0283,0.00000661,0.142,0.135,0.253,112.461,4
spotify:track:03yOjwHoOPDlTUg0NRxN6t,"Cemetry Gates - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,161040,66,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:38:31Z,"new wave,madchester,jangle pop","WM UK",0.55,0.796,7,-7.007,1,0.0306,0.151,0,0.222,0.622,105.354,4
spotify:track:2AdRSHeYmDGMrgIfiS2w7K,"Ask - 2011 Remaster","Louder Than Bombs","The Smiths",1987,198146,65,false,2tzmpd0hawzypgeozkdg56gdj,2025-03-25T07:38:38Z,"new wave,madchester,jangle pop","WM UK",0.453,0.986,7,-5.768,1,0.119,0.387,0,0.422,0.455,166.594,4
