Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1FTSo4v6BOZH9QxKc3MbVM,"Song 2 - 2012 Remaster","Blur (Special Edition)","Blur",1997-02-10,121160,85,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-29T12:14:29Z,"britpop,madchester,alternative rock","Parlophone UK",0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4
spotify:track:1nRJspMBtxOEskfkLzHJHG,"Advert - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,225413,42,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-31T07:04:32Z,"britpop,madchester,alternative rock","Parlophone UK",0.63,0.922,2,-5.89,1,0.0439,0.00235,0.00000297,0.108,0.863,137.596,4
spotify:track:2RKDbMwtJgKc76H9oPo7Cl,"Boys Don't Cry","Greatest Hits","The Cure",2001-11-13,157053,72,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-31T07:04:38Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.463,0.853,11,-6.24,0,0.0706,0.0101,0,0.107,0.69,169.574,4
spotify:track:3rWlZxRCrBMcEL3QsSidr4,"For Tomorrow - 2012 Remaster","Modern Life Is Rubbish (Special Edition)","Blur",1993-05-10,261240,50,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-31T07:04:44Z,"britpop,madchester,alternative rock","Parlophone UK",0.631,0.84,2,-6.025,1,0.0285,0.0143,0,0.0712,0.653,95.849,4
spotify:track:23oUaizFBFVFI5PxJrkiO5,"Anyone Can Play Guitar","Pablo Honey","Radiohead",1993-02-22,217800,59,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-31T07:04:48Z,"art rock,alternative rock","XL Recordings",0.293,0.812,4,-10.772,0,0.0546,0.000101,0.000756,0.332,0.555,150.743,4
spotify:track:2Xma2zCgfsz6amJ0qZ1cow,"Digsy's Dinner - Remastered","Definitely Maybe (Deluxe Edition Remastered)","Oasis",1994,152266,53,false,r1agwuyi8pyj26tc30f4ptboz,2026-01-31T07:04:53Z,"britpop,madchester","Big Brother Recordings Ltd",0.305,0.988,2,-2.912,1,0.103,0.000824,0.837,0.0678,0.0513,139.353,4
spotify:track:0jyikFM0Umv0KlnrOEKtTG,"My Iron Lung","The Bends","Radiohead",1995-03-13,276426,70,false,r1agwuyi8pyj26tc30f4ptboz,2026-02-08T07:04:19Z,"art rock,alternative rock","XL Recordings",0.242,0.859,0,-8.41,1,0.0663,0.0565,0.114,0.38,0.672,96.917,4
spotify:track:3DQVgcqaP3iSMbaKsd57l5,"I Bet You Look Good On The Dancefloor","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,173680,76,false,r1agwuyi8pyj26tc30f4ptboz,2026-02-08T07:04:21Z,"indie,garage rock","Domino Recording Co",0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,4
spotify:track:0eDQj41kzBhMKQIkTt6OJR,"A Certain Romance","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,331200,67,false,r1agwuyi8pyj26tc30f4ptboz,2026-02-08T07:04:29Z,"indie,garage rock","Domino Recording Co",0.455,0.881,11,-5.587,1,0.0401,0.000566,0.0000606,0.11,0.201,137.949,4
spotify:track:1p2TWJxUlHE5JR0sE6E1d7,"Best to You","Freetown Sound","Blood Orange;Empress Of",2016-06-28,225747,71,false,r1agwuyi8pyj26tc30f4ptboz,2026-02-08T07:05:10Z,"art pop","Domino Recording Co",0.658,0.785,0,-8.513,1,0.036,0.181,0.00223,0.724,0.345,125.015,4
