Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rt0kEDWRg3pgTZJKuszoE,"Brown Sugar","Brown Sugar","D'Angelo",1995-07-03,262893,66,true,yaw.asare,2018-03-10T03:39:44Z,"neo soul","Virgin Records",0.717,0.486,9,-8.342,1,0.169,0.529,0.0318,0.102,0.579,83.077,4
spotify:track:27uPNxwEtdh5QgCyfgwgu6,"A Long Walk","Golden Moments","Jill Scott",2015-06-16,277826,24,false,yaw.asare,2018-03-10T03:40:00Z,"neo soul,quiet storm","Hidden Beach Records",0.651,0.539,6,-9.239,0,0.296,0.0514,0.00019,0.136,0.309,76.301,4
spotify:track:6s4xndGKUhW0xXPYvFlwcL,"Other Side Of The Game","Baduizm","Erykah Badu",1997-01-01,393733,62,false,yaw.asare,2018-03-10T03:40:23Z,"neo soul,r&b","Universal Records",0.662,0.253,8,-10.665,0,0.085,0.433,0.53,0.116,0.187,83.056,4
spotify:track:60Pjyla2BNnWzWxNXxGa4u,"Sumthin' Sumthin' - Remastered 2021","Maxwell's Urban Hang Suite","Maxwell",1996-04-02,257670,61,false,yaw.asare,2018-03-10T03:40:54Z,"neo soul,quiet storm,r&b","Columbia",0.796,0.537,10,-9.383,0,0.0751,0.445,0.0725,0.0862,0.857,97.886,4
spotify:track:71ZWjdZy5kChgLEWidRHpE,"(Lay Your Head On My) Pillow","20th Century Masters: The Millennium Collection: Best Of Tony! Toni! Tone!","Tony! Toni! Toné!",2001-01-01,367373,0,false,yaw.asare,2018-03-10T03:41:14Z,"new jack swing,quiet storm","Motown",0.706,0.492,6,-8.916,0,0.0359,0.0473,0.00000274,0.0672,0.526,79.067,4
spotify:track:1DTRyqSQ6CfDs46Ft9vUpR,"Mary Go Round","Aijuswanaseing","Musiq Soulchild;Osunlade",2000-01-01,221240,54,false,yaw.asare,2018-03-10T03:41:25Z,"neo soul,r&b,quiet storm,deep house,afro house","Def Jam Recordings",0.555,0.474,0,-8.21,1,0.285,0.298,0.000464,0.119,0.498,141.294,4
spotify:track:4oPNN7syJYSjzDhRerF966,"Untitled (How Does It Feel)","Voodoo","D'Angelo",2000-01-01,430800,65,false,yaw.asare,2018-03-10T03:41:40Z,"neo soul","Virgin Records",0.838,0.304,4,-9.975,0,0.0626,0.16,0.0267,0.0828,0.221,112.618,3
spotify:track:3ekAN7Ijl9vIemCaDbh29K,"Brown Skin","Acoustic Soul","India.Arie",2001-01-01,296106,55,false,yaw.asare,2018-03-10T03:41:50Z,"neo soul","Motown",0.697,0.445,5,-7.081,1,0.0638,0.263,0.00267,0.133,0.396,119.944,4
spotify:track:3xhXKRGahWzcXF8rD5gUvd,"Nothing Even Matters","The Miseducation of Lauryn Hill","Ms. Lauryn Hill;D'Angelo",1998-08-25,350533,0,false,yaw.asare,2018-03-10T03:42:18Z,"neo soul","Ruffhouse",0.539,0.363,10,-13.888,0,0.166,0.701,0.00000318,0.14,0.549,136.422,4
spotify:track:0tNuJpBgtE65diL6Q8Q7fI,"On & On","Baduizm","Erykah Badu",1997-01-01,226133,73,true,yaw.asare,2018-03-10T03:42:32Z,"neo soul,r&b","Universal Records",0.761,0.403,11,-10.424,0,0.158,0.0392,0.0113,0.256,0.346,80.476,4
spotify:track:1rCugBa2t3ycgyR4xHSvvA,"Fast Lane - Remix","1st Born Second","Bilal;Jadakiss;Dr. Dre",2001-01-01,274640,40,false,yaw.asare,2024-10-19T17:30:29Z,"neo soul,east coast hip hop,old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Interscope",0.527,0.677,2,-4.289,1,0.242,0.0297,0,0.0604,0.692,87.963,4
spotify:track:2UXEwIOtNGUUgGdXnds8V7,"Closer","Even Closer","Goapele",2002-02-12,229693,65,false,yaw.asare,2018-03-10T03:43:00Z,"neo soul","Skyblaze Recordings",0.714,0.436,1,-6.471,1,0.0342,0.462,0.0117,0.107,0.372,93.025,4
spotify:track:2mu2oL9gdgHGtlg9poer2u,"Rebirth of Slick (Cool Like Dat)","Beyond The Spectrum - The Creamy Spy Chronicles","Digable Planets",2005-01-01,261066,43,false,yaw.asare,2018-03-10T03:43:14Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Blue Note Records",0.887,0.422,1,-14.505,0,0.228,0.0539,0.0455,0.114,0.612,98.332,4
spotify:track:2dCD8qq7yHZPZduA8FJazs,"Come Close","Electric Circus","Common;Mary J. Blige",2002-01-01,275066,51,true,yaw.asare,2018-03-10T03:43:27Z,"hip hop,jazz rap,neo soul,r&b","Geffen*",0.721,0.469,1,-9.563,1,0.193,0.104,0.000111,0.0724,0.694,86.811,4
spotify:track:6UeROtzgj12WLgZx3033G6,"Comin' from Where I'm From - Radio Mix","Comin' From Where I'm From","Anthony Hamilton",2003-07-15,240146,54,false,yaw.asare,2018-03-10T03:44:00Z,"neo soul,r&b,quiet storm","Arista",0.572,0.745,6,-6.418,0,0.367,0.184,0,0.154,0.593,160.037,4
spotify:track:5Ru9OjtEw5htfnVKpYsIcv,"UMI Says","Black On Both Sides","Mos Def",1999-10-12,305280,57,true,yaw.asare,2018-03-10T03:44:19Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.72,0.67,2,-10.224,1,0.132,0.305,0,0.0928,0.566,121.342,4
