Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry;Snoop Dogg",2010-01-01,234653,80,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:05Z,"pop,g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
spotify:track:0ByMNEPAPpOR5H69DVrTNy,"Don't Stop The Music","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,267080,89,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:36:19Z,"","Def Jam Recordings",0.834,0.669,6,-5.582,0,0.0637,0.0341,0.0000718,0.0535,0.547,122.669,4
spotify:track:5xTtaWoae3wi06K5WfVUUH,"Shake It Off","1989","Taylor Swift",2014-10-27,219200,77,false,8ymi4akppr82qu6pvgivteisb,2022-04-22T15:34:17Z,"","Taylor Swift",0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,4
spotify:track:4gbVRS8gloEluzf0GzDOFc,"Maps","V","Maroon 5",2014-09-02,189960,87,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T22:56:22Z,"pop","Interscope Records*",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,"Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,81,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:35:25Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,89,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:33Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,"TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,88,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:33:56Z,"","RCA Records Label",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
spotify:track:7ElF5zxOwYP4qVSWVvse3W,"Break Your Heart","The Rokstarr Hits Collection","Taio Cruz",2010-01-01,201546,72,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:33:58Z,"","Universal-Island Records Ltd.",0.607,0.934,3,-4.217,1,0.0314,0.0328,0,0.0906,0.568,122.003,4
spotify:track:4356Typ82hUiFAynbLYbPn,"DJ Got Us Fallin' In Love (feat. Pitbull)","Raymond v Raymond (Expanded Edition)","USHER;Pitbull",2010-03-30,220800,88,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:00Z,"r&b","LaFace Records",0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,4
spotify:track:1oHNvJVbFkexQc0BpQp7Y4,"Starships","Pink Friday ... Roman Reloaded","Nicki Minaj",2011-01-01,210626,79,true,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:07Z,"","Nicki Minaj/Cash Money",0.747,0.716,11,-2.457,0,0.0751,0.135,0,0.251,0.751,125.006,4
spotify:track:5jzKL4BDMClWqRguW5qZvh,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,80,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:10Z,"pop","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,86,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:13Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:2yPoXCs7BSIUrucMdK5PzV,"Umbrella","Good Girl Gone Bad","Rihanna;JAŸ-Z",2007-01-01,275986,80,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:17Z,"hip hop,east coast hip hop,rap","Def Jam Recordings",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,218093,21,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:19Z,"latin pop","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
spotify:track:45hOioMDJktr86iKDHC8gr,"Girlfriend","The Best Damn Thing (Expanded Edition)","Avril Lavigne",2007-04-17,216600,82,true,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:38Z,"","RCA Records Label",0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,4
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Nayer)","Planet Pit (Deluxe Version)","Pitbull;AFROJACK;Ne-Yo;Nayer",2011-06-17,252306,92,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:53Z,"edm,big room","Mr.305/Polo Grounds Music/J Records",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
spotify:track:62zFEHfAYl5kdHYOivj4BC,"International Love (feat. Chris Brown)","Planet Pit (Deluxe Version)","Pitbull;Chris Brown",2011-06-17,227280,85,false,8ymi4akppr82qu6pvgivteisb,2021-10-04T21:34:55Z,"r&b","Mr.305/Polo Grounds Music/J Records",0.67,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.05,4
