Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:67T6l4q3zVjC5nZZPXByU8,"Whatcha Say","Jason Derulo","Jason Derulo",2010-02-24,221253,74,false,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:11:32Z,"","Beluga Heights/Warner Records",0.615,0.711,11,-5.507,1,0.078,0.0444,0,0.145,0.711,144.034,4
spotify:track:5rb9QrpfcKFHM1EUbSIurX,"Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","USHER;Lil Jon;Ludacris",2004-03-23,250373,89,false,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:11:43Z,"r&b,crunk,southern hip hop","LaFace Records",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
spotify:track:0r2Bul2NuCViraT2zX1l5j,"Get Low","Kings Of Crunk","Lil Jon & The East Side Boyz;Ying Yang Twins",2002-10-29,334066,81,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:11:53Z,"crunk,southern hip hop","The Orchard",0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019,4
spotify:track:4RY96Asd9IefaL3X4LOLZ8,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,79,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:12:31Z,"old school hip hop,east coast hip hop","Shady Records",0.904,0.72,6,-2.776,0,0.348,0.259,0,0.0749,0.805,90.062,4
spotify:track:2iJuuzV8P9Yz0VSurttIV5,"Scream & Shout","#willpower","will.i.am;Britney Spears",2013-01-01,283400,84,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:12:39Z,"pop","Interscope",0.772,0.685,5,-6.849,1,0.0696,0.019,0.0000896,0.131,0.501,130.039,4
spotify:track:6ic8OlLUNEATToEFU3xmaH,"Gimme More","Blackout","Britney Spears",2007-10-25,251244,87,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:13:14Z,"pop","Jive",0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
spotify:track:07Tx168RSsUS1HqkDIOZbH,"Cupid Shuffle","Time for a Change","Cupid",2007-09-11,231360,67,false,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:13:19Z,"zydeco","Asylum/NCE Records",0.785,0.582,5,-4.877,0,0.237,0.191,0,0.2,0.861,71.774,4
spotify:track:04KTF78FFg8sOHC1BADqbY,"Hot In Herre","Nellyville","Nelly",2002-06-25,228240,81,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:13:38Z,"","Motown",0.956,0.741,11,-4.753,0,0.124,0.204,0,0.0615,0.911,107.075,4
spotify:track:1V4jC0vJ5525lEF1bFgPX2,"Shots","Party Rock","LMFAO;Lil Jon",2009-01-01,222133,75,true,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:13:54Z,"crunk","Will I Am / A&M",0.825,0.856,1,-1.912,1,0.0476,0.00851,0.0000014,0.127,0.207,128.016,4
spotify:track:0CAfXk7DXMnon4gLudAp7J,"Low (feat. T-Pain)","Mail on Sunday","Flo Rida;T-Pain",2008-03-17,231400,88,false,zs2nk0xk7vkl35dxfoavtlw0e,2023-01-16T02:16:44Z,"","Poe Boy/Atlantic",0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,4
