Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,88,true,jainovamusic,2024-01-03T23:14:29Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:7MIhUdNJtaOnDmC5nBC1fb,"Deep Down (feat. Never Dull)","Deep Down (feat. Never Dull)","Alok;Ella Eyre;Kenny Dope;Never Dull",2022-06-17,165714,76,false,jainovamusic,2024-11-17T22:33:12Z,"brazilian bass,electronic,slap house,electro house,disco house,funky house,jazz house,nu disco,lo-fi house","Columbia/B1 Recordings",0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952,4
spotify:track:1RF02Cf80mTaeNXG2P2boR,"21 Reasons (feat. Ella Henderson)","21 Reasons (feat. Ella Henderson)","Nathan Dawe;Ella Henderson",2022-04-29,155253,76,false,jainovamusic,2024-01-03T23:14:29Z,"","Atlantic Records UK",0.621,0.785,6,-4.499,1,0.11,0.0165,0.00000592,0.0512,0.779,123.96,4
spotify:track:331l3xABO0HMr1Kkyh2LZq,"I Don't Wanna Wait","I Don't Wanna Wait","David Guetta;OneRepublic",2024-04-05,149667,84,false,jainovamusic,2024-04-05T14:04:51Z,"edm,soft pop","Parlophone UK",0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,4
spotify:track:40xR2hmPUm7KnB3SshTdf6,"The Last Time","The Last Time","Jai Nova",2026-05-22,189107,58,false,jainovamusic,2026-05-22T05:06:42Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.526,0.9,8,-3.932,0,0.037,0.0125,0.0000114,0.108,0.329,139.9,4
spotify:track:6Dy1jexKYriXAVG6evyUTJ,"OUT OUT (feat. Charli XCX & Saweetie)","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry;Jax Jones;Charli xcx;Saweetie",2021-08-13,162603,74,false,jainovamusic,2024-01-03T23:14:29Z,"dance pop,hyperpop,art pop","Atlantic Records UK",0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,4
spotify:track:2uynAh5LpKedaWoNwwLlrz,"Tonight","Tonight","Jai Nova",2026-04-17,179993,56,false,jainovamusic,2026-04-17T04:40:37Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.628,0.889,2,-5.9,0,0.0381,0.0421,0.573,0.358,0.286,127.952,4
spotify:track:78nx0HDJIFD5xDq2L5420Z,"Blessings","Blessings","Calvin Harris;Clementine Douglas",2025-05-09,219650,87,false,jainovamusic,2025-05-09T23:26:29Z,"edm,house","Columbia",0.721,0.875,11,-4.125,0,0.0557,0.0022,0.0285,0.0888,0.642,129.913,4
spotify:track:5KyTmM9DPz9hHzffvSKT7b,"Twenty Four Seven","Twenty Four Seven","Jai Nova",2026-02-26,175357,51,false,jainovamusic,2026-02-27T00:03:50Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.67,0.955,6,-2.131,1,0.0306,0.00855,0.597,0.294,0.616,125.994,4
spotify:track:2yEHX6MqAXPyD7bm47A2Br,"Pump It Louder","Pump It Louder","Tiësto;Black Eyed Peas",2022-10-07,158571,69,false,jainovamusic,2024-01-03T23:14:29Z,"edm,trance,big room","Atlantic Records",0.66,0.942,4,-2.273,1,0.185,0.00789,0.0000176,0.834,0.543,126.017,4
spotify:track:3Ai6jjlxX9oxKrcu9KTzEA,"Drowning","Drowning","Jai Nova",2025-09-25,153750,51,false,jainovamusic,2025-09-25T23:01:57Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.606,0.847,9,-6.655,0,0.039,0.00118,0.0000755,0.274,0.171,128.003,4
spotify:track:0OvO2X2Q3i98dc5RcgEN3x,"Jungle","Jungle","Alok;The Chainsmokers;Mae Stephens",2023-09-22,175500,71,false,jainovamusic,2024-01-03T23:14:29Z,"brazilian bass,electronic,slap house,electro house","Columbia/B1 Recordings",0.596,0.667,6,-5.651,0,0.0295,0.0524,0.000109,0.205,0.217,140.002,4
spotify:track:1TLNqLklSPgJYaQj9HhQqQ,"Never Let Go","Never Let Go","Jai Nova",2025-02-20,142607,48,false,jainovamusic,2025-02-21T00:00:20Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.517,0.947,0,-4.149,0,0.0395,0.00871,0.028,0.124,0.137,139.936,4
spotify:track:0sftzYE0YgPHXrvJyUyGjB,"Deep In Your Love","Deep In Your Love","Alok;Bebe Rexha",2024-01-12,144500,67,false,jainovamusic,2024-01-15T18:20:48Z,"brazilian bass,electronic,slap house,electro house","Columbia/B1 Recordings",0.588,0.88,7,-5.15,1,0.0354,0.0243,0.0000689,0.0667,0.523,130.085,4
spotify:track:6nVkRuIBYjG01YL9D7ZBnl,"Frozen In Time","Frozen In Time","Jai Nova",2025-06-26,141547,50,false,jainovamusic,2025-06-26T23:04:36Z,"","Jai Nova under exclusive license to The Cosmology Group.",0.629,0.939,4,-3.355,1,0.0322,0.0104,0.00198,0.321,0.559,125.988,4
