Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Lb9ww5vZAnveWnrFQfAKR,"New Religion","New Religion","Bebe Rexha;Faithless",2026-03-06,174400,84,false,,2026-05-01T16:04:53Z,"trip hop","Bebe Rexha Music LLC / EMPIRE",0.663,0.919,11,-3.313,0,0.0346,0.0338,0.0000213,0.0666,0.347,127.98,4
spotify:track:51ODNNDZm21HU7wI7cccRr,"Latch","Settle (Special Edition)","Disclosure;Sam Smith",2013-06-03,255631,87,false,,2026-05-01T16:04:53Z,"house,soft pop","Universal-Island Records Ltd.",0.503,0.726,1,-5.456,1,0.167,0.0159,0.0000798,0.0895,0.529,121.981,4
spotify:track:3s4U7OHV7gnj42VV72eSZ6,"Rather Be (feat. Jess Glynne)","Rather Be (feat. Jess Glynne)","Clean Bandit;Jess Glynne",2014-01-17,227833,77,false,,2026-05-01T16:04:53Z,"","Atlantic Records",0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,4
spotify:track:0lHAMNU8RGiIObScrsRgmP,"Titanium (feat. Sia)","Nothing but the Beat 2.0","David Guetta;Sia",2011-08-24,245040,77,false,,2026-05-01T16:04:53Z,"edm","Parlophone (France)",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
spotify:track:6oJ6le65B3SEqPwMRNXWjY,"Higher Love","Higher Love","Kygo;Whitney Houston",2019-06-28,228267,74,false,,2026-05-01T16:04:53Z,"tropical house","Kygo/RCA Records",0.693,0.678,8,-7.159,1,0.0324,0.0151,0.00000571,0.101,0.404,103.952,4
spotify:track:7rglLriMNBPAyuJOMGwi39,"Cold Heart - PNAU Remix","The Lockdown Sessions","Elton John;Dua Lipa;PNAU",2021-10-22,202735,74,false,,2026-05-01T16:04:53Z,"pop","EMI",0.795,0.8,1,-6.32,1,0.0309,0.0354,0.0000725,0.0915,0.934,116.032,4
spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,"Like A G6","Free Wired","Far East Movement;The Cataracs;DEV",2010-01-01,216893,75,false,,2026-05-01T16:04:53Z,"","Interscope",0.355,0.838,7,-8.126,0,0.471,0.00682,0,0.117,0.783,165.457,5
spotify:track:463CkQjx2Zk1yXoBuierM9,"Levitating (feat. DaBaby)","Levitating (feat. DaBaby)","Dua Lipa;DaBaby",2020-10-01,203064,70,false,,2026-05-01T16:04:53Z,"pop","Warner Records",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
spotify:track:4dTaAiV9xFFCxnPur9c9yL,"Memories (feat. Kid Cudi)","One Love (Deluxe)","David Guetta;Kid Cudi",2009-08-21,210093,66,false,,2026-05-01T16:04:53Z,"edm","Parlophone (France)",0.561,0.87,8,-6.103,1,0.343,0.0015,0.00000282,0.246,0.498,129.98,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,"Wake Me Up","True","Avicii",2013-09-16,247426,89,false,,2026-05-01T16:04:53Z,"edm","Pophouse Entertainment Group",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:2V65y3PX4DkRhy1djlxd9p,"Don't You Worry Child - Radio Edit","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,212862,86,false,,2026-05-01T16:04:53Z,"edm","Pophouse Entertainment Group",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,84,false,,2026-05-01T16:04:53Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:1A8j067qyiNwQnZT0bzUpZ,"This Girl (Kungs Vs. Cookin' On 3 Burners)","Layers","Kungs;Cookin' On 3 Burners",2016-11-04,195546,83,false,,2026-05-01T16:04:53Z,"","Universal Music Division Polydor France",0.793,0.717,0,-4.759,0,0.0393,0.0927,0.000036,0.226,0.466,121.985,4
spotify:track:6RUKPb4LETWmmr3iAEQktW,"Something Just Like This","Memories...Do Not Open","The Chainsmokers;Coldplay",2017-04-07,247160,90,false,,2026-05-01T16:04:53Z,"","Disruptor Records/Columbia",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
spotify:track:4lhqb6JvbHId48OUJGwymk,"Hey Brother","True","Avicii",2013-09-16,255093,82,false,,2026-05-01T16:04:53Z,"edm","Pophouse Entertainment Group",0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,4
spotify:track:5tf1VVWniHgryyumXyJM7w,"Sugar (feat. Francesco Yates)","Sugar","Robin Schulz;Francesco Yates",2015-09-25,219043,85,false,,2026-05-01T16:04:53Z,"tropical house","Tonspiel",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
spotify:track:0azC730Exh71aQlOt9Zj3y,"This Is What You Came For","This Is What You Came For","Calvin Harris;Rihanna",2016-04-29,221900,82,false,,2026-05-01T16:04:53Z,"edm","Columbia",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
spotify:track:7apywiCuMzvSZIa0SKeH99,"Turn The Lights Off - Radio Edit","Turn The Lights Off","Kato;Jon",2010-01-04,178946,80,false,,2026-05-01T16:04:53Z,"","disco:wax",0.61,0.976,1,-3.551,0,0.0348,0.00263,0.00135,0.333,0.31,132.003,4
spotify:track:01aTsQoKoeXofSTvKuunzv,"Lean On","Peace Is The Mission","Major Lazer;DJ Snake;MØ;Diplo",2015-06-01,176561,82,false,,2026-05-01T16:04:53Z,"moombahton","DML Music IP",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,,2026-05-01T16:04:53Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:5UqCQaDshqbIk3pkhy4Pjg,"Levels - Radio Edit","Levels","Avicii",2011-10-28,199906,84,false,,2026-05-01T16:04:53Z,"edm","Pophouse Entertainment Group",0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,4
spotify:track:27rdGxbavYJeBphck5MZAF,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson;Miley Cyrus",2018-11-30,217466,73,false,,2026-05-01T16:04:53Z,"","Columbia",0.601,0.794,7,-5.844,0,0.0671,0.00987,0.00000136,0.388,0.244,114.066,4
spotify:track:09IStsImFySgyp0pIQdqAc,"The Middle","The Middle","Zedd;Maren Morris;Grey",2018-01-23,184732,83,false,,2026-05-01T16:04:53Z,"edm,country","UMGRI Interscope",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,4
spotify:track:3sl4dcqSwxHVnLfqwF2jly,"Hello (feat. Dragonette)","Hello","Martin Solveig;Dragonette",2010-12-14,191387,73,false,,2026-05-01T16:04:53Z,"french house","Big Beat Records/Atlantic",0.665,0.975,3,-3.47,1,0.0345,0.0135,0.000925,0.105,0.452,128.011,4
spotify:track:1i1fxkWeaMmKEB4T7zqbzK,"Don't Let Me Down","Don't Let Me Down","The Chainsmokers;Daya",2016-02-05,208373,87,false,,2026-05-01T16:04:53Z,"","Disruptor Records/Columbia",0.533,0.869,11,-5.093,1,0.173,0.156,0.00538,0.136,0.425,159.805,4
spotify:track:12KUFSHFgT0XCoiSlvdQi4,"Break Free","My Everything (Deluxe)","Ariana Grande;Zedd",2014-08-22,214840,86,false,,2026-05-01T16:04:53Z,"pop,edm","Universal Records",0.686,0.702,7,-5.325,0,0.0455,0.00637,0.0000446,0.204,0.29,129.948,4
spotify:track:21RzyxY3EFaxVy6K4RqaU9,"Body","Body","Loud Luxury;Brando",2017-10-27,163216,81,false,,2026-05-01T16:04:53Z,"","Armada Music",0.752,0.764,1,-4.399,1,0.038,0.0476,0.0000944,0.0543,0.582,121.958,4
spotify:track:6uBhi9gBXWjanegOb2Phh0,"Stay","Stay","Zedd;Alessia Cara",2017-02-23,210090,80,false,,2026-05-01T16:04:53Z,"edm","UMGRI Interscope",0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,4
spotify:track:1CSAUEapYQQOD50ardFG0K,"Glide","Glide","NEIKED;Portugal. The Man",2025-03-28,184405,80,false,,2026-05-01T16:04:53Z,"","Columbia Local",0.767,0.698,3,-6.559,1,0.0334,0.044,0.000117,0.171,0.531,121.99,4
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"Closer","Closer","The Chainsmokers;Halsey",2016-07-29,244960,90,false,,2026-05-01T16:04:53Z,"","Disruptor Records/Columbia",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
spotify:track:05SBRd4fXgn8FX7bf8BCAE,"I Need Your Love (feat. Ellie Goulding)","18 Months","Calvin Harris;Ellie Goulding",2012-10-29,234506,81,false,,2026-05-01T16:04:53Z,"edm","Columbia",0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,4
spotify:track:2FAZskT9yRjp2Oow9szJD8,"The Days - NOTION Remix","The Days (NOTION Remix)","Chrystal;NOTION",2024-11-08,233229,86,false,,2026-05-01T16:04:53Z,"bassline,bass house,uk garage,drum and bass","Polydor Records",0.62,0.843,6,-5.321,0,0.0844,0.0062,0.00000463,0.55,0.237,137.812,4
spotify:track:2QtJA4gbwe1AcanB2p21aP,"Stay The Night - Featuring Hayley Williams Of Paramore","Clarity (Deluxe)","Zedd;Hayley Williams",2012,217346,73,false,,2026-05-01T16:04:53Z,"edm,art pop","Interscope",0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961,4
spotify:track:0h3Xy4V4apMraB5NuM8U7Z,"Stumblin' In","Stumblin' In","CYRIL",2023-11-10,213363,85,false,,2026-05-01T16:04:53Z,"","Spinnin' Records",0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,"Rasputin","Rasputin","Majestic;Boney M.",2021-02-26,186209,82,false,,2026-05-01T16:04:53Z,"disco","NITRON music",0.758,0.913,6,-2.926,0,0.113,0.00364,0.0000692,0.193,0.658,128.04,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris;Ellie Goulding",2014-10-31,227266,90,false,,2026-05-01T16:04:53Z,"edm","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,88,true,,2026-05-01T16:04:53Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
