Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4SYMibQ93bfzOk6uzkF0dO,"Don't Turn Around","The Sign","Ace of Base",1993-12-24,230186,63,false,,1970-01-01T00:00:00Z,"eurodance,europop","Playground Music",0.745,0.771,4,-8.231,0,0.0755,0.00104,0.387,0.0574,0.752,95.623,4
spotify:track:0GX5oOKtU0nnx5OkhenW2i,"Closer","Year Of The Gentleman","Ne-Yo",2008-01-01,234360,77,false,,1970-01-01T00:00:00Z,"","Def Soul",0.709,0.745,4,-6.436,0,0.074,0.0226,0.0000529,0.154,0.569,126.028,4
spotify:track:3qhEpxJm7kKqx4BuEMdUt7,"Let The Music Play","The Best Is Yet To Come","Shannon",2000-12-01,214416,54,false,,1970-01-01T00:00:00Z,"freestyle","Contagious Records / Emergency Music",0.707,0.675,10,-10.43,0,0.0549,0.00084,0.000323,0.0962,0.716,114.736,4
spotify:track:3auasA1oQjH9hXr5Ux72Sk,"Boogie's in My Soul","Boogie's in My Soul","Chaka Khan;Snoop Dogg",2026-06-19,222213,64,false,,1970-01-01T00:00:00Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","BMG Rights Management (UK) Ltd.",0.654,0.952,2,-3.187,1,0.219,0.0184,0.0000371,0.203,0.694,115.995,4
spotify:track:5HAv1Ckfe50DUjv8ghwTrz,"Escapade","Rhythm Nation 1814","Janet Jackson",1989-09-19,283933,61,false,,1970-01-01T00:00:00Z,"new jack swing","A&M",0.806,0.954,1,-6.741,1,0.0514,0.0259,0.000617,0.176,0.701,115.229,4
spotify:track:742hY2twqAjwNYnKkQdilj,"Strike It Up","Dreamland","Black Box",2006-09-01,298691,62,false,,1970-01-01T00:00:00Z,"eurodance","Groove Groove Melody",0.875,0.862,6,-7.694,0,0.062,0.0116,0.000281,0.0658,0.915,118.398,4
spotify:track:2WshI84CTELoFSGWCbOs0E,"That's The Way (Party Pupils Remix)","That's The Way (Party Pupils Remix)","KC & The Sunshine Band;Party Pupils",2026-06-12,184023,57,false,,1970-01-01T00:00:00Z,"disco","Spinnin' Records",0.822,0.585,10,-4.989,0,0.262,0.000865,0.000729,0.0774,0.75,119.921,4
spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Señorita","Shawn Mendes (Deluxe)","Shawn Mendes;Camila Cabello",2019-06-19,190799,84,false,,1970-01-01T00:00:00Z,"","Island Records",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4
spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Unholy (feat. Kim Petras)","Gloria","Sam Smith;Kim Petras",2023-01-27,156943,76,false,,1970-01-01T00:00:00Z,"soft pop","Capitol Records UK / EMI",0.719,0.454,2,-7.384,1,0.0707,0.0138,0.00000483,0.318,0.224,131.007,4
spotify:track:7rglLriMNBPAyuJOMGwi39,"Cold Heart - PNAU Remix","The Lockdown Sessions","Elton John;Dua Lipa;PNAU",2021-10-22,202735,74,false,,1970-01-01T00:00:00Z,"pop","EMI",0.795,0.8,1,-6.32,1,0.0309,0.0354,0.0000725,0.0915,0.934,116.032,4
spotify:track:6f68Ac5tt5BQOpwr0BV9oN,"I Just Might","The Romantic","Bruno Mars",2026-02-27,212973,89,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.786,0.713,5,-6.193,1,0.0326,0.0536,0,0.133,0.879,102.997,4
spotify:track:0je57Uq5eTk1wrPzn9sWbl,"When Did You Get Hot?","Man’s Best Friend","Sabrina Carpenter",2025-08-29,145398,86,false,,1970-01-01T00:00:00Z,"pop","Island Records",0.696,0.665,5,-4.559,1,0.13,0.231,0,0.33,0.573,89.136,4
spotify:track:4Y7XAxTANhu3lmnLAzhWJW,"Fireball (feat. John Ryan)","Globalization","Pitbull;John Ryan",2014-11-24,236253,86,false,,1970-01-01T00:00:00Z,"","Mr.305/Polo Grounds Music/RCA Records",0.761,0.933,10,-5.38,1,0.056,0.0908,0.0000853,0.0607,0.836,122.959,4
spotify:track:7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,92,false,,1970-01-01T00:00:00Z,"soft pop","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
