Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:35KiiILklye1JRRctaLUb4,"Holocene","Bon Iver, Bon Iver","Bon Iver",2011-06-21,336613,72,true,,2024-08-28T14:05:36Z,"","Jagjaguwar",0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,4
spotify:track:7d0XkI4iJ32nxeFAHFXbLQ,"If You Need To, Keep Time on Me","Crack-Up","Fleet Foxes",2017-06-16,210506,61,false,,2024-08-28T14:05:36Z,"indie folk,folk,indie","Nonesuch",0.521,0.22,9,-10.202,1,0.0314,0.647,0.00814,0.179,0.135,104.03,4
spotify:track:3HOXNIj8NjlgjQiBd3YVIi,"Yellow Eyes","Imaginary Man","Rayland Baxter",2015-08-14,230786,60,false,,2024-08-28T14:05:36Z,"southern gothic","ATO Records",0.496,0.679,10,-7.898,1,0.0368,0.0948,0,0.103,0.507,154.028,4
spotify:track:2uXlHCUbq9OMUwx3hrk06o,"Riptide","Dream Your Life Away (Deluxe Edition)","Vance Joy",2014-08-05,204280,91,false,,2024-08-28T14:05:36Z,"folk pop","Atlantic Records",0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
spotify:track:5qgyfyptP3pLeWs9maKPkg,"Rambling Man","I Speak Because I Can","Laura Marling",2010-01-01,196163,49,false,,2024-08-28T14:05:36Z,"singer-songwriter,southern gothic,folk,indie folk","Virgin Records",0.481,0.381,5,-8.893,1,0.0346,0.618,0.00000549,0.101,0.195,93.751,4
spotify:track:3hhbDnFUb2bicI2df6VurK,"River","Coming Home (Deluxe)","Leon Bridges",2015-06-23,238560,78,false,,2024-08-28T14:05:36Z,"retro soul","Columbia",0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,83,false,,2024-08-28T14:05:36Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:4sDbdBjuYQVdNNB4PiHUPo,"Coastline","Wanderlust","Hollow Coves",2017-03-17,233973,80,false,,2024-08-28T14:05:36Z,"indie folk","Nettwerk Music Group",0.67,0.496,2,-11.23,1,0.0277,0.627,0.00319,0.0584,0.427,100.17,4
spotify:track:2bU3gg0M8GGBs7ItBKsJX9,"Emmylou","The Lion's Roar","First Aid Kit",2012-01-24,258000,57,false,,2024-08-28T14:05:36Z,"indie folk,folk","Wichita Recordings",0.511,0.612,6,-5.831,1,0.0293,0.471,0.000144,0.1,0.371,88.269,4
spotify:track:5Apvsk0suoivI1H8CmBglv,"Almost (Sweet Music)","Wasteland, Baby!","Hozier",2019-03-01,217480,76,false,,2024-08-28T14:05:36Z,"","Columbia",0.523,0.687,7,-5.601,1,0.105,0.0215,0.00000286,0.203,0.711,90.036,4
spotify:track:0iMt8ZMe2BsNvsF9LFDOAn,"Ends of the Earth","Lonesome Dreams (Bonus Track Version)","Lord Huron",2012-10-09,284146,77,false,,2024-08-28T14:05:36Z,"","Lord Huron",0.553,0.578,4,-8.679,1,0.0299,0.267,0.0377,0.267,0.407,120.993,4
spotify:track:3Bclyko7WmwM2oGmKj8sue,"I Will Wait","Babel (Deluxe Version)","Mumford & Sons",2012-09-21,276720,76,false,,2024-08-28T14:05:36Z,"folk,indie folk,folk rock","Glassnote – VMG M&S",0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.449,131.127,4
spotify:track:1HMQmOWrkieKYWlFsjUP3D,"Bloom - Bonus Track","Woodland","The Paper Kites",2013-03-05,210080,78,false,,2024-08-28T14:05:36Z,"indie folk","Nettwerk Music Group",0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,4
spotify:track:5BkNCuxzzid0gz9sx3NNbX,"My Silver Lining","Stay Gold","First Aid Kit",2014-06-06,215493,71,false,,2024-08-28T14:05:36Z,"indie folk,folk","Columbia",0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4
spotify:track:3AqPL1n1wKc5DVFFnYuJhp,"To Build A Home","Ma Fleur","The Cinematic Orchestra;Patrick Watson",2007-06-05,370666,69,false,,2024-08-28T14:05:36Z,"nu jazz,downtempo","Domino Recording Co",0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,4
spotify:track:5yJaXWIErrrsjQ3J0eR5aK,"The Night We Met","Strange Trails","Lord Huron",2015-04-07,208226,92,false,,2024-08-28T14:05:36Z,"","Lord Huron",0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
spotify:track:04uR2cdkgiaLIzebPcs25m,"Two Weeks","Veckatimest","Grizzly Bear",2009-05-24,246213,70,false,,2024-08-28T14:05:36Z,"indie,baroque pop,indie rock","Warp Records",0.526,0.723,5,-5.59,1,0.0294,0.3,0.00698,0.058,0.744,159.685,4
spotify:track:7ADBL3WZ9Oyj7zgkg7ODT8,"You Worry Me","Tearing At The Seams","Nathaniel Rateliff & The Night Sweats",2018-03-09,214160,66,false,,2024-08-28T14:05:36Z,"","Stax",0.666,0.646,2,-7.722,1,0.0268,0.124,0.286,0.095,0.664,100.05,4
