Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1yupbrI7ROhigIHpQBevPh,"Chicago","Illinois","Sufjan Stevens",2005-07-05,364613,63,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:02Z,"baroque pop","Asthmatic Kitty",0.582,0.464,7,-9.657,1,0.0304,0.585,0,0.0892,0.446,124.97,4
spotify:track:0GegHVxeozw3rdjte45Bfx,"White Winter Hymnal","Fleet Foxes","Fleet Foxes",2008-06-03,147026,69,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:16Z,"indie folk,folk,indie","Sub Pop Records",0.628,0.5,6,-9.66,0,0.0268,0.44,0,0.244,0.68,124.932,4
spotify:track:2CzWeyC9zlDpIOZPUUKrBW,"1234","The Reminder","Feist",2007-01-01,183666,61,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:26Z,"","Universal Music Division Decca Records France",0.71,0.484,2,-7.415,1,0.049,0.217,0.00000393,0.0879,0.576,109.951,4
spotify:track:7H0UxIN751StFi2tznmHlg,"Postcards from Italy","Gulag Orkestar","Beirut",2006-05-06,257480,60,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:32Z,"baroque pop,indie folk","Pompeii Records",0.621,0.569,2,-7.318,0,0.0297,0.928,0.0361,0.115,0.402,110.022,4
spotify:track:53TIOhzNpRpl8xKdscSQSv,"Casimir Pulaski Day","Illinois","Sufjan Stevens",2005-07-05,353946,56,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:39Z,"baroque pop","Asthmatic Kitty",0.685,0.172,8,-14.979,1,0.0412,0.909,0.00154,0.286,0.563,133.902,4
spotify:track:5YqpHuXpFjDVZ7tY1ClFll,"Heartbeats","Veneer","José González",2006-04-03,161680,64,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:48Z,"indie folk","Mute",0.589,0.177,3,-14.891,1,0.0325,0.977,0.714,0.0958,0.311,88.409,4
spotify:track:2s7pyee9w04uQy3cNKzey9,"Mykonos","First Collection 2006-2009","Fleet Foxes",2018-11-09,275306,53,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:16:53Z,"indie folk,folk,indie","Sub Pop Records",0.3,0.452,11,-9.298,1,0.0305,0.395,0.000834,0.137,0.342,82.985,4
spotify:track:55Q6Pf0xufUM8MEjbqEfcp,"Cello Song Feat. Jose Gonzales","Music For A French Elevator And Other Oddities","The Books",2013-10-15,234106,45,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:17:01Z,"plunderphonics","Temporary Residence Ltd.",0.653,0.467,1,-12.797,1,0.0358,0.605,0.792,0.101,0.493,117.35,3
spotify:track:4FuBIkfhZMoRgrDiHL6TYG,"Naked as We Came","Our Endless Numbered Days","Iron & Wine",2004-03-23,152613,41,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:17:10Z,"indie folk","Sub Pop Records",0.386,0.205,4,-16.699,1,0.0366,0.653,0.0448,0.106,0.623,172.373,4
spotify:track:5lRzWDEe7UuedU2QPsFg0K,"The Funeral","Everything All The Time","Band of Horses",2006-03-21,322173,74,false,zhbq1jqsznziyv96170cm4spz,2024-06-22T22:17:15Z,"","Sub Pop Records",0.319,0.757,0,-6.117,0,0.0432,0.016,0,0.102,0.101,122.465,4
