Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0zZaWHxGaAuSqs5k8UJOvm,"The Breach","The Breach EP","Dustin Tebbutt",2014-10-21,253850,56,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Eleven: A Music Company Pty Ltd",0.627,0.574,1,-8.862,1,0.0266,0.608,0.124,0.123,0.56,102.981,5
spotify:track:1gWCDz6hrwwqF8mXAqywwG,"A Place","Best Indie Folk of 2021, Vol. 4","Ocie Elliott",2021-12-27,225356,28,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Indie Folk Central",0.365,0.264,9,-14.046,1,0.0299,0.898,0.861,0.119,0.187,84.756,4
spotify:track:7t0ohvf7w4e8VacR124wbA,"doing my best","last night you said you missed me","Hazlett",2025-09-12,182733,71,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Nettwerk Music Group",0.659,0.307,10,-13.911,1,0.0347,0.584,0.0406,0.11,0.185,135.942,4
spotify:track:20zoMRCJDxo7dqq1qqx5BP,"Blue Moon","Indie Folk Central: June 2026","Jessie Reid",2026-06-22,240000,35,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-06-22T11:45:43Z,"indie folk","Indie Folk Central",0.62,0.472,2,-10.959,0,0.0312,0.658,0.0131,0.0932,0.301,127.92,4
spotify:track:3kxGvXqQDSOTo2KC6bEHNF,"My Mind","My Mind","Ryan Harris",2022-04-29,202215,65,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Whitegold Records",0.699,0.414,11,-12.373,1,0.0323,0.434,0.231,0.109,0.394,117.991,4
spotify:track:1MNQakDYoIToSf4iUz2Spp,"Wander","Indie Folk Central: March 2026","Rod Coote",2026-03-09,200624,40,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Indie Folk Central",0.629,0.425,6,-11.726,1,0.0251,0.85,0.0114,0.0929,0.189,104.042,4
spotify:track:4OjdtASj8p9hTwS3D555wk,"crooked the road.","crooked the road.","Mon Rovîa",2024-08-23,175609,71,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"","Nettwerk Music Group",0.644,0.423,7,-12.206,1,0.0441,0.854,0.0092,0.115,0.231,164.045,4
spotify:track:4sDbdBjuYQVdNNB4PiHUPo,"Coastline","Wanderlust","Hollow Coves",2017-03-17,233973,80,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Nettwerk Music Group",0.67,0.496,2,-11.23,1,0.0277,0.627,0.00319,0.0584,0.427,100.17,4
spotify:track:39erOG21gUA2GShJlVzoKQ,"Afterlight","Best of 2025 (Indie Folk Central)","Heath Lancaster",2025-12-26,155775,25,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Indie Folk Central",0.33,0.402,2,-11.861,1,0.0419,0.847,0.0399,0.132,0.218,155.698,3
spotify:track:40chr05A8qJGEOrTSGi2qL,"Someone Else","Someone Else","Harrison Storm;Winona Oak",2025-07-04,199397,41,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-05-31T12:37:52Z,"indie folk","Nettwerk Music Group",0.55,0.272,11,-10.218,1,0.0263,0.84,0.000137,0.113,0.216,79.921,4
