Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2VQ5Zw5bDevO8iRx1EQ2gr,"Tall Pines","Tall Pines","Ed Prosek;Portair;Driftwood Choir",2026-05-15,194210,52,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.55,0.354,1,-12.721,1,0.0325,0.779,0.0000378,0.0662,0.397,147.626,4
spotify:track:50fvAL9S2IfvMWinKtSEBQ,"Where's My Love - with Carla","Where's My Love (with Carla)","SYML;Carla Morrison",2026-02-13,243053,58,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Nettwerk Music Group",0.546,0.253,3,-10.505,1,0.0269,0.915,0.0399,0.132,0.214,104.003,4
spotify:track:20zoMRCJDxo7dqq1qqx5BP,"Blue Moon","Indie Folk Central: June 2026","Jessie Reid",2026-06-22,240000,35,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.62,0.472,2,-10.959,0,0.0312,0.658,0.0131,0.0932,0.301,127.92,4
spotify:track:2YRcDveNdWDSr2XYkhLscT,"every road","every road","Ryan Harris;The National Forest",2026-04-29,219939,56,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Whitegold Records",0.629,0.262,9,-14.896,0,0.0355,0.886,0.406,0.113,0.183,132.222,4
spotify:track:3aQ1bDPekTnSz0Ak2Qlp5g,"ghost town","ghost town","Liv Romano",2026-06-12,224201,53,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Encore Recordings",0.577,0.422,0,-9.065,1,0.0288,0.664,0.00142,0.065,0.185,113.262,4
spotify:track:2mlNWsf34MnPl9muVSOLbs,"side by side","side by side","Rod Coote;Sianon",2026-06-26,220421,39,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Independent",0.547,0.206,0,-19.947,1,0.0476,0.826,0.0514,0.102,0.109,95.161,4
spotify:track:7bfeHgpIyhh5Dqhvy0e29K,"Mosaic in the Sun","Best of 2025 (Indie Folk Central)","Edwin Raphael",2025-12-26,190757,41,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Indie Folk Central",0.563,0.347,5,-9.413,1,0.0258,0.597,0.00808,0.177,0.243,138.973,4
spotify:track:5873aXgitStLQwgQBRVJAK,"light up","light up","Amistat",2026-06-12,215930,59,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.613,0.451,7,-9.671,0,0.0572,0.844,0.0000448,0.561,0.397,80.92,4
spotify:track:5kpeNzzZcculGEKabCQUQf,"Faraway","Faraway","Ben Morgan",2026-06-12,254000,43,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Ben Morgan",0.53,0.342,1,-14.996,1,0.0307,0.692,0.413,0.139,0.0991,110.963,4
spotify:track:75obMueOYakSLKHyprlmBC,"Half Asleep","Half Asleep","Northwest Stories",2026-06-03,222583,49,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"christian folk,indie folk","Lift Records, LLC",0.749,0.344,11,-12.001,1,0.0383,0.243,0.00213,0.131,0.267,123.966,4
spotify:track:76ubvikrOTzDV73Wvi4mkA,"garden green eyes","garden green eyes","Orange Oak",2026-01-23,178775,49,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.507,0.412,11,-14.278,1,0.0301,0.862,0.000544,0.0789,0.196,94.966,4
spotify:track:6OaL398ilpsNrSkZIcw0mC,"Rue (feat. Donovan Woods)","Rue (feat. Donovan Woods)","Henry Jamison;Donovan Woods",2026-01-16,187026,42,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk,folk pop","Ultra Records, LLC",0.499,0.32,11,-11.837,1,0.0344,0.772,0.000529,0.112,0.191,173.059,4
spotify:track:6bh7mHsbv8u9kVWtKqCAcB,"missing you","missing you","Tom River",2026-05-22,173154,49,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Tom River",0.647,0.298,11,-12.09,1,0.0512,0.856,0.0000025,0.114,0.365,169.901,4
spotify:track:3Xezm9z9p44EuqzQp4d3uF,"Hummingbird","Indie Folk Central: March 2026","Nick Kingswell",2026-03-09,178131,39,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.539,0.547,6,-11.6,1,0.0361,0.82,0.505,0.119,0.293,105.406,4
spotify:track:4OjdtASj8p9hTwS3D555wk,"crooked the road.","crooked the road.","Mon Rovîa",2024-08-23,175609,71,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Nettwerk Music Group",0.644,0.423,7,-12.206,1,0.0441,0.854,0.0092,0.115,0.231,164.045,4
spotify:track:3YklW2pmkDj8EvF2mQnzqx,"Caroline","Indie Folk Central: February 2026","Liv Romano",2026-02-09,213000,39,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Indie Folk Central",0.303,0.286,11,-12.417,1,0.031,0.817,0.0248,0.101,0.159,179.57,3
spotify:track:40chr05A8qJGEOrTSGi2qL,"Someone Else","Someone Else","Harrison Storm;Winona Oak",2025-07-04,199397,41,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.55,0.272,11,-10.218,1,0.0263,0.84,0.000137,0.113,0.216,79.921,4
spotify:track:1MNQakDYoIToSf4iUz2Spp,"Wander","Indie Folk Central: March 2026","Rod Coote",2026-03-09,200624,40,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.629,0.425,6,-11.726,1,0.0251,0.85,0.0114,0.0929,0.189,104.042,4
spotify:track:4biooUCmmo02HXSg8gRaus,"Into The Sun","Julia","Ásgeir",2026-02-13,205053,42,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","One Little Independent Records",0.619,0.293,8,-12.19,1,0.038,0.928,0.00051,0.107,0.0919,133.783,4
spotify:track:2WtjkxN3KdhgXdUHCCIk9H,"The Bitter Pill","Indie Folk Central: March 2026","&Tilly",2026-03-09,203000,38,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie electronic","Indie Folk Central",0.587,0.375,11,-14.271,1,0.0437,0.842,0.0201,0.167,0.296,143.884,4
spotify:track:6wSdhEhDuzwgvDfNhWJrjK,"Moments","Moments","Northwest Stories",2025-12-03,164000,46,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"christian folk,indie folk","Lift Records, LLC",0.308,0.189,0,-14.304,1,0.0386,0.829,0.00409,0.183,0.187,160.796,3
spotify:track:64lgaDciyeGAvnbYFSyheB,"Beauty in the Sadness","Indie Folk Central: December 2025 (Melancholy Songs)","Jessie Reid",2025-12-19,256463,38,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.285,0.343,9,-12.916,1,0.0618,0.844,0.00523,0.116,0.164,54.354,4
spotify:track:2PJcce23TKlBYwkusjGt2K,"Last Goodbyes (Acoustic Version)","Last Goodbyes","Dotan",2026-02-06,193441,40,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"folk pop","Sony Music Entertainment",0.631,0.23,6,-12.226,1,0.0335,0.964,0.00000228,0.0968,0.31,102.531,4
spotify:track:44q0AYylAUQBKnJ8S4W8Sc,"A Little Love","Indie Folk Central: May 2026","East of Indigo",2026-05-22,166874,36,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.494,0.336,11,-10.558,1,0.0284,0.688,0,0.106,0.236,159.471,3
spotify:track:0UFRS2HsHHTzzyu0gFp7hB,"Love In Reverse","Love In Reverse","Seafret",2025-08-29,199696,44,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","Nettwerk Music Group",0.594,0.522,7,-7.607,1,0.031,0.703,0,0.105,0.516,78.42,4
spotify:track:04AShOhC1YHRfOIewcO5rJ,"Keep Her Warm","Keep Her Warm","Jordan Hart;Emily Schultz",2026-05-22,206000,46,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"","baselineMUSIC",0.377,0.418,2,-8.009,1,0.0277,0.838,0.000774,0.101,0.199,92.429,4
spotify:track:5OULM7WvxBszxKP4mOHOD2,"Killer Whale","Killer Whale","Hayden Everett",2026-02-13,240283,38,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Hayden Everett",0.538,0.244,6,-12.069,1,0.0432,0.811,0.0000145,0.115,0.188,78.449,4
spotify:track:3evSqLHxTBo05hadhQUFh2,"Night Train","Indie Folk Central: March 2026","Oscar Blue",2026-03-09,263000,37,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"folk pop","Indie Folk Central",0.422,0.474,5,-9.25,1,0.0293,0.709,0.0391,0.083,0.244,92.238,4
spotify:track:6eBywwehOjCyeyhJA5Qr6T,"Reinvent the Wheel","Reinvent the Wheel","Ed Prosek",2025-10-24,232653,48,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.636,0.373,0,-11.134,1,0.0302,0.734,0.000165,0.353,0.409,98.036,4
spotify:track:1NXgoAUkZzcFQXIyDZ8cW7,"Peace","Best of 2025 (Indie Folk Central)","Reed Pittman",2025-12-26,195422,37,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Indie Folk Central",0.629,0.401,7,-9.598,1,0.034,0.626,0.000324,0.0997,0.385,141.943,4
spotify:track:3i7W9o2isj3qOgy093fixn,"like home","like home","Amistat",2026-03-06,182055,60,false,ykxuknpdqe4vrfi4lrn2gb76p,2026-07-02T08:48:15Z,"indie folk","Nettwerk Music Group",0.556,0.353,1,-8.601,1,0.0307,0.753,0.0000104,0.102,0.491,167.697,4
