Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vzMWO0T008m86yDnXwkII,"Blame It on Me","Wanted on Voyage (Expanded Edition)","George Ezra",2014-06-30,195527,74,false,,1970-01-01T00:00:00Z,"","Columbia",0.537,0.757,3,-3.374,1,0.0274,0.473,0,0.341,0.421,103.882,4
spotify:track:2DNXgvkyv35vTWvdgjs7qn,"Someone New","Hozier (Expanded Edition)","Hozier",2014-09-19,222813,77,false,,1970-01-01T00:00:00Z,"","Columbia",0.443,0.533,7,-5.956,1,0.0473,0.429,0.00000366,0.332,0.596,183.791,4
spotify:track:49CP2usyaN98EdtrOWXnal,"1234","The Reminder","Feist",2007-01-01,183666,62,false,,1970-01-01T00:00:00Z,"","Universal Music Division Decca Records France",0.71,0.484,2,-7.415,1,0.049,0.22,0.00000393,0.0879,0.576,109.95,4
spotify:track:1C9RRg412aHARfflbRU2Ht,"I'll See You Soon","I'll See You Soon","23 Fields",2026-06-26,193616,6,false,,1970-01-01T00:00:00Z,"","23 Fields",0.742,0.548,1,-7.865,0,0.0291,0.147,0.00000196,0.152,0.656,101.999,4
spotify:track:1FZMV3Dfmd3r5tugddAYVH,"When Love Meets Hate","When Love Meets Hate","Big Little Lions",2026-06-25,220754,9,false,,1970-01-01T00:00:00Z,"folk pop","Far Flung",0.774,0.446,10,-11.553,0,0.0484,0.0364,0.00000479,0.116,0.594,106.01,4
spotify:track:6jWrDtAJ1AYphtpY2LrJ19,"Come Again","Come Again","Jim James",2026-06-23,208653,45,false,,1970-01-01T00:00:00Z,"","ATO",0.652,0.627,1,-6.424,1,0.0399,0.551,0.378,0.239,0.365,148.743,3
spotify:track:2Q15KcCn0eRQ2nMCApiciK,"Old Man","Old Man","The Woods",2026-06-19,199303,40,false,,1970-01-01T00:00:00Z,"","Big Shadow Glen Records",0.649,0.355,7,-11.554,1,0.026,0.422,0.0000156,0.095,0.552,144.077,4
spotify:track:1JlssWnwFUiEzuSqw4H1V1,"The Cave","Sigh No More","Mumford & Sons",2009-10-02,217986,74,false,,1970-01-01T00:00:00Z,"folk,indie folk,folk rock","Glassnote – VMG M&S",0.576,0.486,4,-9.364,1,0.0406,0.061,0.000143,0.093,0.337,141.951,4
spotify:track:3h5AZDf5z7D18plaLtHTfi,"Murder in the City","The Second Gleam","The Avett Brothers",2008-07-22,192426,51,false,,1970-01-01T00:00:00Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.632,0.254,3,-10.898,1,0.0338,0.922,0.0000906,0.13,0.232,106.026,4
spotify:track:6CMZpGjFK2thtrj38lO0Lc,"26","26","Caamp",2018-03-09,235415,71,false,,1970-01-01T00:00:00Z,"indie folk,folk","Caamp",0.494,0.342,2,-12.501,1,0.0497,0.662,0.000571,0.0673,0.395,171.21,4
spotify:track:5xNpsWUHMrBvWNiQc3HAiK,"Change On The Rise","I'll Get By","Avi Kaplan",2020-02-28,240800,61,false,,1970-01-01T00:00:00Z,"southern gothic","Fantasy",0.593,0.392,0,-10.405,1,0.0296,0.506,0.000152,0.196,0.448,76.984,4
spotify:track:0e0PhBW5VPfAn62bbupqy9,"The Medicine Man [Feat. Old Crow Medicine Show]","Good To Be...","Keb' Mo';Old Crow Medicine Show",2022-01-21,217120,45,false,,1970-01-01T00:00:00Z,"blues,modern blues,country blues,blues rock,classic blues,bluegrass,newgrass,americana,alt country,folk,indie folk","Rounder",0.794,0.598,0,-7.116,1,0.0585,0.16,0.0000157,0.0661,0.776,76.993,4
spotify:track:0jzubiBa1TGiTqkthxJnXR,"Black River Killer","Furr","Blitzen Trapper",2008-09-23,208119,57,false,,1970-01-01T00:00:00Z,"indie folk,alt country,americana","Sub Pop Records",0.617,0.6,8,-10.549,0,0.0403,0.611,0.0214,0.0903,0.672,80.342,4
spotify:track:6IBpFG2LU2udYofIuROp3w,"Lost In The Light","Barchords","Bahamas",2012-01-01,236720,69,false,,1970-01-01T00:00:00Z,"","Brushfire Records/Universal",0.597,0.267,2,-8.796,1,0.031,0.793,0.0014,0.111,0.247,75.545,4
spotify:track:4O2rRsoSPb5aN7N3tG6Y3v,"Northern Attitude","Stick Season","Noah Kahan",2022-10-14,267256,83,true,,1970-01-01T00:00:00Z,"","Mercury Records/Republic Records",0.523,0.626,3,-8.214,1,0.047,0.119,0.0000329,0.107,0.323,121.291,4
spotify:track:7ADBL3WZ9Oyj7zgkg7ODT8,"You Worry Me","Tearing At The Seams","Nathaniel Rateliff & The Night Sweats",2018-03-09,214160,66,false,,1970-01-01T00:00:00Z,"","Stax",0.666,0.646,2,-7.722,1,0.0268,0.124,0.286,0.095,0.664,100.05,4
spotify:track:3TQxkQsyJS03EUwl02Qaub,"Soulfight","The Revivalists","The Revivalists",2008-08-07,392800,64,false,,1970-01-01T00:00:00Z,"","Concord Records",0.591,0.454,7,-8.851,1,0.0317,0.636,0,0.0793,0.198,123.379,4
spotify:track:72zmwnbXjx9fMUjw3mbDSs,"All We Ever Knew","Signs of Light","The Head And The Heart",2016-09-09,225560,66,false,,1970-01-01T00:00:00Z,"indie folk,folk pop,folk","Warner Records",0.487,0.724,0,-5.905,1,0.0289,0.00224,0.0000103,0.213,0.546,102.03,4
spotify:track:1umKFpJdXDtquGCz4oBVDJ,"Windows Are Rolled Down","Mission Bell","Amos Lee",2011,237226,64,false,,1970-01-01T00:00:00Z,"","Blue Note Records",0.435,0.605,8,-6.649,1,0.0275,0.0682,0.00695,0.0653,0.541,62.962,4
