Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6iAoohJqkZCOo6SdzkXyZI,"Everyone Around Me Dancing","Singing","Gia Margaret",2026-04-24,185955,41,false,,2026-05-01T04:02:47Z,"","Jagjaguwar",0.557,0.206,5,-12.951,0,0.0449,0.92,0.00244,0.118,0.0699,111.609,4
spotify:track:2Ggr9IfS70wYQacW8nZKPG,"labour","labour","Paris Paloma",2023-03-23,237744,73,true,,2026-05-01T04:02:47Z,"","Nettwerk Music Group",0.65,0.574,11,-10.3,0,0.101,0.396,0.000112,0.354,0.441,83.963,4
spotify:track:1x0Q0nvWYbJCrmsPZNHIkb,"If You Know Me - demo","If You Know Me (demo)","Hudson Freeman",2025-09-12,127540,51,false,,2026-05-01T04:02:47Z,"","Hudson Freeman",0.622,0.446,4,-6.517,1,0.0276,0.955,0.0000504,0.108,0.371,80.685,4
spotify:track:5S1BO9BS02VIBBDjh2ybEA,"Wings","Wings","Betty",2026-03-20,248981,38,false,,2026-05-01T04:02:47Z,"","Mandatory Music",0.546,0.589,4,-8.503,1,0.0224,0.379,0.00134,0.108,0.413,91.865,4
spotify:track:0BCWfP8NXjwmINTW1MyMu1,"We Go Way Back","The Great Divide","Noah Kahan",2026-04-24,242578,72,false,,2026-05-01T04:02:47Z,"","Mercury Records",0.629,0.302,2,-13.574,1,0.0357,0.871,0.0000208,0.109,0.392,94.997,4
spotify:track:0MRooJn2J6iXQnzFdFSpRR,"I'll Change for You","Nothing's About to Happen to Me","Mitski",2026-02-27,196426,68,false,,2026-05-01T04:02:47Z,"","Dead Oceans",0.465,0.332,4,-14.07,1,0.0293,0.714,0.0533,0.128,0.519,86.921,4
spotify:track:5QL8Uqhv0MQRYKRy6UKQIy,"I Lied (with August Ponthier)","I Lied","Lord Huron;August Ponthier",2021-04-29,234383,57,false,,2026-05-01T04:02:47Z,"","Republic Records",0.44,0.269,5,-10.769,1,0.0262,0.914,0.261,0.132,0.138,103.877,3
spotify:track:3XMl69GS63VxoSOO6Nxord,"Walls","Walls","The Army, The Navy",2026-03-06,192144,50,false,,2026-05-01T04:02:47Z,"","New Gold Medal",0.359,0.386,4,-12.084,0,0.0363,0.919,0.0000045,0.0914,0.408,144.394,4
spotify:track:4OjdtASj8p9hTwS3D555wk,"crooked the road.","crooked the road.","Mon Rovîa",2024-08-23,175609,71,false,,2026-05-01T04:02:47Z,"","Nettwerk Music Group",0.644,0.423,7,-12.206,1,0.0441,0.854,0.0092,0.115,0.231,164.045,4
spotify:track:3EcCMhVhlej7SiLGgKwTub,"Stay","Stay","Leith Ross",2025-08-15,249813,42,false,,2026-05-01T04:02:47Z,"","Republic Records",0.498,0.379,2,-10.573,1,0.0362,0.545,0.00653,0.21,0.508,122.12,4
spotify:track:2HQsCNZ50sGTMQFPJeiHMu,"By and By","By and By","Caamp",2019-07-26,280794,74,false,,2026-05-01T04:02:47Z,"indie folk,folk","Mom+Pop",0.583,0.474,9,-7.981,1,0.0258,0.794,0.00000299,0.115,0.333,101.43,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,88,false,,2026-05-01T04:02:47Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:32btQnrL0HR6M1KKAPf3D3,"Do I Wanna Know? - BBC Live Lounge","Hozier (Special Edition)","Hozier",2014-09-19,257893,75,false,,2026-05-01T04:02:47Z,"","Columbia",0.503,0.202,7,-10.827,1,0.0329,0.891,0.000632,0.121,0.208,137.291,4
spotify:track:6IiAEnXYsSD5De5M502OBa,"The Mountain Is You","The Mountain Is You","Chance Peña",2024-04-12,196210,56,false,,2026-05-01T04:02:47Z,"","Chance Peña",0.422,0.451,5,-10.232,1,0.0308,0.588,0.043,0.332,0.102,108.94,4
spotify:track:5NRbNXwXHM9mYgxMhzVWTP,"Not Dead Yet","Not Dead Yet","Lord Huron",2021-02-19,177366,49,false,,2026-05-01T04:02:47Z,"","Republic Records",0.491,0.809,10,-7.68,1,0.0332,0.33,0.158,0.0874,0.656,74.008,4
spotify:track:6oCXDaFZYL7sHnowv6pdXb,"Spring Into Summer","Older (and Wiser)","Lizzy McAlpine",2024-10-04,262518,80,false,,2026-05-01T04:02:47Z,"","Indigo Blue/RCA Records",0.522,0.575,2,-7.294,1,0.0305,0.614,0.000248,0.103,0.234,91.713,4
spotify:track:73uJybGAhwGRD9MZYrOmTY,"Death with Dignity","Carrie & Lowell","Sufjan Stevens",2015-03-31,239508,66,false,,2026-05-01T04:02:47Z,"baroque pop","Asthmatic Kitty",0.514,0.16,4,-21.04,1,0.0383,0.986,0.0176,0.113,0.395,169.898,4
spotify:track:6uTTNETm26JZlksu0KFgJu,"If I go","Body Break","Beryl",2025-10-10,215649,46,false,,2026-05-01T04:02:47Z,"","Peril Records AU",0.274,0.269,6,-10.587,0,0.0296,0.852,0.0138,0.132,0.173,149.193,4
spotify:track:3uPtIkVX9oKZOySke79nJD,"I'm Not Them","Lay Me Down Here","Them & I",2025-12-05,123962,72,false,,2026-05-01T04:02:47Z,"","broke",0.532,0.348,4,-20.043,0,0.0374,0.882,0.74,0.162,0.359,80.957,4
spotify:track:0SC0WzJk80snenOopsPzvM,"Earthstar","Earthstar Mountain","Hannah Cohen",2025-03-28,243455,54,false,,2026-05-01T04:02:47Z,"","Congrats Records",0.513,0.726,1,-8.566,0,0.0397,0.289,0.267,0.0778,0.492,152.012,4
spotify:track:4Cd7jyOiC8S18NwUBEGRbe,"Ready or Not (feat. Sierra Ferrell)","Movie Of The Week","Shakey Graves;Sierra Ferrell",2023-09-15,192901,65,false,,2026-05-01T04:02:47Z,"indie folk,americana,bluegrass,alt country","Dualtone Music Group",0.718,0.576,5,-9.603,0,0.0614,0.259,0.0518,0.113,0.622,88.787,4
spotify:track:5LfgzPHvka22FdRAxOme6m,"At The Beach, In Every Life","At The Beach, In Every Life","Gigi Perez",2025-04-25,237809,73,false,,2026-05-01T04:02:47Z,"","Outtahere, LLC / Island Records",0.459,0.426,1,-8.581,1,0.0305,0.559,0.00000703,0.154,0.251,84.053,4
spotify:track:4SwSpxsOYtnEaRxWtYrnvZ,"Vampire Empire","Vampire Empire / Born For Loving You","Big Thief",2023-09-13,192127,77,false,,2026-05-01T04:02:47Z,"","4AD",0.636,0.572,9,-7.797,1,0.0913,0.287,0,0.0878,0.66,131.272,4
spotify:track:3XneIyAAZM1PV6356Eug4l,"The Mythical","The Mythical","Josephine Illingworth",2026-04-02,328500,30,false,,2026-05-01T04:02:47Z,"","Josephine Illingworth",0.289,0.175,11,-16.046,0,0.0352,0.957,0.0218,0.368,0.148,156.461,3
spotify:track:3rUw4cRDeYVZhjkUXBnFUQ,"She Burns","The Wild Swan","Foy Vance",2016-05-13,229226,56,false,,2026-05-01T04:02:47Z,"","Gingerbread Man Records/Elektra",0.73,0.403,4,-10.146,1,0.0483,0.718,0.00225,0.0985,0.502,124.899,4
spotify:track:0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey;SYML",2023-03-24,206722,74,false,,2026-05-01T04:02:47Z,"","Polydor Records",0.287,0.102,0,-17.529,0,0.0334,0.985,0.0559,0.109,0.198,170.253,3
spotify:track:2wUvQE1VLMw0jRJVYn7qbt,"Is What It Is","Is What It Is","Chance Peña",2024-08-09,203986,46,false,,2026-05-01T04:02:47Z,"","Chance Peña",0.683,0.459,7,-9.524,1,0.0328,0.576,0.0019,0.0916,0.502,104.007,4
spotify:track:4iK3yOQKoby2b9gvCmUwsR,"How Lucky","How Lucky","Kurt Vile;John Prine",2020-09-24,203106,56,false,,2026-05-01T04:02:47Z,"americana,folk,singer-songwriter,alt country","Matador",0.523,0.441,5,-9.928,1,0.0311,0.465,0.00268,0.365,0.49,171.246,4
spotify:track:5PJH1U5Iie893v48Fl9yaC,"Cool About It","the record","boygenius;Julien Baker;Phoebe Bridgers;Lucy Dacus",2023-03-31,180000,76,false,,2026-05-01T04:02:47Z,"ambient folk","boygenius under exclusive license to Interscope Records",0.52,0.212,2,-13.693,1,0.0335,0.901,0,0.134,0.4,92.444,4
spotify:track:00lSB9CSyOcsxKVtbPbniL,"Elderberry Wine","Bleeds","Wednesday",2025-09-19,215506,59,false,,2026-05-01T04:02:47Z,"alt country","Dead Oceans",0.642,0.704,0,-3.949,1,0.0255,0.0701,0.0000144,0.143,0.372,112.008,4
spotify:track:4wO2JlPZw72Xlu6dGUW4Ce,"Pushing It Down and Praying","Pushing It Down and Praying","Lizzy McAlpine",2024-09-20,234076,72,false,,2026-05-01T04:02:47Z,"","Indigo Blue/RCA Records",0.409,0.251,6,-10.294,1,0.0355,0.797,0.0000105,0.112,0.177,130.391,4
spotify:track:4fPZyUU0MmUJuVlJ9IjJe6,"Caroline","RUSHMERE","Mumford & Sons",2025-03-28,200373,52,false,,2026-05-01T04:02:47Z,"folk,indie folk,folk rock","Glassnote Entertainment Group LLC",0.349,0.88,7,-5.008,1,0.0589,0.00358,0,0.11,0.415,160.291,4
spotify:track:0nV6h4JAeJ9UvkpGmEESMw,"Missing Out","Chaos Angel","Maya Hawke",2024-05-31,217320,58,false,,2026-05-01T04:02:47Z,"","Mom+Pop Music",0.643,0.584,8,-9.19,1,0.0479,0.584,0.105,0.0856,0.889,159.94,4
spotify:track:2IRjyyiU5P9WnmXJKcnwww,"It's Called: Freefall","It's Called: Freefall","Paris Paloma",2022-07-22,158297,65,true,,2026-05-01T04:02:47Z,"","Nettwerk Music Group",0.684,0.129,6,-15.007,1,0.0518,0.908,0.0000021,0.182,0.299,93.775,4
spotify:track:4GIRtMKQ8h4OyLugNbz1JX,"Massachusetts","I Don't Know How But They Found Me!","Jensen McRae",2025-04-25,218954,69,false,,2026-05-01T04:02:47Z,"","Dead Oceans",0.358,0.535,7,-5.227,1,0.0356,0.423,0,0.0939,0.434,203.376,4
spotify:track:2VlikHNvR4PcBzQwJBGqzt,"Hanging on Hope","Hanging on Hope","Buffalo Traffic Jam",2026-03-13,223939,73,false,,2026-05-01T04:02:47Z,"","Arista Records",0.372,0.346,10,-10.579,1,0.0306,0.853,0.00126,0.112,0.174,174.84,4
spotify:track:3nNXXPHGzCObHA50xCLzSf,"Schoolyard Days","Schoolyard Days","Amble",2025-03-07,189527,50,false,,2026-05-01T04:02:47Z,"","Warner Records",0.528,0.607,2,-7.261,1,0.0353,0.421,0.439,0.068,0.376,180.574,4
spotify:track:7ydJaSdC8Au68eYgspNznY,"Goodbye Mr. Blue","Chloë and the Next 20th Century","Father John Misty",2022-04-08,300240,54,false,,2026-05-01T04:02:47Z,"","Sub Pop Records",0.506,0.47,2,-8.787,1,0.0284,0.737,0.608,0.125,0.477,104.967,4
spotify:track:4HOKq0bN93FsAhtZ5Wdq3y,"Long Blue Light","Long Blue Light","Leif Vollebekk",2020-11-10,200173,69,false,,2026-05-01T04:02:47Z,"","Secret City Records",0.568,0.483,9,-9.12,1,0.0297,0.53,0.0972,0.183,0.508,142.52,4
spotify:track:6EWbV0FVnL9CHiSrMyhtpR,"Last Time","Last Time","Medium Build",2025-08-29,214142,49,true,,2026-05-01T04:02:47Z,"","Island Records",0.8,0.517,1,-7.698,1,0.268,0.458,0.00000668,0.0993,0.792,102.015,4
spotify:track:21JL0gpeAYgbSUmzhgSPJz,"Souvenir","boygenius","boygenius;Julien Baker;Phoebe Bridgers;Lucy Dacus",2018-10-26,212467,60,false,,2026-05-01T04:02:47Z,"ambient folk","Matador",0.605,0.299,6,-11.192,0,0.0264,0.751,0.474,0.0943,0.181,109.008,4
spotify:track:4PwWESSlTwzvw9B7bmtTLS,"anything","songs","Adrianne Lenker",2020-10-23,202047,81,false,,2026-05-01T04:02:47Z,"","4AD",0.388,0.291,3,-12.952,1,0.0421,0.774,0.0000193,0.0874,0.51,83.943,4
spotify:track:1xQKkR7bFenmihMnOgoFgC,"Mountain","Earthstar Mountain","Hannah Cohen",2025-03-28,239895,49,false,,2026-05-01T04:02:47Z,"","Congrats Records",0.666,0.486,9,-10.114,0,0.0282,0.697,0.0456,0.109,0.455,121.022,4
spotify:track:32xm5clCZkPPc7hdQRZjYQ,"Bathroom Light","Orange Blood","Mt. Joy",2022-06-17,188266,66,false,,2026-05-01T04:02:47Z,"","Island Records",0.653,0.514,3,-10.819,1,0.0468,0.906,0.00668,0.109,0.651,135.15,4
spotify:track:0k4XDoI1iCB3fV2RstqiYA,"THINGS BEHIND THINGS BEHIND THINGS","SABLE, fABLE","Bon Iver",2025-04-11,200589,59,false,,2026-05-01T04:02:47Z,"","Jagjaguwar",0.413,0.467,9,-9.282,1,0.0292,0.732,0.0111,0.0711,0.377,157.338,4
spotify:track:0aK8R0A8eMzEKfzEvapzlX,"Roll The Bones","Roll The Bones X","Shakey Graves",2021-04-02,244272,45,false,,2026-05-01T04:02:47Z,"indie folk","Dualtone Music Group",0.582,0.373,7,-12.826,1,0.0326,0.803,0.0705,0.112,0.182,113.218,4
