Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1672RT45nXNUb28fzzPxn8,"Orange Blood","Orange Blood","Mt. Joy",2022-06-17,226013,65,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-02T02:23:11Z,"","Island Records",0.712,0.53,5,-9.842,0,0.0444,0.66,0.512,0.129,0.496,118.994,4
spotify:track:6lzjz4VBXtloniJwMXWicE,"Let It All Go, Man","Wide Awake","Rayland Baxter",2018-07-13,306400,41,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-02T02:23:15Z,"southern gothic","ATO Records",0.586,0.33,7,-11.789,1,0.0321,0.927,0.00000488,0.105,0.355,104.807,4
spotify:track:0fOEjjXBEiyu395pW3C1eo,"Michigan Cherry","Monoflora","River Whyless",2022-04-08,223400,56,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-02T02:23:18Z,"folk pop,indie folk","River Whyless",0.465,0.371,1,-10.758,0,0.0305,0.781,0.0262,0.104,0.281,74.892,4
spotify:track:2G3sV2KDDFo3wd93FEdhLo,"Roll The Bones","Roll The Bones X","Shakey Graves",2021-04-02,244272,0,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-02T02:23:22Z,"indie folk","Dualtone Music Group",0.582,0.373,7,-12.826,1,0.0326,0.803,0.0705,0.112,0.182,113.218,4
spotify:track:1rFESnxfD1OyAPvmSMeU1T,"I Love You. It’s A Fever Dream.","I Love You. It's a Fever Dream.","The Tallest Man On Earth",2019-04-19,218344,41,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-02T02:23:28Z,"indie folk,folk","Rivers / Birds Records",0.579,0.326,8,-9.985,1,0.0352,0.872,0.00148,0.19,0.301,92.744,4
spotify:track:2bsC6KLZ6a9v6zdoDkziBL,"Dirty Love","Mt. Joy","Mt. Joy",2018-03-02,164626,1,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-03T13:29:30Z,"","Dualtone Music Group, Inc.",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.088,4
spotify:track:3Hvg5tRKsQlX25wYwgMF9p,"Flowers in Your Hair","The Lumineers","The Lumineers",2012-04-03,109735,2,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-05T21:44:02Z,"folk pop,indie folk","Dualtone Music Group",0.67,0.609,7,-10.088,1,0.0333,0.75,0.0000674,0.227,0.573,127.463,4
spotify:track:2JXiyD1zucGdFmnTeYb5Ry,"August (Acoustic)","August (Acoustic)","flipturn",2019-02-15,302000,57,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-06T15:05:48Z,"","flipturn",0.52,0.265,6,-12.78,1,0.0316,0.223,0.152,0.113,0.0855,79.819,4
spotify:track:4C0P5aJsVTkqXgVeAl83Iy,"June","Big Shot","Briston Maroney",2017-12-08,284226,62,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-07T15:23:31Z,"","Canvasback",0.404,0.534,2,-7.968,1,0.0892,0.242,0,0.106,0.0789,164.182,4
spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,"Brazil","What Do You Think About the Car?","Declan McKenna",2017-04-21,252305,85,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-10T20:54:59Z,"","Columbia",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
spotify:track:62jTONp5YKMM1XSNbz9cF3,"Couch","Couch","Dexter and The Moonrocks",2021-08-16,123964,59,true,wlbauo3y4l07z7wc9yxfd5fom,2023-02-14T02:48:04Z,"","Who's Dexter Enterprises",0.72,0.419,7,-10.494,1,0.0266,0.418,0.115,0.106,0.215,109.992,4
spotify:track:6me7F0aaZjwDo6RJ5MrfBD,"Evergreen","RMCM","Richy Mitch & The Coal Miners",2017-05-17,87000,83,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-14T03:44:36Z,"","Richy Mitch & The Coal Miners",0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
spotify:track:3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,75,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-15T01:43:06Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
spotify:track:1b3UY0WcVkxQvPDGo7T36s,"Angeline","Wide Awake","Rayland Baxter",2018-07-13,234800,38,false,wlbauo3y4l07z7wc9yxfd5fom,2023-02-15T14:45:43Z,"southern gothic","ATO Records",0.485,0.75,10,-6.564,1,0.0289,0.0278,0,0.385,0.802,91.795,4
