Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0sxEHZ8WEPPTWGFXYBdB3O,"For Real","Bravebird","Amel Larrieux",2004-01-20,226333,48,false,24g4naf1taqvuruhq157qzdn4,2022-02-10T01:24:41Z,"neo soul","blisslife",0.595,0.525,11,-7.338,1,0.245,0.32,0,0.0419,0.756,136.061,4
spotify:track:58wz6SXvLA7JjKtX5Ydq06,"Cross My Mind","Beautifully Human: Words and Sounds Vol. 2","Jill Scott",2004-08-31,284800,50,false,24g4naf1taqvuruhq157qzdn4,2022-02-10T01:24:50Z,"neo soul,quiet storm","Hidden Beach Records",0.878,0.242,5,-9.438,0,0.281,0.0312,0.00163,0.133,0.43,146.077,4
spotify:track:2PzYqACbv12FNhrlHPfJEH,"He Loves Me (Lyzel in E Flat)","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,285746,62,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:11Z,"neo soul,quiet storm","Hidden Beach Records",0.649,0.3,3,-14.74,0,0.0498,0.623,0.00000446,0.125,0.294,99.989,4
spotify:track:6cR1U61DMpYbS2TtNTlSvo,"Read Your Mind","Private Room","Avant",2003-01-01,263506,60,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:23Z,"r&b,quiet storm","Geffen*",0.755,0.381,8,-6.696,0,0.0706,0.288,0.00000517,0.0974,0.69,73.108,4
spotify:track:4o1E2c0ye1RlIJJqOM0dqP,"Knocks Me Off My Feet","My Heart","Donell Jones",1996-06-04,222760,57,false,24g4naf1taqvuruhq157qzdn4,2022-02-20T03:40:50Z,"r&b,quiet storm,neo soul","Arista/LaFace Records",0.469,0.594,7,-8.209,1,0.0403,0.0663,0,0.0806,0.485,167.223,4
spotify:track:6qU37BgVfPhpb2rhYzZWrF,"It Kills Me","The Bridge","Melanie Fiona",2009-01-01,250413,50,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:27Z,"","SRC Records",0.618,0.764,8,-4.375,1,0.0411,0.228,0,0.0972,0.479,107.452,4
spotify:track:1e5DTpM1WeggytDXbphivX,"Kissin' You","Total","Total",1996-01-30,282333,61,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:32Z,"r&b,new jack swing","Rhino Atlantic",0.746,0.493,11,-9.427,0,0.0997,0.302,0.00957,0.109,0.878,82.04,4
spotify:track:0f62w1teOSaYgKObtzygaR,"Bad Habits - uncut","BLACKsummers'night (2009)","Maxwell",2009-07-07,352280,51,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:38Z,"neo soul,quiet storm,r&b","Columbia",0.661,0.67,11,-7.645,0,0.258,0.0873,0.00000201,0.0794,0.661,148.02,4
spotify:track:2qYIdNaktgtpaPHxDVMXbE,"Emotional","Emotional","Carl Thomas",2000-04-18,271867,53,false,24g4naf1taqvuruhq157qzdn4,2022-02-19T23:47:41Z,"neo soul,quiet storm,r&b","Bad Boy Records",0.482,0.542,1,-8.435,0,0.0427,0.545,0,0.148,0.39,83.12,4
spotify:track:2Vlk8O848wZuu9CLWnAYSb,"A Couple Of Forevers","Better","Chrisette Michele",2013-01-01,237573,52,false,24g4naf1taqvuruhq157qzdn4,2022-02-20T00:07:29Z,"neo soul,jersey club,r&b","Island Def Jam/Motown",0.494,0.452,10,-6.724,0,0.0308,0.193,0,0.089,0.173,116.293,4
spotify:track:69rOfKSz0ys8UdgTkGd6qV,"Whoknows","soulstar","Musiq Soulchild",2003-01-01,295320,44,false,24g4naf1taqvuruhq157qzdn4,2022-02-20T00:07:36Z,"neo soul,r&b,quiet storm","Def Soul",0.407,0.678,2,-6.135,1,0.104,0.19,0,0.342,0.297,117.555,4
