Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6CfVcsoLCzaJyOvecf8Pe6,"Far Away","Surrender to Love","Kindred The Family Soul",2003-02-25,257986,50,false,25cslaughter,2020-05-29T13:13:17Z,"neo soul,quiet storm","Hidden Beach Records",0.759,0.646,4,-8.145,0,0.0683,0.0791,0,0.0965,0.786,82.95,4
spotify:track:0bHs3ly4Bv5BlzE3KrePfX,"Golden","Beautifully Human: Words and Sounds Vol. 2","Jill Scott",2004-08-31,231560,61,false,25cslaughter,2020-05-29T13:13:56Z,"neo soul,quiet storm","Hidden Beach Records",0.769,0.558,10,-6.232,0,0.0828,0.275,0.00000106,0.0758,0.593,100.007,4
spotify:track:2sNAjuCXxyj8jHt93t9IJ9,"Brotha","Mahogany Soul","Angie Stone",2001-10-16,268133,48,false,25cslaughter,2020-05-29T13:15:08Z,"neo soul,soul","J Records",0.801,0.434,7,-9.174,0,0.376,0.538,0,0.0729,0.661,132.254,4
spotify:track:0tNuJpBgtE65diL6Q8Q7fI,"On & On","Baduizm","Erykah Badu",1997-01-01,226133,73,true,25cslaughter,2020-05-29T13:15:55Z,"neo soul,r&b","Universal Records",0.761,0.403,11,-10.424,0,0.158,0.0392,0.0113,0.256,0.346,80.476,4
spotify:track:7rt0kEDWRg3pgTZJKuszoE,"Brown Sugar","Brown Sugar","D'Angelo",1995-07-03,262893,66,true,25cslaughter,2020-05-29T13:16:55Z,"neo soul","Virgin Records",0.717,0.486,9,-8.342,1,0.169,0.529,0.0318,0.102,0.579,83.077,4
spotify:track:2UXEwIOtNGUUgGdXnds8V7,"Closer","Even Closer","Goapele",2002-02-12,229693,65,false,25cslaughter,2020-05-29T13:16:45Z,"neo soul","Skyblaze Recordings",0.714,0.436,1,-6.471,1,0.0342,0.462,0.0117,0.107,0.372,93.025,4
spotify:track:1eetzMDPNpYSZOreBw7SSk,"Soul Sista","1st Born Second","Bilal",2001-01-01,318666,55,true,25cslaughter,2020-05-29T13:17:25Z,"neo soul","Interscope",0.706,0.326,8,-10.45,0,0.116,0.538,0.00000806,0.171,0.705,145.976,4
spotify:track:5jgEJXjECdlhzNgfITSTVm,"Just Friends (Sunny)","Aijuswanaseing","Musiq Soulchild",2000-01-01,251426,66,false,25cslaughter,2020-05-29T13:17:30Z,"neo soul,r&b,quiet storm","Def Jam Recordings",0.754,0.376,0,-7.56,1,0.208,0.404,0,0.358,0.556,95.018,4
spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Say Yes","Floetic","Floetry",2002-01-01,268373,66,false,25cslaughter,2020-05-29T13:17:42Z,"neo soul,quiet storm","Geffen",0.747,0.398,5,-12.932,0,0.0743,0.211,0.00000142,0.113,0.428,117.901,1
spotify:track:1CeizRCGEYPWooEeVfmyFL,"A Long Walk","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,280973,62,false,25cslaughter,2020-05-29T13:17:44Z,"neo soul,quiet storm","Hidden Beach Records",0.713,0.541,6,-9.295,0,0.248,0.0617,0.000137,0.112,0.28,75.714,4
spotify:track:1wRQqmZwiF4thdQ8N7FiNv,"Alright","Lost And Found","Ledisi",2007-01-01,277666,51,false,25cslaughter,2020-05-29T13:17:56Z,"neo soul","Verve Forecast",0.626,0.417,8,-8.216,1,0.146,0.18,0.000164,0.111,0.209,173.629,4
