Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7BgUcOjSOlKJXASLgJ6bx1,"Bag Lady","Mama's Gun","Erykah Badu",2000-10-31,348893,61,true,kutilerie,2023-06-13T06:49:10Z,"neo soul,r&b","Motown (Kedar)",0.724,0.416,5,-8.967,0,0.0847,0.363,0,0.0966,0.582,151.181,4
spotify:track:48EjSdYh8wz2gBxxqzrsLe,"Cranes in the Sky","A Seat at the Table","Solange",2016-09-30,250970,67,false,kutilerie,2023-06-13T08:07:22Z,"alternative r&b,neo soul","Saint Records/Columbia",0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
spotify:track:1Q0lOGB52skgfzdcq233vs,"Nothing Even Matters (feat. D'Angelo)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill;D'Angelo",1998-08-25,350533,66,false,kutilerie,2023-06-13T08:20:37Z,"neo soul","Ruffhouse/Columbia",0.539,0.363,10,-13.888,0,0.166,0.701,0.00000318,0.14,0.549,136.422,4
spotify:track:4UpBPaIMx7OoFpjeNdXfMn,"Young Love","Rose in the Dark","Cleo Sol",2020-03-27,264710,56,false,kutilerie,2023-06-13T07:51:22Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.477,0.484,0,-7.821,1,0.0529,0.633,0.00000183,0.11,0.573,135.592,4
spotify:track:5LIwaG8Wl9LfExcmiRQm7J,"Send It On","Voodoo","D'Angelo",2000-01-01,356493,63,false,kutilerie,2023-06-13T08:01:09Z,"neo soul","Virgin Records",0.788,0.258,5,-11.758,1,0.104,0.171,0.00721,0.326,0.335,127.492,3
spotify:track:2cDpmXyh3PE57jrnmmvzno,"Take Care","Take Care","KIRBY",2022-10-13,229992,0,false,kutilerie,2023-06-13T08:15:21Z,"alternative r&b","KIRBY",0.621,0.488,2,-7.156,0,0.157,0.499,0.00229,0.105,0.565,77.912,4
spotify:track:74HYrIbnpc2xKCTenv5qKM,"Window Seat","New Amerykah Part Two: Return Of The Ankh","Erykah Badu",2010-03-30,289720,65,false,kutilerie,2023-06-13T08:31:19Z,"neo soul,r&b","Motown",0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,4
spotify:track:1CeizRCGEYPWooEeVfmyFL,"A Long Walk","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,280973,62,false,kutilerie,2023-06-13T08:32:47Z,"neo soul,quiet storm","Hidden Beach Records",0.713,0.541,6,-9.295,0,0.248,0.0617,0.000137,0.112,0.28,75.714,4
spotify:track:1cNJFRMqrc87DD4hqfVehj,"sugarcoated love","BBYGIRL FOCU$","RIMON",2018-11-08,219488,30,false,kutilerie,2023-06-13T08:12:34Z,"alternative r&b","ALLE$ Recordings",0.675,0.386,11,-9.524,0,0.119,0.151,0.0148,0.113,0.336,135.954,4
spotify:track:2iEkQcLF4Mjm91hTS3XW86,"Where I'm From (feat. Mereba)","HYPNOS","Ravyn Lenae;Mereba",2022-05-20,224933,47,false,kutilerie,2023-06-13T07:58:41Z,"alternative r&b,indie soul","Atlantic Records",0.672,0.529,7,-7.945,1,0.0597,0.274,0.0086,0.171,0.328,95.329,4
