Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3IRdgbdqDcmJBIa6TY2mKX,"I Used to Love Him (feat. Mary J. Blige)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill;Mary J. Blige",1998-08-25,339866,60,false,spiritntruth,2023-04-14T11:26:18Z,"neo soul,r&b","Ruffhouse/Columbia",0.486,0.797,9,-7.632,0,0.231,0.06,0,0.331,0.745,87.445,4
spotify:track:6q8fYYujrQxXckq1tTtqqi,"Time's A Wastin","Mama's Gun","Erykah Badu",2000-10-31,400840,54,false,spiritntruth,2023-04-14T11:27:24Z,"neo soul,r&b","Motown (Kedar)",0.677,0.326,11,-10.684,0,0.0671,0.201,0.00143,0.201,0.456,75.36,4
spotify:track:6E5ct2ZtF9WSXPRpC7hYU8,"Cherry Wine - Album Version (Edited)","Life Is Good (Deluxe)","Nas;Amy Winehouse",2012-01-01,356466,20,false,spiritntruth,2023-04-14T11:28:00Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.699,0.831,1,-3.64,0,0.179,0.361,0,0.242,0.47,96.006,4
spotify:track:7dP57u5hv9TqZnfTlklyrt,"Do You Like the Way (feat. Lauryn Hill & Cee-Lo)","Supernatural (Remastered)","Santana;Ms. Lauryn Hill;CeeLo Green",1999-06-15,353506,46,false,spiritntruth,2023-04-14T11:30:43Z,"neo soul","Columbia/Legacy",0.498,0.87,11,-4.386,0,0.116,0.0503,0.00025,0.441,0.557,87.806,4
spotify:track:6etw8Vp1sIEhaUDclm0BJn,"Slum Beautiful (feat. Cee-Lo)","Stankonia","Outkast;CeeLo Green",2000-10-31,247693,16,false,spiritntruth,2023-04-14T11:33:27Z,"southern hip hop,hip hop","LaFace/Legacy",0.833,0.809,6,-6.798,1,0.266,0.138,0.00000134,0.146,0.9,159.864,4
spotify:track:6lUhpV6LjQ5uvcavlCutBF,"All Falls Down","The College Dropout","Kanye West;Syleena Johnson",2004-02-10,223640,56,false,spiritntruth,2023-04-14T11:35:33Z,"rap,neo soul","Roc-A-Fella",0.654,0.72,8,-4.785,0,0.464,0.125,0,0.153,0.472,91.105,4
spotify:track:1FAL6jmxa7oIZxmqZFZZL4,"Drama","Baduizm","Erykah Badu",1997-01-01,362600,49,false,spiritntruth,2023-04-14T11:37:07Z,"neo soul,r&b","Universal Records",0.676,0.439,9,-8.011,0,0.0934,0.0161,0.427,0.0838,0.39,172.137,4
spotify:track:2E3pS9rIoTnxI6DvgvEQ6n,"what's normal anyway","Wildheart","Miguel",2015-06-26,193754,20,false,spiritntruth,2023-04-14T11:37:25Z,"r&b","ByStorm Entertainment/RCA Records",0.647,0.747,6,-6.49,0,0.311,0.487,0.000659,0.185,0.345,101.008,4
spotify:track:7lVxWMH0C3Bj8b8JLkh9EN,"Wake up Everybody (feat. Common & Melanie Fiona)","Wake Up!","John Legend;The Roots;Common;Melanie Fiona",2010-09-17,264866,47,false,spiritntruth,2023-04-14T11:46:29Z,"soft pop,neo soul,east coast hip hop,jazz rap,hip hop","G.O.O.D. Music/Columbia",0.638,0.467,3,-7.787,0,0.0522,0.536,0,0.298,0.657,94.089,4
spotify:track:6zteCNciM9nCkDUa86oH3R,"Open Your Eyes","Sketches Of A Man","Dwele",2008-06-24,201266,0,false,spiritntruth,2023-04-14T11:47:24Z,"neo soul","eOne Music",0.584,0.386,2,-9.579,1,0.0403,0.242,0.000578,0.076,0.295,94.937,4
spotify:track:0wdaPticLmmqJdhgLDJ9zI,"Who Can I Run To","Off The Hook","Xscape",1995-07-01,216333,58,false,spiritntruth,2023-04-14T11:48:59Z,"r&b,quiet storm","So So Def/Columbia",0.71,0.545,4,-9.599,1,0.0588,0.483,0,0.0644,0.632,140.233,4
spotify:track:3X3XuCPTC95ARm9SguWsIa,"Sweet Thing","What's The 411?","Mary J. Blige",1992-01-01,225333,56,false,spiritntruth,2023-04-14T11:49:09Z,"r&b","Uptown",0.671,0.652,6,-7.86,0,0.0771,0.346,0.0000956,0.178,0.702,158.418,4
spotify:track:5bAEFsQjo0DEJalVwFVmsW,"How Come You Don't Call Me","Songs In A Minor (Expanded Edition)","Alicia Keys",2001-06-26,237626,0,true,spiritntruth,2023-04-14T11:49:25Z,"r&b,neo soul","J Records/Legacy",0.835,0.547,6,-7.69,0,0.0515,0.155,0.000291,0.0579,0.759,124.55,3
spotify:track:5zsqV7VwDz2gRnALIpTaP1,"Angel","BEcoming","Stacy Barthe;John Legend",2015-07-10,185356,27,false,spiritntruth,2023-04-14T11:49:41Z,"soft pop,neo soul","Homeschool/Motown",0.622,0.651,3,-6.619,0,0.0304,0.131,0,0.123,0.576,90.011,4
