Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6sIMSl1n3KDPr03Fw8mujd,"Next Lifetime","Baduizm","Erykah Badu",1997-01-01,386626,66,false,josiealford14,2026-07-03T08:37:56Z,"neo soul,r&b","Universal Records",0.641,0.413,8,-11.929,0,0.0564,0.129,0.00114,0.0949,0.338,130.021,4
spotify:track:7AjfklMN4WpQYz5FkT4E66,"Lady","Brown Sugar","D'Angelo",1995-07-03,346266,68,false,josiealford14,2026-07-03T08:37:56Z,"neo soul","Virgin Records",0.815,0.365,8,-11.835,0,0.0875,0.14,0.0258,0.121,0.721,84.9,4
spotify:track:1eetzMDPNpYSZOreBw7SSk,"Soul Sista","1st Born Second","Bilal",2001-01-01,318666,55,true,josiealford14,2026-07-03T08:37:56Z,"neo soul","Interscope",0.706,0.326,8,-10.45,0,0.116,0.538,0.00000806,0.171,0.705,145.976,4
spotify:track:4m30cfL2qOwlFsuGqMOZ8k,"open this wall","open this wall","berlioz",2024-07-12,156688,56,false,josiealford14,2026-07-03T08:37:56Z,"jazz house,jazz","berlioz",0.773,0.635,4,-12.355,1,0.0695,0.779,0.412,0.0851,0.248,111.966,4
spotify:track:5Ag9xzoXmGxBlcrojQPSvr,"Baby Can't Leave It Alone","Soul Catcher","Olu",1999-06-15,258000,0,false,josiealford14,2026-07-03T08:37:56Z,"neo soul","V2",0.733,0.516,4,-7.872,1,0.082,0.487,0.00218,0.316,0.766,91.038,4
spotify:track:32fwe7MW5koort1Ua3YFx6,"Terrapin","Charm","Clairo",2024-07-12,180289,69,false,josiealford14,2026-07-03T08:37:56Z,"bedroom pop","Clairo",0.582,0.441,4,-7.394,1,0.0452,0.231,0.74,0.188,0.469,136.932,4
spotify:track:4eI8okfmurpexL41RdjkGA,"For You","Kenny Lattimore","Kenny Lattimore",1996-05-14,237200,58,false,josiealford14,2026-07-03T08:37:56Z,"quiet storm,neo soul","Columbia",0.626,0.42,4,-11.796,1,0.0339,0.75,0,0.0648,0.498,137.681,4
spotify:track:0F4ztuiA5xMeNCoze1f09l,"SunLove.","SunLove.","chromonicci",2024-05-31,206250,0,false,josiealford14,2026-07-03T08:37:56Z,"lo-fi beats,lo-fi hip hop","chromonicci.",0.457,0.559,1,-9.453,0,0.288,0.746,0.0483,0.105,0.427,94.564,4
spotify:track:4PQ6Z4Umu8WMkydEHxSRpT,"Been on a Journey","Been on a Journey","threetwenty",2024-07-03,354533,35,false,josiealford14,2026-07-03T08:37:56Z,"neo soul,christian r&b","New Century Sound",0.684,0.535,1,-7.998,0,0.043,0.0141,0.0253,0.0587,0.618,77.003,4
spotify:track:2qYIdNaktgtpaPHxDVMXbE,"Emotional","Emotional","Carl Thomas",2000-04-18,271867,53,false,josiealford14,2026-07-03T08:37:56Z,"neo soul,quiet storm,r&b","Bad Boy Records",0.482,0.542,1,-8.435,0,0.0427,0.545,0,0.148,0.39,83.12,4
