Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6iWs0J0CnadMMbxLQtZrCG,"I Can't Stop Loving You","Kem Album II","Kem",2004-01-01,323920,61,false,1211619287,2014-07-21T16:57:14Z,"neo soul,quiet storm","Motown",0.704,0.296,3,-9.76,0,0.0445,0.723,0.00000307,0.124,0.123,141.203,4
spotify:track:4IFYR5smTnHYCLP82AiDrJ,"Officially Missing You","More","Tamia",2004,242466,57,false,1211619287,2014-07-21T17:03:35Z,"r&b","Elektra Records",0.476,0.407,4,-9.239,0,0.0368,0.247,0,0.144,0.226,178.258,4
spotify:track:58s4iqgXFzXhBndBkg2AaD,"Spend My Life With You","A Day in the Life","Eric Benét;Kevin ""K.D."" Davis",1999-02-25,276013,61,false,1211619287,2014-07-21T16:58:31Z,"neo soul,quiet storm,contemporary r&b","Warner Records",0.583,0.435,8,-8.784,1,0.0386,0.434,0.0000549,0.102,0.292,72.01,4
spotify:track:2UXEwIOtNGUUgGdXnds8V7,"Closer","Even Closer","Goapele",2002-02-12,229693,65,false,1211619287,2014-07-21T17:24:45Z,"neo soul","Skyblaze Recordings",0.714,0.436,1,-6.471,1,0.0342,0.462,0.0117,0.107,0.372,93.025,4
spotify:track:79UjqYt9MCLlBpzAvaKVJj,"In Love With You","Mama's Gun","Erykah Badu;Stephen Marley",2000-10-31,321000,58,false,1211619287,2014-07-21T17:12:03Z,"neo soul,r&b,reggae,roots reggae,ragga","Motown (Kedar)",0.736,0.268,9,-12.873,0,0.0639,0.581,0,0.163,0.65,132.525,4
spotify:track:6ctr1K7KzKErxbfGAynL8A,"I Wanna Know","Greatest Hits","Joe",2008-10-14,296800,56,false,1211619287,2014-07-21T17:03:04Z,"r&b,quiet storm","Jive",0.724,0.485,6,-5.919,1,0.0376,0.256,0.0000135,0.416,0.581,136.057,4
spotify:track:4geR2biU0ogmJgtIhzqUA8,"Anytime","1989-2002 From There To Here","Brian McKnight",2002-11-05,248240,0,false,1211619287,2014-07-21T17:01:47Z,"quiet storm,r&b","Motown (Mercury)",0.74,0.436,3,-8.19,0,0.0314,0.0368,0.00204,0.0496,0.534,129.9,4
spotify:track:1ubuMfRnKJGdRyzOLR1JrP,"You","The Love Experience","Raheem DeVaughn",2005-08-01,302186,0,false,1211619287,2014-07-21T16:59:38Z,"neo soul,quiet storm","Jive",0.777,0.654,2,-7.333,1,0.0336,0.429,0,0.105,0.515,124.009,4
spotify:track:6gsmFgUiSTuinJlScwFODv,"I Love You","Faithfully","Faith Evans",2001,267160,58,false,1211619287,2014-07-21T17:03:45Z,"r&b","Bad Boy Records",0.489,0.757,11,-4.062,0,0.0926,0.00981,0,0.234,0.567,168.004,4
spotify:track:4mKbb9uvBMlVvOUv8fdBt8,"Someone to Love (feat. Babyface)","Jon B - Greatest Hits...Are U Still Down?","Jon B.;Babyface",2008-07-29,272360,46,false,1211619287,2014-07-21T17:04:04Z,"r&b,quiet storm,new jack swing,contemporary r&b","Epic/Edmonds Records Group",0.665,0.452,6,-8.486,0,0.0257,0.14,0.00000803,0.125,0.304,136.12,4
