Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1TwVcKR6JojvPwBGbWZT36,"Dance Tonight","Lucy Pearl","Lucy Pearl",2000-05-23,221280,65,false,1223150514,2019-12-30T04:45:12Z,"neo soul","UNIDISC MUSIC INC.",0.787,0.425,10,-5.692,0,0.0641,0.00637,0.00169,0.196,0.711,99.225,4
spotify:track:2lp8xjq0WTm3HZKHuDEweg,"Tell Me","Groove Theory","Groove Theory",1995-07-25,236066,69,false,1223150514,2019-12-30T04:45:21Z,"neo soul,new jack swing","Epic",0.8,0.362,6,-10.849,0,0.0634,0.035,0.00000399,0.0667,0.888,93.059,4
spotify:track:6Cl90cl4efMaG05Xm4LjDN,"Music","A Change Is Gonna Come (U.S. Release)","Leela James",2005,245426,48,false,1223150514,2019-12-30T04:45:31Z,"neo soul","Warner Records",0.778,0.636,1,-6.539,1,0.129,0.501,0.0000425,0.106,0.52,98.008,4
spotify:track:60Pjyla2BNnWzWxNXxGa4u,"Sumthin' Sumthin' - Remastered 2021","Maxwell's Urban Hang Suite","Maxwell",1996-04-02,257670,61,false,1223150514,2019-12-30T04:45:43Z,"neo soul,quiet storm,r&b","Columbia",0.796,0.537,10,-9.383,0,0.0751,0.445,0.0725,0.0862,0.857,97.886,4
spotify:track:4RMIDsxooqjhLIkxhlWzLa,"You","The Love Experience","Raheem DeVaughn",2005,302186,49,false,1223150514,2019-12-30T04:46:23Z,"neo soul,quiet storm","Jive",0.777,0.654,2,-7.333,1,0.0336,0.429,0,0.105,0.515,124.009,4
spotify:track:5ljnOdrl3v8oYC2Llknvna,"Cherish the Day","Love Deluxe","Sade",1992-12-16,332133,1,false,1223150514,2019-12-30T04:46:36Z,"","Epic",0.68,0.39,8,-13.239,1,0.0546,0.0121,0.0854,0.105,0.679,80.148,4
spotify:track:6aVJQcBuTixMKRbpZYdohf,"Pieces Of Me","Pieces Of Me","Ledisi",2011-01-01,202733,46,false,1223150514,2019-12-30T04:46:50Z,"neo soul","Verve Forecast",0.681,0.704,8,-4.417,1,0.0578,0.153,0,0.134,0.555,126.022,4
spotify:track:2PN3gbuBn5WBEwrEJH3xiu,"sobeautiful","onmyradio","Musiq Soulchild",2008-11-24,291133,62,false,1223150514,2019-12-30T04:47:09Z,"neo soul,r&b,quiet storm","Atlantic Records",0.689,0.562,7,-7.048,0,0.0637,0.0656,0,0.0885,0.21,133.987,4
spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Say Yes","Floetic","Floetry",2002-01-01,268373,66,false,1223150514,2019-12-30T04:47:29Z,"neo soul,quiet storm","Geffen",0.747,0.398,5,-12.932,0,0.0743,0.211,0.00000142,0.113,0.428,117.901,1
spotify:track:7x6ev0H9OAmvuDnyuItBZS,"Be Here","Instant Vintage","Raphael Saadiq;D'Angelo",2002-01-01,228973,49,false,1223150514,2019-12-30T04:47:48Z,"neo soul,soul,retro soul","UNI/MOTOWN",0.613,0.602,6,-5.733,0,0.327,0.228,0.00000111,0.0737,0.709,87.389,4
spotify:track:0447V6bjlw5ERYGu3BEBnB,"Buddy","Luvanmusiq","Musiq Soulchild",2007-03-13,223813,52,false,1223150514,2019-12-30T04:47:53Z,"neo soul,r&b,quiet storm","Atlantic Records",0.735,0.839,6,-4.705,0,0.271,0.0534,0,0.0942,0.834,89.942,4
spotify:track:4KJzJxpqE5aR4zj8LiH652,"The Sweetest Taboo","Promise","Sade",1985-10-10,277373,0,false,1223150514,2019-12-30T04:48:08Z,"","Epic",0.752,0.824,10,-9.455,0,0.0447,0.128,0.0103,0.306,0.961,91.563,4
spotify:track:58s4iqgXFzXhBndBkg2AaD,"Spend My Life With You","A Day in the Life","Eric Benét;Kevin ""K.D."" Davis",1999-02-25,276013,61,false,1223150514,2019-12-30T04:48:13Z,"neo soul,quiet storm,contemporary r&b","Warner Records",0.583,0.435,8,-8.784,1,0.0386,0.434,0.0000549,0.102,0.292,72.01,4
spotify:track:5tUXQvc0yMQD42799A1mec,"Guess Who Loves You More","The Love Experience","Raheem DeVaughn",2005,320026,45,false,1223150514,2019-12-30T04:48:21Z,"neo soul,quiet storm","Jive",0.764,0.507,5,-8.199,0,0.153,0.153,0,0.0879,0.809,77.256,4
spotify:track:12ErSEemVrKVmAh2YuZywT,"Settle For My Love","Aijuswanaseing","Musiq Soulchild;Aaries",2000-11-14,340200,19,false,1223150514,2019-12-30T04:48:54Z,"neo soul,r&b,quiet storm","Def Soul",0.613,0.568,5,-9.828,1,0.108,0.448,0.00168,0.0879,0.436,127.24,4
spotify:track:54Ev13Dca9qrYZDNLFUYpb,"Nothing In This World","Soul Sista","KeKe Wyatt;Avant",2001-01-01,251066,54,false,1223150514,2019-12-30T04:49:00Z,"quiet storm,r&b","Geffen*",0.7,0.63,6,-3.344,1,0.0444,0.195,0,0.034,0.399,131.95,4
spotify:track:4LvzLhylddOXjfdZZJZVPC,"Another Again","Once Again","John Legend",2006-10-24,241700,42,false,1223150514,2019-12-30T04:49:14Z,"soft pop,neo soul","Getting Out Our Dreams/Sony Urban Music/Columbia",0.526,0.837,6,-6.565,1,0.282,0.111,0.00000123,0.286,0.438,82.196,4
spotify:track:6sIMSl1n3KDPr03Fw8mujd,"Next Lifetime","Baduizm","Erykah Badu",1997-01-01,386626,66,false,1223150514,2019-12-30T04:49:33Z,"neo soul,r&b","Universal Records",0.641,0.413,8,-11.929,0,0.0564,0.129,0.00114,0.0949,0.338,130.021,4
