Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4RMIDsxooqjhLIkxhlWzLa,"You","The Love Experience","Raheem DeVaughn",2005,302186,49,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-06T07:20:28Z,"neo soul,quiet storm","Jive",0.777,0.654,2,-7.333,1,0.0336,0.429,0,0.105,0.515,124.009,4
spotify:track:1tjt1ZEVVKrih3he8zKWgE,"Stars","Surrender to Love","Kindred The Family Soul",2003-02-25,309666,49,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-11T07:49:30Z,"neo soul,quiet storm","Hidden Beach Records",0.517,0.531,6,-8.348,1,0.0733,0.0509,0.00000843,0.0842,0.519,77.076,4
spotify:track:1ptDSeKRUjMKabsZh46tRJ,"Far Away - Remastered","Family Treasures: Greatest Hits","Kindred The Family Soul",2015-11-13,254480,17,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-11T07:50:05Z,"neo soul,quiet storm","Hidden Beach Records",0.76,0.639,4,-8.055,0,0.0613,0.0982,0,0.101,0.786,82.969,4
spotify:track:6yTZofBlqETycKBEUdsGxp,"I Like It","Best Of","DeBarge",2011-01-01,279800,0,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-11T07:50:32Z,"quiet storm","Strategic Marketing",0.676,0.696,9,-5.081,1,0.0466,0.382,0.0000128,0.143,0.8,174.832,4
spotify:track:0SWB5dYzq4UKchnkr8kBE8,"All This Love","Best Of","DeBarge",2011-01-01,353573,0,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-11T07:50:39Z,"quiet storm","Strategic Marketing",0.635,0.667,5,-5.8,0,0.0249,0.163,0.00000267,0.103,0.437,93.65,4
spotify:track:56MbtP05s9Qt0NPG3S1QIT,"Where Would I Be (The Question)","In This Life Together","Kindred The Family Soul",2005-09-20,286546,42,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-11T07:50:56Z,"neo soul,quiet storm","Hidden Beach Records",0.423,0.468,6,-8.191,0,0.0711,0.436,0.0058,0.0535,0.585,158.808,4
spotify:track:2UXEwIOtNGUUgGdXnds8V7,"Closer","Even Closer","Goapele",2002-02-12,229693,65,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-12T04:02:56Z,"neo soul","Skyblaze Recordings",0.714,0.436,1,-6.471,1,0.0342,0.462,0.0117,0.107,0.372,93.025,4
spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Say Yes","Floetic","Floetry",2002-01-01,268373,66,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-12T04:03:01Z,"neo soul,quiet storm","Geffen",0.747,0.398,5,-12.932,0,0.0743,0.211,0.00000142,0.113,0.428,117.901,1
spotify:track:3HoyAX58MUIBFCNmhMliHy,"Love Calls","Kemistry","Kem",2003,313373,60,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-12T04:03:01Z,"neo soul,quiet storm","Motown",0.812,0.526,6,-9.347,0,0.0621,0.48,0.00203,0.124,0.516,143.981,3
spotify:track:2PN3gbuBn5WBEwrEJH3xiu,"sobeautiful","onmyradio","Musiq Soulchild",2008-11-24,291133,62,false,22vlhrtinjck4g2wqu26jnbhy,2017-09-12T04:03:18Z,"neo soul,r&b,quiet storm","Atlantic Records",0.689,0.562,7,-7.048,0,0.0637,0.0656,0,0.0885,0.21,133.987,4
