Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4y4ilhWm4BcoWs7o5VsI3R,"Still Ray","Instant Vintage","Raphael Saadiq",2002-01-01,183293,52,false,1261529767,2017-10-17T09:19:18Z,"neo soul,soul,retro soul","UNI/MOTOWN",0.827,0.452,10,-8.354,0,0.0355,0.0437,0.000184,0.0913,0.922,83.817,4
spotify:track:58yWJFglBzvZ7Zao70lGtJ,"Fall In Love (Your Funeral)","New Amerykah Part Two: Return Of The Ankh","Erykah Badu",2010-03-30,366693,51,false,1261529767,2017-10-17T09:19:32Z,"neo soul,r&b","Motown",0.815,0.441,8,-7.805,0,0.11,0.492,0.00000438,0.112,0.772,91.861,4
spotify:track:3uq6qe8ouF012GLOcLyWcH,"I Found My Smile Again (Radio Edit)","I Found My Smile Again","D'Angelo",2008-12-01,240453,59,false,1261529767,2017-10-17T09:20:16Z,"neo soul","GMUSIC",0.765,0.55,0,-7.942,1,0.08,0.356,0.0000946,0.102,0.688,94.959,4
spotify:track:2dCD8qq7yHZPZduA8FJazs,"Come Close","Electric Circus","Common;Mary J. Blige",2002-01-01,275066,51,true,1261529767,2017-10-17T09:21:27Z,"hip hop,jazz rap,neo soul,r&b","Geffen*",0.721,0.469,1,-9.563,1,0.193,0.104,0.000111,0.0724,0.694,86.811,4
spotify:track:4l34rbUYqKWufYEWriVnB5,"This Luv","Where I Wanna Be","Donell Jones",1999-05-29,249506,57,false,1261529767,2017-10-17T09:22:41Z,"r&b,quiet storm,neo soul","Arista/LaFace Records",0.754,0.496,11,-7.357,0,0.045,0.406,0.00000205,0.0899,0.701,89.97,4
spotify:track:0hUcwyaNHdR9961jFWrIoX,"Leavin'","Sons Of Soul","Tony! Toni! Toné!",1993-01-01,315826,27,false,1261529767,2017-10-17T09:23:42Z,"new jack swing,quiet storm","Island Mercury",0.598,0.812,2,-8.554,1,0.0676,0.314,0.00000142,0.497,0.702,186.047,4
spotify:track:5v1SuYGd6VFMGu8nVHzajO,"Back In The Day","Worldwide Underground","Erykah Badu",2003-09-01,286920,53,false,1261529767,2017-10-17T09:24:22Z,"neo soul,r&b","UNI/MOTOWN",0.744,0.548,5,-9.245,0,0.104,0.191,0.0232,0.186,0.524,91.845,4
spotify:track:48EjSdYh8wz2gBxxqzrsLe,"Cranes in the Sky","A Seat at the Table","Solange",2016-09-30,250970,67,false,1261529767,2017-10-17T09:26:03Z,"alternative r&b,neo soul","Saint Records/Columbia",0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
spotify:track:2G665l0cf1llZYa9Xbk6Hg,"Good Luv'n","Pineapple Now-Laters","BJ The Chicago Kid",2012-02-21,229059,0,false,1261529767,2017-10-17T09:27:50Z,"","M.A.F.E MUSIC LLC",0.682,0.456,9,-5.626,1,0.143,0.358,0.00000505,0.319,0.6,81.024,4
spotify:track:3gx6E5B42WHKf5agVWQAf2,"Permission","ELDORADO","Ro James",2017-03-29,278594,60,true,1261529767,2017-10-17T09:32:30Z,"","ByStorm Entertainment/RCA Records",0.663,0.481,6,-4.121,0,0.0545,0.195,0.000067,0.0836,0.306,75.523,4
