Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1CeizRCGEYPWooEeVfmyFL,"A Long Walk","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,280973,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:44Z,"neo soul,quiet storm","Hidden Beach Records",0.713,0.541,6,-9.295,0,0.248,0.0617,0.000137,0.112,0.28,75.714,4
spotify:track:0tNuJpBgtE65diL6Q8Q7fI,"On & On","Baduizm","Erykah Badu",1997-01-01,226133,73,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:41Z,"neo soul,r&b","Universal Records",0.761,0.403,11,-10.424,0,0.158,0.0392,0.0113,0.256,0.346,80.476,4
spotify:track:74HYrIbnpc2xKCTenv5qKM,"Window Seat","New Amerykah Part Two: Return Of The Ankh","Erykah Badu",2010-03-30,289720,65,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:47Z,"neo soul,r&b","Motown",0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,4
spotify:track:7pv80uUHfocFqfTytu1MVi,"Didn't Cha Know","Mama's Gun","Erykah Badu",2000-10-31,238733,75,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:49Z,"neo soul,r&b","Motown (Kedar)",0.753,0.472,3,-9.761,0,0.121,0.484,0.0127,0.284,0.816,135.276,4
spotify:track:7LJz6DZS1tIRB06bbYbAPi,"...& On","Mama's Gun","Erykah Badu",2000-10-31,214133,61,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:49:17Z,"neo soul,r&b","Motown (Kedar)",0.779,0.343,1,-12.13,1,0.071,0.411,0.000158,0.307,0.724,83.417,4
spotify:track:7BgUcOjSOlKJXASLgJ6bx1,"Bag Lady","Mama's Gun","Erykah Badu",2000-10-31,348893,61,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:51Z,"neo soul,r&b","Motown (Kedar)",0.724,0.416,5,-8.967,0,0.0847,0.363,0,0.0966,0.582,151.181,4
spotify:track:5h5BrNPFvc4IXfCgnZJ2lT,"Tyrone - Extended Version","Live","Erykah Badu",1997-11-18,345360,52,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:49:04Z,"neo soul,r&b","Kedar",0.738,0.369,1,-9.531,0,0.209,0.31,0.00706,0.366,0.342,132.093,4
spotify:track:2yOm4lN7aTygtXanJFNFWU,"Any Time, Any Place","Janet","Janet Jackson",1993-05-18,428200,66,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:48:59Z,"new jack swing","Virgin Records",0.571,0.232,10,-11.309,1,0.0699,0.604,0.000246,0.119,0.207,128.785,4
spotify:track:7ytES33eLYS9WaZLKqWfYM,"My Life","My Life","Mary J. Blige",1994-01-01,257426,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:49:14Z,"r&b","Uptown",0.521,0.642,5,-8.013,0,0.0559,0.116,0,0.0825,0.359,150.79,4
spotify:track:4MTHIKGWNTBoubzDMkXFfa,"I Can Love You","Share My World","Mary J. Blige;Lil' Kim",1997-01-01,286400,70,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:49:31Z,"r&b,east coast hip hop","Geffen*",0.635,0.614,7,-7.165,1,0.197,0.0179,0.000201,0.415,0.736,174.213,4
spotify:track:6SkGfPa77E4giShVbk9N6R,"Soon as I Get Home","Faith","Faith Evans",1995,324280,63,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:49:34Z,"r&b","Bad Boy Records",0.652,0.498,11,-6.2,1,0.0413,0.519,0,0.149,0.336,120.141,4
spotify:track:3IuJXTVipz0DGz70MaCfgW,"You Remind Me","What's The 411?","Mary J. Blige",1992-01-01,258092,52,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:50:08Z,"r&b","Uptown",0.655,0.768,11,-4.949,0,0.0593,0.259,0.00000416,0.0944,0.506,95.064,4
spotify:track:1HvmjWFZpe1lrEl1ehLsvr,"Share My World","Share My World","Mary J. Blige",1997-01-01,307106,64,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:50:10Z,"r&b","Geffen*",0.707,0.539,4,-6.742,0,0.0373,0.015,0,0.12,0.747,140.021,4
spotify:track:4nYoTcWQpSQp7BIBYSWVnE,"To the Ones","To the Ones","PJ",2026-06-12,214849,49,false,8zgltny8uo2uzvjcwd4cfbteb,2026-06-12T13:30:20Z,"","Paris 'PJ' Jones",0.431,0.421,11,-10.138,1,0.0289,0.787,0.000497,0.145,0.23,142.747,4
spotify:track:6qvtiA4wQQliK6K7oRdovk,"Green Eyes","Mama's Gun","Erykah Badu",2000-10-31,604973,58,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-02T17:50:34Z,"neo soul,r&b","Motown (Kedar)",0.373,0.288,5,-13.295,0,0.058,0.3,0.0267,0.0449,0.197,61.349,3
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,"Killing Me Softly With His Song","The Score (Expanded Edition)","Fugees;Ms. Lauryn Hill",1996-02-13,298666,83,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-03T11:55:35Z,"east coast hip hop,neo soul","Columbia",0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,4
spotify:track:0sKfhhj6hYyJIXnTiZV9vf,"The Sweetest Taboo","Promise","Sade",1985-11-04,277373,74,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-03T12:26:10Z,"","Sony Music UK",0.752,0.823,10,-9.455,0,0.0447,0.128,0.0098,0.303,0.962,91.563,4
spotify:track:5zkg5BktQT19fv1K82LwxY,"Slide","Slide","Birgundi",2026-05-22,189629,44,false,8zgltny8uo2uzvjcwd4cfbteb,2026-06-07T22:25:24Z,"indie r&b","Birgundi",0.501,0.536,7,-8.202,1,0.0683,0.631,0,0.114,0.387,161.854,4
spotify:track:2hMk3VNicbCoV8I81m7Z3q,"Age Ain't Nothing But a Number","Age Ain't Nothing But A Number","Aaliyah",1994-05-22,253960,66,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-04T00:56:20Z,"r&b,contemporary r&b","Jive",0.589,0.532,6,-8.572,0,0.0271,0.155,0.0903,0.323,0.434,84.012,4
spotify:track:6SHwhnL0QrnJoXwk3PYRpo,"Set The Tone","Set The Tone","Kimachee",2026-05-08,174547,31,false,8zgltny8uo2uzvjcwd4cfbteb,2026-05-25T00:15:50Z,"neo soul","Empire 47",0.652,0.519,3,-8.625,0,0.0494,0.0838,0,0.318,0.399,121.927,4
spotify:track:6sIMSl1n3KDPr03Fw8mujd,"Next Lifetime","Baduizm","Erykah Badu",1997-01-01,386626,66,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-12T12:40:11Z,"neo soul,r&b","Universal Records",0.641,0.413,8,-11.929,0,0.0564,0.129,0.00114,0.0949,0.338,130.021,4
spotify:track:4oiAlcisfimXQc1wyAtX9a,"Video","Acoustic Soul","India.Arie",2001-01-01,249960,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-12T12:49:24Z,"neo soul","Motown",0.652,0.604,9,-8.766,0,0.227,0.111,0.0000102,0.0409,0.675,169.993,4
spotify:track:4m99eGOrVysXp2PXfGBNSu,"BooSki","BooSki","Miah V",2026-06-24,169868,31,false,8zgltny8uo2uzvjcwd4cfbteb,2026-06-27T13:26:48Z,"","PlayBook Productions",0.817,0.556,4,-6.638,0,0.0437,0.496,0,0.12,0.382,126.985,4
spotify:track:1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,86,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-12T13:04:14Z,"","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
spotify:track:2V7kALq5epNJ4T4o4hGtyo,"Undress","Undress","manuka honey mami",2026-05-01,138947,30,false,8zgltny8uo2uzvjcwd4cfbteb,2026-05-13T03:30:36Z,"neo soul","Chiron House",0.715,0.38,1,-12.114,0,0.035,0.0455,0.244,0.213,0.558,76.038,4
spotify:track:0Km0ae5ypDfPb7AcwE0tRU,"I Am Not My Hair","I Am Not My Hair","India.Arie",2005-01-01,230453,35,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-12T13:05:39Z,"neo soul","UNI/MOTOWN",0.845,0.5,10,-8.578,0,0.225,0.0336,0,0.365,0.538,98.261,4
spotify:track:2jAn0rAOyLW6hIEuIDNcoT,"Appletree","Baduizm","Erykah Badu",1997-01-01,265373,64,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-12T13:24:23Z,"neo soul,r&b","Universal Records",0.874,0.45,7,-10.525,1,0.0685,0.0798,0.0000884,0.0722,0.619,94.863,4
spotify:track:2GFExyKXf9383tSRSrEHEt,"Can't Take My Eyes Off of You - (I Love You Baby)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,221466,75,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-16T14:39:54Z,"neo soul","Ruffhouse/Columbia",0.747,0.662,1,-7.9,0,0.0796,0.0118,0,0.138,0.63,88.926,4
spotify:track:0ypQKm4r2OFSpKCoIQb25z,"MTBL","MTBL","Julia Rizik",2026-06-26,134311,28,true,8zgltny8uo2uzvjcwd4cfbteb,2026-06-30T19:32:20Z,"","OneLand Music Group",0.686,0.627,9,-9.05,0,0.0494,0.233,0,0.122,0.333,109.064,4
spotify:track:65krtHkaYLPr0mEbjL61UP,"Kiss of Life","The Best of Sade","Sade",1994-10-31,251333,84,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-19T17:56:31Z,"","Epic",0.723,0.47,6,-11.302,0,0.028,0.633,0.0373,0.0968,0.783,97.107,4
spotify:track:4PEGwWH4tL6H7dGl4uVSPg,"Like a Tattoo","Love Deluxe","Sade",1992-10-26,218000,83,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-19T17:56:39Z,"","Epic",0.557,0.16,5,-16.302,0,0.0315,0.922,0.000756,0.0996,0.133,136.01,4
spotify:track:2pg2TiYo9Rb8KeB5JjP7jS,"Sativa","Trip","Jhené Aiko;Swae Lee",2017-09-22,276960,81,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-26T00:34:34Z,"r&b","Def Jam Recordings",0.741,0.61,6,-7.34,0,0.0511,0.316,0,0.534,0.72,125.99,4
spotify:track:2ESN3ebvvqXcFAMxxn6QXF,"Sometimes","Baduizm","Erykah Badu",1997-01-01,250533,58,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-26T00:37:09Z,"neo soul,r&b","Universal Records",0.777,0.465,10,-12.963,0,0.151,0.162,0.313,0.084,0.555,90.078,4
spotify:track:6s4xndGKUhW0xXPYvFlwcL,"Other Side Of The Game","Baduizm","Erykah Badu",1997-01-01,393733,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-27T18:23:05Z,"neo soul,r&b","Universal Records",0.662,0.253,8,-10.665,0,0.085,0.433,0.53,0.116,0.187,83.056,4
spotify:track:1GnRl79GaE8ZmV8s8xcBOT,"Growing Pains","Growing Pains","AntBlunt",2026-05-03,172303,31,false,8zgltny8uo2uzvjcwd4cfbteb,2026-06-01T13:57:32Z,"","Blunt Artistry LLC",0.563,0.611,5,-9.841,1,0.332,0.153,0,0.363,0.411,169.951,4
spotify:track:3dBOCSgjMyFyAd1ELqbqbP,"La Sirène","La Sirène","Alheïdis",2026-04-26,210603,33,false,8zgltny8uo2uzvjcwd4cfbteb,2026-05-25T18:27:19Z,"","Alheïdis",0.413,0.411,8,-10.18,1,0.0339,0.678,0.00000752,0.373,0.285,129.864,4
spotify:track:5KapB9KJnRsZrprzIAXycW,"Uknowhowwedu","Kollage","Bahamadia",1996-04-02,214866,60,true,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-27T13:35:34Z,"jazz rap","Capitol Records",0.534,0.596,6,-10.289,1,0.388,0.641,0.0000216,0.276,0.908,185.733,4
spotify:track:1dbJlSMqk6T0sXfgprdGKx,"To Change a Man","To Change a Man","Gerron",2026-05-01,225789,30,false,8zgltny8uo2uzvjcwd4cfbteb,2026-05-21T21:03:39Z,"neo soul","Gerron",0.23,0.39,8,-8.911,1,0.0344,0.532,0.0000986,0.106,0.147,181.835,3
spotify:track:54FAYoGATQPUBbxCIclHkG,"I Just Died","All I Have","Amerie",2002-07-30,209560,58,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-10-27T13:37:04Z,"","Rise/Columbia",0.716,0.601,1,-10.808,0,0.0514,0.0831,0.0016,0.0401,0.643,109.852,4
spotify:track:1oaaSrDJimABpOdCEbw2DJ,"No Ordinary Love","Love Deluxe","Sade",1992-10-26,440466,79,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-07T00:54:14Z,"","Epic",0.629,0.364,11,-12.259,0,0.038,0.467,0.0204,0.0941,0.701,166.266,4
spotify:track:0wdaPticLmmqJdhgLDJ9zI,"Who Can I Run To","Off The Hook","Xscape",1995-07-01,216333,58,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-14T18:55:39Z,"r&b,quiet storm","So So Def/Columbia",0.71,0.545,4,-9.599,1,0.0588,0.483,0,0.0644,0.632,140.233,4
spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Say Yes","Floetic","Floetry",2002-01-01,268373,66,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-14T18:56:14Z,"neo soul,quiet storm","Geffen",0.747,0.398,5,-12.932,0,0.0743,0.211,0.00000142,0.113,0.428,117.901,1
spotify:track:4uTJfl5bIG4mPJvINyw18A,"You Don't Know My Name - Radio Edit","Totally Hits 2004","Alicia Keys",2004-05-04,267133,27,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-16T13:27:53Z,"r&b,neo soul","BMG & Warner Music Group",0.275,0.797,9,-6.012,1,0.254,0.559,0.00132,0.341,0.358,167.468,4
spotify:track:5dlfvkyZOuBCFP1KbzRHUx,"Orange Moon","Mama's Gun","Erykah Badu",2000-10-31,430000,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-16T23:39:21Z,"neo soul,r&b","Motown (Kedar)",0.414,0.149,5,-13.976,0,0.037,0.463,0.000273,0.152,0.124,97.638,3
spotify:track:3Gw7Uf3Jvk02EPBmua4SCp,"Chocolate High","TESTIMONY VOL. 2: LOVE & POLITICS","India.Arie;Musiq Soulchild",2009-02-10,283040,36,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-17T16:13:57Z,"neo soul,r&b,quiet storm","Universal Records",0.437,0.765,6,-4,1,0.156,0.501,0,0.316,0.616,165.94,4
spotify:track:3c6afiysmB7OnxQzzSqRfD,"So Into You","Tamia","Tamia",1998,261866,75,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-18T15:00:58Z,"r&b","Rhino/Warner Records",0.656,0.479,7,-7.055,0,0.0348,0.0665,0.00272,0.168,0.708,184.374,4
spotify:track:66q8IX1czlTF7BUYZ7CNts,"4 Leaf Clover","Baduizm","Erykah Badu",1997-01-01,274533,52,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-11-28T01:27:00Z,"neo soul,r&b","Universal Records",0.659,0.481,1,-9.239,0,0.0926,0.0812,0.00186,0.232,0.418,80.086,4
spotify:track:4JjAUEDlWDYAQZ3Lszl50b,"Don't Mind","Don't Mind","Sentury",2026-05-01,281129,53,false,8zgltny8uo2uzvjcwd4cfbteb,2026-05-01T04:41:05Z,"","Gateway Records",0.57,0.723,1,-5.109,1,0.0301,0.00796,0.0000067,0.34,0.461,114.026,4
spotify:track:5UGxudOejfGzdgfcPQJJ0J,"Bandy Bandy","Ancestry in Progress - Disc 1 / Zap Mama Disc - 2","Zap Mama;Erykah Badu",2004,409600,32,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-12-07T18:48:19Z,"afropop,neo soul,r&b","Luaka Bop",0.769,0.532,3,-7.342,0,0.0767,0.139,0.0537,0.0707,0.732,95.684,4
spotify:track:3NiL2JcFIncyshy4KOKA73,"Go Baby","Heaven","Cleo Sol",2023-09-15,236236,62,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-12-07T18:49:51Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,4
spotify:track:0pMs1gXODWwGQ1pK3qKVtz,"Closer","The Silhouettes Project","The Silhouettes Project;Elisa Imperilee;Whoeva?",2020-12-11,201933,52,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-12-12T01:11:33Z,"jazz rap,indie r&b,neo soul","Melting Pot Music",0.45,0.358,1,-12.836,1,0.0686,0.499,0.000269,0.254,0.213,85.269,4
spotify:track:49aUxrufliNDGj7MTm7pNU,"The Way","Who Is Jill Scott? - Words and Sounds, Vol. 1","Jill Scott",2000-07-18,255733,60,false,31ayo3lk75exdxcrtj3lfueqqdja,2023-12-12T15:45:08Z,"neo soul,quiet storm","Hidden Beach Records",0.717,0.402,1,-9.712,1,0.0316,0.0187,0.0113,0.0994,0.453,140.418,4
