Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5biW5vf2Hr3hUD2LOvdjQq,"Blend","[trauma ray]","trauma ray",2018-09-21,266000,48,false,12183473926,2022-11-23T01:52:38Z,"shoegaze,slowcore","Dreamy Life Records and Music, LLC",0.144,0.938,5,-7.71,0,0.0929,0.0000672,0.709,0.116,0.185,96.166,4
spotify:track:6PdfJKLj7CYaLnha7kABJ5,"Desperately Seeking Answers","Collider","all under heaven",2021-02-26,244456,49,false,12183473926,2022-11-23T01:52:48Z,"shoegaze","Sunday Drive",0.203,0.859,6,-7.867,1,0.0447,0.0155,0.908,0.13,0.459,73.763,4
spotify:track:38CbWMaYnma3byQ4CDomBu,"Into Me","Into You","Glare",2017-04-29,123253,55,false,12183473926,2022-11-23T01:52:58Z,"shoegaze","Sunday Drive",0.354,0.405,11,-8.111,1,0.0311,0.264,0.77,0.163,0.0387,116.934,4
spotify:track:1g7eSCDGllMCLnCTGtMSHM,"Stay","Leaving Time","Leaving Time",2021-01-11,130250,41,false,12183473926,2022-11-23T02:00:59Z,"shoegaze","Tiger Records",0.389,0.723,6,-7.705,0,0.0408,0.0000521,0.827,0.118,0.272,114.937,4
spotify:track:2gpkmR9oX3Jk6rDI6KUwHj,"Blank","Into You","Glare",2017-04-29,216089,63,false,12183473926,2022-11-23T01:53:47Z,"shoegaze","Sunday Drive",0.304,0.682,3,-6.699,0,0.0443,0.0071,0.16,0.152,0.0795,158.006,4
spotify:track:4X02SJMsjb6KZkH5QaAXGS,"Guilty of Everything","Guilty of Everything","Nothing",2014-03-03,263567,30,false,12183473926,2022-11-23T01:53:09Z,"shoegaze,dream pop,slowcore","Relapse Records",0.235,0.796,9,-6.326,1,0.0383,0.0000436,0.83,0.133,0.118,135.612,4
spotify:track:7HGOZac4VHXnWXWuvMniTv,"Farewell","Pink (Deluxe Edition)","Boris",2016-07-08,453440,0,false,12183473926,2022-11-23T01:53:04Z,"drone metal,noise rock,sludge metal,stoner metal,drone,doom metal,stoner rock,shoegaze,post-rock","Sargent House",0.208,0.498,8,-3.294,1,0.0533,0.000402,0.827,0.357,0.0382,124.635,4
spotify:track:6g0D3Ht1gqG54UdwMezSjK,"Peanut Butter","Moth Mother","Lazy Legs",2019-11-15,226285,15,false,12183473926,2022-11-23T01:53:14Z,"shoegaze,dream pop,slowcore","Wild Patterns",0.442,0.349,8,-10.427,0,0.0371,0.0512,0.92,0.178,0.0703,140.022,4
spotify:track:3vuG06ETVyqQlxW2wbBVjg,"Relay","[trauma ray]","trauma ray",2018-09-21,202747,54,false,12183473926,2022-11-23T01:52:43Z,"shoegaze,slowcore","Dreamy Life Records and Music, LLC",0.278,0.886,8,-7.281,1,0.0499,0.00000397,0.875,0.182,0.49,83.153,4
spotify:track:46FwqZts74DdH7mWvG1SpG,"Necrosis","Satisfaction","Narrow Head",2020-08-14,224013,46,false,12183473926,2022-11-23T01:53:22Z,"shoegaze,post-grunge","Narrow Head",0.245,0.96,1,-4.602,1,0.0982,0.00000156,0.921,0.38,0.289,143.93,4
spotify:track:557U33Nt9AXTrkgj401QkD,"But I'm Slow","Somewhere Nice, Someday","Infinity Girl",2017-09-08,241334,23,false,12183473926,2022-11-23T01:53:26Z,"shoegaze,dream pop,slowcore","Disposable America",0.342,0.601,7,-6.893,1,0.0407,0.00155,0.811,0.226,0.418,89.986,4
spotify:track:3mTRaKibFteY37p6gv8gXt,"H.D.C.","Elude","Grivo",2018-11-09,366820,37,false,12183473926,2022-11-23T01:53:31Z,"shoegaze,slowcore,dream pop","HOLODECK Records",0.378,0.675,2,-8.981,1,0.0327,0.00000899,0.826,0.0686,0.159,146.098,4
spotify:track:5ACETVGxsFWIzH6dzsAz56,"Blister","Visiondeath","Lazy Legs",2016-07-15,259200,16,false,12183473926,2022-11-23T01:53:35Z,"shoegaze,dream pop,slowcore","Wild Patterns",0.196,0.524,9,-7.536,1,0.0423,0.225,0.815,0.111,0.146,64.717,4
spotify:track:0apvAQzb8EBMLafgm1PZmZ,"Ooze","Splatter","Sleepwalk",2018-12-14,175938,0,false,12183473926,2022-11-23T01:53:41Z,"shoegaze","Emma's House Records",0.15,0.677,2,-9.416,1,0.0451,0.000803,0.742,0.556,0.367,93.868,4
spotify:track:1r55rKvt0UH8nyEaras6V6,"Glass Valley","View No Country","Kraus",2021-10-22,178121,0,false,12183473926,2022-11-23T01:54:06Z,"shoegaze,slowcore,dream pop,noise rock","Terrible Records",0.3,0.859,2,-6.99,1,0.0777,0.00000194,0.777,0.122,0.276,151.168,4
spotify:track:1JEAHbiR8MhJLE50CUvRaB,"Evil Eye","Phase One","Moonily",2020-12-18,309034,10,true,12183473926,2024-03-20T19:11:08Z,"shoegaze","Moonily",0.282,0.578,2,-7.988,1,0.0302,0.0283,0.819,0.0617,0.261,139.876,4
spotify:track:41QBT1Al5RQ9u9UIHOuXnj,"Kiss the Ladder","We're Not Here to Be Loved","Fleshwater",2022-11-04,77466,65,false,12183473926,2022-11-23T01:54:28Z,"shoegaze","Closed Casket Activities",0.122,0.988,4,-3.41,1,0.135,0.00000896,0.000324,0.403,0.25,174.248,4
spotify:track:3xDHKEJlnZN3TrfQcfAsG0,"Bored","Downward","Downward",2018-12-23,270383,0,true,12183473926,2022-11-23T01:54:37Z,"shoegaze","1067544 Records DK",0.479,0.906,8,-7.706,1,0.0722,0.00523,0.343,0.208,0.0834,123.996,4
spotify:track:1ZcDbE8gp4GnmcfVJWdjcs,"UGLY BUG","The Brass Tax","Downward",2022-02-25,234416,0,false,12183473926,2022-11-23T01:54:43Z,"shoegaze","New Morality Zine",0.385,0.953,10,-7.593,1,0.0549,0.00000145,0.0745,0.195,0.173,128.034,4
spotify:track:0i5zjtoRR0U2715BEgUsdS,"Ease","Whirr & Nothing (Split Version)","Whirr",2014-11-14,206533,0,false,12183473926,2022-11-23T01:54:58Z,"shoegaze,slowcore,dream pop","Run For Cover Records",0.28,0.94,4,-5.597,0,0.0535,0.000832,0.781,0.156,0.406,159.188,4
spotify:track:1bVG7eG1LiZc0NlqrysE9V,"A Thorn in Garland's Side","A Thorn in Garland's Side","No Joy",2016-05-27,186386,0,false,12183473926,2022-11-23T01:55:40Z,"shoegaze,dream pop,space rock","Topshelf Records",0.261,0.939,2,-7.597,1,0.126,0.221,0.952,0.141,0.199,137.373,4
spotify:track:1JXi6OWDS68SIsTF6TJ3Ob,"Catch a Fade","The Great Dismal","Nothing",2020-10-30,230437,38,false,12183473926,2022-11-23T01:55:58Z,"shoegaze,dream pop,slowcore","Relapse Records",0.532,0.868,6,-3.558,1,0.0306,0.000107,0.23,0.132,0.38,97.514,4
spotify:track:0iuZ2P8O28jnsdJvECL3Y9,"July the Fourth","Whirr & Nothing (Split Version)","Nothing",2014-11-14,220245,0,false,12183473926,2022-11-23T01:56:02Z,"shoegaze,dream pop,slowcore","Run For Cover Records",0.2,0.858,7,-5.118,1,0.0546,0.00000395,0.321,0.205,0.189,159.028,4
spotify:track:4syzzi19vlAQOFDtipYyRL,"Blue Line Baby","Dance on the Blacktop","Nothing",2018-08-24,270853,45,false,12183473926,2022-11-23T01:56:09Z,"shoegaze,dream pop,slowcore","Relapse Records",0.248,0.687,2,-6.233,1,0.0393,0.00224,0.85,0.0639,0.17,164.622,4
spotify:track:76x3Bke3huDIb6ATeJK6Pp,"Blue Mecca","The Great Dismal","Nothing",2020-10-30,317471,27,false,12183473926,2022-11-23T01:56:32Z,"shoegaze,dream pop,slowcore","Relapse Records",0.371,0.608,3,-5.441,1,0.0337,0.00527,0.823,0.109,0.0442,111.968,4
spotify:track:4FEr6dIdH6EqLKR0jB560J,"Rosemary","Koi No Yokan","Deftones",2012-11-09,413346,79,false,12183473926,2022-11-23T01:56:37Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Reprise",0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,4
spotify:track:6rnPNKHs2l1Sru5nMOtTTp,"Sissy Spacek","Sissy Spacek","bloody/bath",2020-06-24,207674,0,true,12183473926,2022-11-23T01:56:45Z,"lo-fi indie,post-punk,cold wave,darkwave","Poetic Horror Records",0.601,0.755,5,-5.704,1,0.0322,0.0405,0.831,0.108,0.406,114.977,4
spotify:track:0gtvktvlWNbT8BFgx196ov,"The Dead Are Dumb","Tired of Tomorrow (Deluxe Version)","Nothing",2016-05-13,270281,43,false,12183473926,2022-11-23T01:56:50Z,"shoegaze,dream pop,slowcore","Relapse Records",0.489,0.519,7,-5.828,1,0.0311,0.0484,0.539,0.111,0.14,129.886,4
spotify:track:5918U5xYBF6Dx6T36fwxlw,"Famine Asylum","The Great Dismal","Nothing",2020-10-30,250096,48,false,12183473926,2022-11-23T01:56:55Z,"shoegaze,dream pop,slowcore","Relapse Records",0.362,0.896,6,-4.556,1,0.0563,0.0000343,0.885,0.111,0.248,175.934,4
spotify:track:7mJSUy5aoaNiFUbqjt3YMw,"Back Shredder","AVVOLGERE","True Widow",2016-09-23,261675,27,false,12183473926,2022-11-23T01:57:03Z,"shoegaze,slowcore,cold wave,sludge metal,stoner rock,stoner metal,doom metal","Relapse Records",0.181,0.485,1,-11.103,0,0.032,0.478,0.903,0.112,0.144,182.321,4
spotify:track:6YT9rHl1u5LgWMkMQFNtZD,"Bumblebee","Splatter","Sleepwalk",2018-12-14,241485,0,false,12183473926,2022-11-23T01:58:09Z,"shoegaze","Emma's House Records",0.281,0.679,11,-8.876,0,0.0322,0.0000767,0.711,0.0959,0.552,91.234,4
spotify:track:7k5xnDnNnIlKNcNUd8Mhvu,"Junebouvier","Pipe Dreams","Whirr",2012-03-13,225053,0,false,12183473926,2022-11-23T01:58:21Z,"shoegaze,slowcore,dream pop","Tee Pee Records",0.142,0.914,6,-6.785,0,0.06,0.0000124,0.729,0.17,0.297,160.001,4
spotify:track:6mArv71P2vGlEc5dgenLe3,"Song for an Unborn Sun","Like Author, Like Daughter","Midwife",2017-06-12,232185,38,false,12183473926,2022-11-23T01:58:30Z,"slowcore,shoegaze","736069 Records DK2",0.349,0.457,3,-11.362,1,0.0301,0.922,0.924,0.0678,0.116,84.872,4
spotify:track:1S4tYh2taYY1svEHBhvFEi,"Sway","Sway","Whirr",2012-09-23,398649,0,false,12183473926,2022-11-23T01:59:13Z,"shoegaze,slowcore,dream pop","Graveface Records & Curiosities",0.388,0.35,11,-9.382,0,0.0302,0.0938,0.922,0.17,0.0596,101.538,4
spotify:track:7qHhvbujqpoH4W1LlvbMaJ,"Seedless Star","Time Well","Cloakroom",2017-08-18,457373,33,false,12183473926,2022-11-23T01:59:28Z,"shoegaze,slowcore,dream pop","Relapse Records",0.347,0.495,8,-9.182,1,0.0307,0.000239,0.733,0.0913,0.196,139.884,4
spotify:track:3GnKm1yfm8H2PibSssK8li,"The Zenith","Starflyer 59","Starflyer 59",1994-01-01,336706,42,false,12183473926,2022-11-23T02:00:02Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.297,0.741,0,-8.66,1,0.0369,0.023,0.936,0.083,0.235,102.101,4
spotify:track:5Nh1yEMx2Frx22P3KALHGy,"Lovers Breakdown","Lovers Breakdown","Seasurfer",2019-12-13,221546,0,false,12183473926,2022-11-23T02:00:20Z,"shoegaze,cold wave,darkwave,dream pop,post-punk","Reptile Music",0.472,0.783,7,-7.914,0,0.0321,0.0000131,0.849,0.0892,0.57,120.024,4
