Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lQE6LF3MU63Z6VyhPxaV3,"Stars","You'd Prefer An Astronaut","Hum",1995-04-11,309106,63,false,whiprust,2021-01-10T17:32:41Z,"shoegaze,space rock,post-hardcore","RCA Records Label",0.271,0.742,2,-12.669,1,0.0529,0.000285,0.26,0.0601,0.148,91.844,4
spotify:track:42Kv1RoTAm09FeytxiuZIB,"Knife Prty","White Pony","Deftones",2000,289200,69,false,whiprust,2021-01-10T17:34:10Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Rhino",0.295,0.883,0,-3.897,0,0.0446,0.00025,0.0234,0.137,0.118,74.483,3
spotify:track:2YX6Fy95kKjvWioIAT5GR2,"Sled","Starflyer 59","Starflyer 59",1994-03-18,207422,11,false,whiprust,2021-11-17T20:09:01Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.439,0.774,7,-6.936,1,0.0372,0.0000216,0.867,0.307,0.175,114.587,4
spotify:track:2FBtlldS3JDEe0bc9Ufqzt,"Innervisions","Cameo Blue Estate","Mascara",2020-07-17,449655,18,false,whiprust,2021-01-10T17:33:04Z,"shoegaze","MasCara",0.283,0.684,3,-6.862,0,0.0397,0.00105,0.341,0.149,0.125,149.996,4
spotify:track:6weoTQipbR8D7cO3sveAdw,"Moodswings","Between the Lines","My Vitriol",2017-01-01,250435,23,false,whiprust,2022-05-25T05:04:15Z,"shoegaze","Stuck Needle Music",0.212,0.964,3,-3.109,0,0.0903,0.00000502,0.0133,0.33,0.51,156.689,4
spotify:track:5sZC0RV0EqQ8sFtAO27EpU,"Faint Object Camera","Arbiter","Hopesfall",2018-07-13,325800,24,false,whiprust,2022-12-23T09:50:44Z,"post-hardcore,metalcore,screamo,melodic hardcore,mathcore","Equal Vision Records",0.418,0.857,8,-5.23,1,0.055,0.0000478,0.0000458,0.0828,0.138,137.97,4
spotify:track:4tw3Y1b1gEtedz8FY00Ave,"Gray Desire","Gray Desire","With Brevity;Olivia Kramer",2024-05-24,263500,13,false,whiprust,2024-05-24T09:12:25Z,"shoegaze,post-hardcore","Big Cookie Records",0.088,0.619,1,-9.02,1,0.0419,0.0000159,0.000864,0.199,0.111,77.02,4
spotify:track:5918U5xYBF6Dx6T36fwxlw,"Famine Asylum","The Great Dismal","Nothing",2020-10-30,250096,48,false,whiprust,2021-02-20T20:14:10Z,"shoegaze,dream pop,slowcore","Relapse Records",0.362,0.896,6,-4.556,1,0.0563,0.0000343,0.885,0.111,0.248,175.934,4
spotify:track:0dJh5K3DrA2pZ7j7PukFdo,"Ursa Major Space Station","Chrome","Catherine Wheel",1993-07-20,309466,29,false,whiprust,2021-01-10T17:54:48Z,"shoegaze,dream pop","EMI",0.286,0.713,2,-9.143,0,0.0454,0.0033,0.0000906,0.982,0.368,145.79,3
spotify:track:5xm4Jz2NNMXlIqb5SX4puy,"fences","things are different now","Lilac Queen",2021-04-02,197466,12,false,whiprust,2021-10-19T22:58:21Z,"shoegaze","No Sleep Records",0.215,0.708,7,-4.397,1,0.0422,0.000798,0.00128,0.413,0.0778,84.981,4
spotify:track:4OmlsAT8r4q9vPFBvfYgyZ,"Is It Really You?","I Let It in and It Took Everything","Loathe",2020-02-07,287627,71,false,whiprust,2021-10-07T01:39:57Z,"shoegaze","SHARPTONE",0.563,0.721,9,-7.578,1,0.0375,0.00213,0.4,0.14,0.11,110.027,3
spotify:track:3k8ptnrHJn8LzQnvh413c5,"Drain","Drain","Softcult",2022-11-02,202207,45,false,whiprust,2022-12-23T09:52:29Z,"shoegaze,dream pop,riot grrrl","Easy Life Records",0.287,0.704,2,-6.555,0,0.04,0.000738,0.12,0.38,0.409,171.968,4
spotify:track:33btcIyZxIWW6JL8YJsu3A,"Hover","The Lonely Position Of Neutral","TRUSTcompany",2002-07-22,218506,47,false,whiprust,2024-09-07T12:45:58Z,"nu metal,post-grunge,alternative metal","Geffen",0.471,0.873,1,-3.196,1,0.0435,0.0324,0,0.0694,0.219,100.165,4
spotify:track:4A0f5CrcOYRVwihIQkcHdP,"Bodies - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,252200,48,false,whiprust,2021-03-15T10:02:03Z,"alternative rock,rock","Virgin Records",0.401,0.918,8,-8.204,0,0.0694,0.00000501,0.881,0.365,0.378,108.305,4
spotify:track:6k7TQSB0vW7EuSJs9vEvNl,"Undone","Magnified","Failure",1994,267173,45,false,whiprust,2021-04-23T09:26:27Z,"space rock,grunge,post-grunge,shoegaze","[PIAS] Recordings Catalogue",0.36,0.926,11,-6.778,1,0.0398,0.000109,0.0241,0.188,0.675,173.54,4
spotify:track:0VrfoStsFuA6SiNZamppqL,"It's Over","Afrodisiac","The Veldt",1994-02-08,179560,30,false,whiprust,2021-11-20T22:17:27Z,"shoegaze,dream pop,slowcore","Mercury Records",0.551,0.704,4,-10.641,0,0.0566,0.00625,0.0917,0.089,0.0521,116.461,4
spotify:track:5xGZD4rfxy4ThEZAzWx9bJ,"Band Aid Covers the Bullet Hole","Sweet Heart Dealer","Scarling.",2004-01-01,206309,43,true,whiprust,2021-07-15T01:15:26Z,"riot grrrl,noise rock","Scarling",0.342,0.787,6,-5.133,1,0.0449,0.000371,0.489,0.129,0.218,124.194,4
spotify:track:1FUs6DRHGnFKbaM3lE5qsH,"Shea","Infliction","Scheer",1996-05-28,140866,20,false,whiprust,2021-02-14T05:45:07Z,"","4AD",0.39,0.974,10,-5.599,0,0.118,0.000174,0.0397,0.295,0.254,145.954,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,83,false,whiprust,2021-02-10T10:28:47Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:3eLNknc1h9v8AYiwtvTbmx,"The Gentle Art Of Choking","Finelines","My Vitriol",2001,209866,20,false,whiprust,2021-02-20T19:33:16Z,"shoegaze","Epic",0.368,0.991,6,-2.895,1,0.106,0.0165,0.0000966,0.391,0.199,162.09,4
spotify:track:0rFdjHoldrbHIBeUIjxi5a,"The Razor's Apple","We're Not Here to Be Loved","Fleshwater",2022-11-04,191236,59,false,whiprust,2023-05-25T09:52:48Z,"shoegaze","Closed Casket Activities",0.336,0.943,1,-3.46,0,0.0892,0.00000361,0.0149,0.317,0.394,73.604,4
spotify:track:4ciwo5ZCsyzCPjymj940Fw,"Waves","Inlet","Hum",2020-06-24,330719,43,false,whiprust,2021-01-10T17:34:46Z,"shoegaze,space rock,post-hardcore","Earth Analog Records",0.373,0.924,7,-5.398,0,0.046,0.00000213,0.336,0.496,0.389,133.446,4
spotify:track:2fQkZPvWNx7bEbatvmZ4qe,"The Realist","You Come Before You (U.S. Version)","Poison The Well",2003-06-24,229973,30,false,whiprust,2023-10-12T23:59:23Z,"metalcore,post-hardcore,mathcore,screamo,hardcore,melodic hardcore","Velvet Hammer/Atlantic",0.277,0.92,7,-4.694,1,0.0844,0.0000466,0.131,0.897,0.132,86.734,4
