Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7sMd82F16B9XLiTwkmnKjz,"come in alone","loveless","my bloody valentine",1991-11-04,238733,48,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:22:09Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.198,0.607,11,-8.444,1,0.0407,0.00277,0.518,0.212,0.479,150.405,4
spotify:track:0Osm0W2m2c92MABiwGVW8h,"Broken Head","Chrome","Catherine Wheel",1993-07-20,286320,33,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:22:45Z,"shoegaze,dream pop","EMI",0.373,0.913,5,-7.264,1,0.0673,0.0152,0.103,0.433,0.306,142.261,4
spotify:track:0t4JQeO8qLKzQFcXuTitgk,"Leave Them All Behind - 2001 Remaster","Going Blank Again (Expanded)","Ride",1992-03-09,497466,49,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:25:01Z,"shoegaze,dream pop,britpop,madchester,jangle pop,neo-psychedelic,slowcore","Rhino/Warner Records",0.282,0.846,4,-4.641,1,0.0728,0.0000829,0.482,0.521,0.174,184.617,4
spotify:track:1aPFvHoYxs3KqtVZMWsCJA,"Sand On Fire","Cowboys And Aliens","Kitchens Of Distinction",1994-01-01,282400,0,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:36:46Z,"shoegaze,dream pop,jangle pop","One Little Independent Records",0.178,0.884,9,-8.674,0,0.0749,0.00283,0.0448,0.554,0.233,155.451,4
spotify:track:0rb6HvdvWJRkyhxsfFf1ep,"Falling Down","Whirlpool (Expanded Edition)","Chapterhouse",1990,239253,32,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:48:32Z,"shoegaze,dream pop,madchester,slowcore","Sony Music UK",0.459,0.836,9,-7.637,1,0.0378,0.0000177,0.457,0.146,0.547,101.977,4
spotify:track:40ABtf917Ghhi2tkQDNOdn,"Kick The Tragedy","Delaware","Drop Nineteens",1992-01-01,535600,54,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:49:09Z,"shoegaze,dream pop,slowcore","Caroline Records",0.414,0.404,5,-14.677,1,0.0293,0.0000244,0.433,0.121,0.156,102.883,4
spotify:track:5x3KFRDMxYUgUlySZEUSOo,"Until You're Forever","Afrodisiac","The Veldt",1994-02-08,320200,27,false,bigb46ue1c92uxgrbpzo8lh6m,2021-05-26T15:01:20Z,"shoegaze,dream pop,slowcore","Mercury Records",0.335,0.794,2,-9.592,1,0.0359,0.0000568,0.0089,0.113,0.37,98.242,4
spotify:track:2rSdhBtV78A4lRKoPJ4isd,"Love on the Dole","Live a Little Love a Lot","Moose",1995-11-13,232893,20,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:53:20Z,"shoegaze,jangle pop,dream pop","[PIAS] Recordings Catalogue",0.308,0.828,11,-6.447,1,0.0403,0.00495,0.00255,0.0785,0.455,155.446,4
spotify:track:3CAuQjMgfYJrqSehDwP0nl,"Elizabeth Colour Wheel","In the Presence of Nothing","Lilys",2017-01-13,418866,0,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T14:54:46Z,"shoegaze,dream pop,slowcore,noise rock","Frontier",0.334,0.494,4,-10.229,1,0.0372,0.000293,0.962,0.0537,0.068,155.154,4
spotify:track:0pVgFjjojISSczzmj66FTA,"Jeremy Parker","Blonder Tongue Audio Baton","Swirlies",1993,253666,36,false,bigb46ue1c92uxgrbpzo8lh6m,2021-03-31T15:32:29Z,"shoegaze,dream pop,noise rock,slowcore","Taang! Records",0.42,0.619,6,-12.339,1,0.0308,0.0000121,0.449,0.268,0.686,86.024,4
