Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0q3DMuR7NZtn07vOE0OTK2,"Again","Again","bloomcells",2025-02-14,265945,27,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-03-03T02:28:18Z,"shoegaze","bloomcells",0.366,0.933,6,-6.674,0,0.081,0.0000109,0.606,0.122,0.24,157.096,4
spotify:track:5pDy2L8j0toHYY4M8YrsJV,"Alien","Alien","Beach House",2018-10-23,243386,40,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-03-03T02:33:52Z,"dream pop","Sub Pop Records",0.439,0.85,1,-6.827,0,0.0577,0.218,0.802,0.393,0.261,119.708,4
spotify:track:1Bh0UzthW8pKEnYg7v40Oa,"Heavenly","Cry","Cigarettes After Sex",2019-10-25,288595,0,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-03-02T23:46:15Z,"dream pop","PTKF",0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156,4
spotify:track:1GHjBjnMJQ420waXq6Ut6I,"Relax","Vibes","Vacations",2016-12-09,158573,0,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-03-02T23:46:20Z,"","No-Fi Records",0.471,0.881,11,-4.483,0,0.0461,0.0588,0.000378,0.26,0.547,169.881,4
spotify:track:6JQFjv5R0QbDxT51SPaqc4,"Missn Hurts","Missn Hurts","CURLY MOJO",2025-08-11,244907,37,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-10T18:02:50Z,"","Silent H Studios",0.642,0.471,9,-6.407,0,0.0302,0.331,0,0.176,0.129,146.107,4
spotify:track:4LKxZtGzZgYGey5PwYSO06,"A Debt To The Future","Another System Failure","Dead On Arrival",2026-05-29,150383,22,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-11T21:01:47Z,"","none",0.442,0.522,9,-9.946,1,0.0346,0.0000161,0.899,0.26,0.37,115.071,4
spotify:track:08RvNnUzMxaGKD6UmyXMLd,"Right Place Right Time","Right Place Right Time","Nick Stone",2026-05-29,292096,24,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-05-29T19:35:23Z,"","Stone N The Blowouts",0.457,0.918,7,-4.338,1,0.042,0.0298,0.000429,0.182,0.358,159.89,4
spotify:track:2c4hO4cGysXVOcOAnd7119,"The Day That Heaven Came","The Day That Heaven Came","Dead On Arrival",2026-06-23,192071,22,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T18:50:03Z,"","none",0.534,0.316,1,-11.747,1,0.0316,0.0972,0.635,0.102,0.0606,140.116,4
spotify:track:0VN6kBqpEvWK3NCN00pyz2,"Bleeding Heart","Everyone's Old and No One Goes to Parties Anymore","Saint Clare",2026-04-03,239186,14,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-04T15:41:31Z,"","Pretty Bad Records",0.493,0.677,11,-7.456,1,0.0356,0.242,0.0037,0.0986,0.478,142.153,4
spotify:track:6JQFjv5R0QbDxT51SPaqc4,"Missn Hurts","Missn Hurts","CURLY MOJO",2025-08-11,244907,37,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-25T00:05:03Z,"","Silent H Studios",0.642,0.471,9,-6.407,0,0.0302,0.331,0,0.176,0.129,146.107,4
spotify:track:2urhfYI6RDlb7VxMTDz0D7,"The Monster I Call Me","Another System Failure","Dead On Arrival",2026-05-29,170736,26,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-05-30T18:10:05Z,"","none",0.157,0.65,10,-9.747,0,0.0363,0.000078,0.795,0.0828,0.22,178.607,4
spotify:track:2TV5cRg55Jc71hePob8rEY,"Dream Dagger","Dream Dagger","Kite Person",2026-05-29,117500,18,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-05-29T20:35:51Z,"","Kite Person",0.577,0.623,4,-12.905,0,0.0939,0.0971,0.00389,0.364,0.272,126.922,4
spotify:track:2REvqVSjRKjY5uMQZrappb,"Way Off Base","Way Off Base","Fontanel",2026-02-10,256616,17,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-08T17:20:11Z,"","Fat Chants Records",0.317,0.837,2,-8.644,1,0.0487,0.000032,0.108,0.332,0.422,115.89,4
spotify:track:45C1xVsG2yuxACuz92R6OE,"Just a Witness","Cuz of You","Pip & the Lefties",2022-09-04,260759,12,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-07-03T01:36:12Z,"","Pip Abrigo Productions",0.527,0.527,2,-12.417,1,0.031,0.0392,0.68,0.235,0.374,125.984,4
spotify:track:2XP1l7i0ZXQ4LPtWWVubEy,"Firewall","Behind The Firewall","JH-X9",2026-04-29,322648,19,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-25T19:28:30Z,"cold wave,ebm,darkwave,post-punk","X9 Publishing",0.659,0.994,6,-3.873,0,0.0476,0.0675,0.203,0.0556,0.925,125.008,4
spotify:track:6spwkwFYuHBIibifGu0a12,"Burning Man","7 Blood","Blair Jollands;Iraina Mancini",2018-08-31,186120,11,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-07-02T04:53:52Z,"indie rock","Glowb",0.684,0.371,8,-11.142,1,0.0388,0.128,0.0475,0.288,0.0686,111.982,4
spotify:track:0a3yJHApckGmuRdhmUBatM,"Crazy Computer Fantasy","Behind The Firewall","JH-X9",2026-04-29,256528,9,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-25T19:27:03Z,"cold wave,ebm,darkwave,post-punk","X9 Publishing",0.617,0.891,3,-5.955,1,0.0979,0.419,0.369,0.0593,0.394,179.937,4
spotify:track:4n2u7c7rrEl8M9XdwtW4cI,"Love Is A Losing Game","Love Is A Losing Game","Cloud Factory",2025-05-30,312500,15,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-17T19:45:04Z,"shoegaze","Cloud Factory Records",0.404,0.693,4,-8.095,1,0.0303,0.00401,0.816,0.117,0.151,139.981,4
spotify:track:45rDhchhT4Nt0q9hNPh6Nl,"Teenage Daydream","Color Of Strange","Alex E.T.",2025-09-26,331720,16,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-16T17:44:48Z,"","Curation Records",0.292,0.471,1,-9.167,1,0.0278,0.0895,0.501,0.146,0.393,104.727,4
spotify:track:4y8KNUwmVMq7DoctE8dhg7,"The Gilded Cage","The Cellar Doors III","The Cellar Doors",2026-06-13,270093,11,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T17:53:16Z,"","Celador Records",0.544,0.772,9,-6.643,0,0.0474,0.0332,0.00000199,0.114,0.589,144.764,4
spotify:track:3w15aWN2Epx976ScdqKoTo,"I'm A Spirit","I'm A Spirit/Red Spiders","Animal Scream",2025-10-30,218639,21,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T16:20:51Z,"","American Hermitage",0.57,0.802,5,-6.998,0,0.0377,0.104,0.809,0.148,0.759,143.525,4
spotify:track:0XTIdpHW3z3xp6pMNBw4Vb,"Carousel","All The Best In All You Do","Mike Haggith",2023-07-13,186667,10,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T15:55:45Z,"","MorningStar Records",0.628,0.733,11,-6.801,1,0.0309,0.0882,0,0.231,0.623,127.001,4
spotify:track:5va6xdQILamleFagLOEqF7,"Queen Of Them All","The Cellar Doors","The Cellar Doors",2024-09-27,251494,16,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T17:51:02Z,"","Celador Records",0.436,0.832,2,-6.892,1,0.0455,0.0588,0.0000479,0.0899,0.53,148.277,4
spotify:track:6spzQwCxjc6kk7pVJYqHRf,"A Room Full of You","Don't Wait","John DeNicola",2025-08-29,155026,9,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-20T17:15:43Z,"soft pop","Omad Records",0.568,0.428,6,-9.957,0,0.0293,0.478,0.00363,0.29,0.422,114.752,4
spotify:track:7uFPwIzZHUJCbPpkbhk71U,"Round and Round","Round and Round","Plastic Funeral",2026-05-22,289853,17,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-18T22:05:47Z,"","Plastic Funeral",0.499,0.76,6,-8.339,1,0.039,0.0239,0.471,0.115,0.363,148.039,4
spotify:track:0ENbPQefXpTrDBqZcpYUnF,"Hearts and Flowers","Social Work","Steve Berman;The Ketones",2026-05-29,286261,21,true,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-17T16:45:53Z,"","Steve Berman and The Ketones",0.7,0.296,0,-11.853,1,0.0292,0.41,0.167,0.13,0.217,110.096,4
spotify:track:44lalFQuo3p1ckl1XE9UGj,"Always Leaving","Norm","Tarantula Bill",2026-06-12,190787,21,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-14T18:36:13Z,"","Mean World Records",0.657,0.669,0,-6.759,1,0.027,0.000933,0.404,0.518,0.483,113.032,4
spotify:track:7Ba33oVRzjaM8ISDfeoT1J,"Movie Scenes","Here's to Pretending","French Dogs",2026-05-29,130520,20,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-16T18:05:31Z,"","Ciao Ketchup Recordings",0.454,0.297,6,-10.347,1,0.026,0.0161,0.000258,0.131,0.304,88.116,4
spotify:track:5LQbsCvhnpoLxPPiiGLEmc,"Burning Hearts","Burning Hearts","Head Full of Stars",2026-05-04,248930,18,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-08T06:56:43Z,"","Head Full of Stars",0.327,0.567,0,-6.82,1,0.03,0.0523,0.0000415,0.122,0.2,123.846,4
spotify:track:6cGJi06XbUtX33uzoKprT3,"Love Don't Change Enough","Here's to Pretending","French Dogs",2026-05-29,204200,24,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-16T18:07:28Z,"","Ciao Ketchup Recordings",0.455,0.548,10,-6.669,1,0.034,0.000245,0.00000463,0.0955,0.427,105.896,4
spotify:track:36jkZZ3tYo2BzCWKVU33V7,"Superhuman","Superhuman","Fontanel",2026-02-10,180244,14,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-08T17:20:31Z,"","Fat Chants Records",0.461,0.675,2,-8.999,1,0.0299,0.00005,0.445,0.177,0.514,83.934,4
spotify:track:5XVQZp1yo7qcowKIoVraxH,"Wisdom of Vincent van Gogh (Tara Turner)","Tara Turner Sings The Wisdom of the Geniuses","GM Jon",2025-11-16,241919,13,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-11T23:41:20Z,"indie folk","9939367 Records DK",0.509,0.277,4,-14.379,0,0.0365,0.729,0.000212,0.111,0.223,90.592,4
spotify:track:6RSXkReSryEJZz9cVLLJIi,"SOMETHING GOOD","SOMETHING GOOD","Matty J. Ruys",2026-05-15,217390,9,true,31kmyo55kfk7gp53v46sfr2wfmee,2026-07-02T04:51:52Z,"new jack swing,nz reggae","MATTYJRUYS",0.598,0.572,4,-9.591,0,0.0777,0.0271,0.000564,0.309,0.523,79.772,4
spotify:track:6QWEB7Hpe39mtSXBVtLMRI,"The Bottle","is it time to go?","Cloud Factory",2026-04-24,305500,12,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-17T19:45:29Z,"shoegaze","Cloud Factory Records",0.484,0.392,3,-9.766,1,0.0298,0.0222,0,0.0979,0.0986,120.042,4
spotify:track:59LWg6Cz93FQoLy0DfM4Cz,"Ignorance","Okie Dokie","Gnome Chimpsky",2025-10-03,296094,7,false,31kmyo55kfk7gp53v46sfr2wfmee,2026-06-23T15:50:11Z,"","Rockwell Studios",0.448,0.591,1,-9.489,0,0.0363,0.0481,0.000109,0.149,0.582,131.617,4
