Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:23f6ifySV9HWJK5cVKmFBx,"Alma","Birding","deary",2026-04-03,220096,40,false,,2026-05-01T15:38:17Z,"shoegaze,dream pop","Bella Union",0.442,0.813,5,-8.752,1,0.0315,0.0000143,0.817,0.146,0.488,128.023,4
spotify:track:4P1mMgITKDwL54lRxebGul,"toothless coal","toothless coal","Nothing",2026-01-13,227733,37,false,,2026-05-01T15:38:17Z,"shoegaze,dream pop,slowcore","Run For Cover Records",0.473,0.949,6,-4.059,0,0.0545,0.0000153,0.813,0.303,0.286,106.05,4
spotify:track:0tTfzkTDrCO9iX5hiBHjl7,"Blue Fairy","Blue Fairy","Clarion",2026-02-19,159527,59,false,,2026-05-01T15:38:17Z,"shoegaze","broke",0.399,0.922,7,-4.028,0,0.0497,0.00000728,0.423,0.133,0.359,74.957,4
spotify:track:09kKoIXQgBJMY3nGQN4IMB,"mettle","mettle","she's green",2026-02-27,176853,52,false,,2026-05-01T15:38:17Z,"shoegaze,dream pop","Photo Finish Records",0.212,0.848,0,-5.482,1,0.0509,0.0024,0.528,0.0907,0.237,188.04,4
spotify:track:3cJDWr9VZFAcF9YAfVTyev,"Spider Song","Second Attempt","flyingfish",2026-02-13,248406,35,false,,2026-05-01T15:38:17Z,"shoegaze","flyingfish",0.158,0.645,8,-9.042,1,0.0485,0.0168,0.406,0.0643,0.0747,70.559,4
spotify:track:4rWWNbsiorGPfSb7B4c8sy,"I remember how your hands felt on mine","I remember how your hands felt on mine","Wisp",2024-10-31,195968,59,false,,2026-05-01T15:38:17Z,"shoegaze","Music Soup/Interscope Records",0.379,0.704,4,-7.385,1,0.0388,0.00354,0.898,0.108,0.075,120.154,4
spotify:track:5bpNUso3XpgZ0jsFMBoYMV,"Bardo","Chameleon","trauma ray",2024-10-25,204283,48,false,,2026-05-01T15:38:17Z,"shoegaze,slowcore","Dais Records",0.362,0.935,1,-4.195,1,0.0537,0.00000714,0.787,0.13,0.19,87.629,4
spotify:track:6siemd7q5UtGQHMoFDz9l0,"Mourning Haze","Mourning Haze","Glare",2024-08-15,207008,36,false,,2026-05-01T15:38:17Z,"shoegaze","Deathwish Inc.",0.413,0.862,1,-5.248,1,0.044,0.00000997,0.694,0.109,0.337,92.541,4
spotify:track:4AF4mDLQdUt2VfyISDEvxh,"Gold River","Sky Hundred","Parannoul",2024-08-07,311800,33,false,,2026-05-01T15:38:17Z,"shoegaze,dream pop,noise rock,slowcore,math rock","Parannoul",0.215,0.808,5,-0.622,1,0.0641,0.000162,0.0000922,0.0608,0.296,104.902,3
spotify:track:4RvYafsdYCh7WEVZU2dJVt,"unwind","unwind","Glixen",2026-02-20,273493,37,false,,2026-05-01T15:38:17Z,"shoegaze,dream pop,slowcore","Glixen",0.466,0.773,1,-7.345,0,0.036,0.000117,0.876,0.0442,0.515,105.801,4
spotify:track:4hvlujjhxIOuCFLYZWZMDb,"Collect Sadness","Raw Blue","Whirr",2025-01-21,320993,45,false,,2026-05-01T15:38:17Z,"shoegaze,slowcore,dream pop","Free Whirl",0.17,0.556,9,-7.265,0,0.0421,0.000477,0.3,0.397,0.306,146.372,4
spotify:track:3tvewqNpipjcxlaNMPKXtF,"Hannibal","Carnival","trauma ray",2026-02-20,308576,42,false,,2026-05-01T15:38:17Z,"shoegaze,slowcore","DAIS Records",0.287,0.757,1,-3.934,0,0.0516,0.0000433,0.0259,0.0675,0.0999,132.221,4
spotify:track:1NDSnweXXbTcICI7wuzAEH,"Stoner Olympics","Stoner Olympics","Eyedress",2026-04-20,179992,40,true,,2026-05-01T15:38:17Z,"","Psychedelic Industries",0.176,0.669,8,-5.158,1,0.0558,0.000114,0.878,0.0817,0.143,137.111,4
spotify:track:2bAK4hQgcz2CsQDqV9uEQE,"the chase","the chase","They Are Gutting a Body of Water",2025-08-19,205467,26,true,,2026-05-01T15:38:17Z,"shoegaze,slowcore,noise rock","ATO",0.329,0.854,2,-3.078,1,0.0476,0.0027,0.535,0.156,0.192,81.029,4
spotify:track:6hawTk0rC1XZ3Q85VPxNdz,"Secrets","Secrets","chokecherry",2025-08-22,281333,27,false,,2026-05-01T15:38:17Z,"","Fearless Records",0.408,0.805,0,-6.674,1,0.0388,0.0214,0.355,0.0915,0.31,143.086,4
spotify:track:0lHgxQPHU0btdoVe2FMjq0,"Straight Shot","Straight Shot","Girlfriend, Wife",2026-05-01,223090,36,false,,2026-05-01T15:38:17Z,"","Girlfriend, Wife",0.455,0.803,7,-1.638,1,0.0356,0.000624,0.0807,0.192,0.119,109.902,4
