Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ey0KwCzoUdjvPzbLX8qSa,"In On It","Jar","Superheaven",2013-04-05,203253,64,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-08-21T20:05:44Z,"shoegaze,post-grunge","Run For Cover Records",0.499,0.88,4,-5.371,0,0.0478,0.000261,0.00000615,0.0909,0.193,115.985,4
spotify:track:3tYxhPqkioZEV5el3DJxLQ,"Youngest Daughter","Jar","Superheaven",2013-04-05,249514,79,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-08-22T04:22:28Z,"shoegaze,post-grunge","Run For Cover Records",0.492,0.762,8,-6.813,1,0.0388,0.000551,0.125,0.366,0.413,129.682,4
spotify:track:17bZdfeH03aHs0RzHLAviF,"Sheltered","Jar","Superheaven",2013-04-05,161322,47,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-08-18T22:43:51Z,"shoegaze,post-grunge","Run For Cover Records",0.454,0.937,10,-5.61,0,0.0518,0.00000823,0.0000744,0.24,0.334,136.983,4
spotify:track:2VjZBk2P42eZJjzt39PwEL,"Cruel Times","Superheaven","Superheaven",2025-04-18,178231,42,false,31xsxa7znpvdpe5hoflcao2r6daq,2025-04-30T07:00:16Z,"shoegaze,post-grunge","Blue Grape Music Inc.",0.386,0.738,4,-4.247,1,0.0371,0.00000889,0.781,0.562,0.31,77.996,4
spotify:track:4W2goqv7qfiH8I9FoyLwi5,"Humans For Toys","Superheaven","Superheaven",2025-04-18,150569,39,false,31xsxa7znpvdpe5hoflcao2r6daq,2025-04-30T07:00:16Z,"shoegaze,post-grunge","Blue Grape Music Inc.",0.441,0.904,3,-3.873,0,0.0635,0.0000268,0.0000035,0.281,0.315,124.89,4
spotify:track:3XxQGzWtSiawfLLsDqEH25,"Numb To What Is Real","Superheaven","Superheaven",2025-04-18,169800,46,false,31xsxa7znpvdpe5hoflcao2r6daq,2025-04-30T07:00:16Z,"shoegaze,post-grunge","Blue Grape Music Inc.",0.348,0.929,1,-3.603,1,0.0608,0.00000861,0.0517,0.0861,0.367,183.135,4
spotify:track:5KSib1Kaf6HnIae9R9H3mI,"Western Haikus","The Last Thing You Forget","Title Fight",2009-07-21,121133,54,false,31xsxa7znpvdpe5hoflcao2r6daq,2024-06-19T19:00:35Z,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo","Run For Cover Records",0.351,0.925,7,-6.64,1,0.0415,0.00000267,0.739,0.227,0.411,153.093,4
spotify:track:0aObr4AWO6OwqC3qsrv1ot,"I'm Swimming","The Things We Think We're Missing","Balance And Composure",2013-09-10,261240,0,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-10-11T05:27:51Z,"pop punk,post-hardcore,melodic hardcore,midwest emo,shoegaze,emo","No Sleep Records",0.359,0.97,0,-4.779,0,0.0511,0.000012,0.0588,0.152,0.439,169.475,4
spotify:track:0uzZwLLqvP8VyyCVjlF50P,"Reflection","The Things We Think We're Missing","Balance And Composure",2013-09-10,248320,0,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-10-11T05:24:05Z,"pop punk,post-hardcore,melodic hardcore,midwest emo,shoegaze,emo","No Sleep Records",0.306,0.883,2,-4.735,1,0.0585,0.00003,0.000749,0.374,0.146,128.94,3
spotify:track:4EvzBvvreh74hcVAsUvfjD,"Tiny Raindrop","The Things We Think We're Missing","Balance And Composure",2013-09-10,213746,0,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-10-11T05:31:01Z,"pop punk,post-hardcore,melodic hardcore,midwest emo,shoegaze,emo","No Sleep Records",0.512,0.951,4,-4.245,0,0.0661,0.0000277,0.0000156,0.252,0.145,110.172,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,83,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-08-24T20:02:45Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:2pIIPCO5qEH7bzKYH5b8ef,"Say Goodnight","Closing In","Ritual",2023-11-28,310500,16,false,31xsxa7znpvdpe5hoflcao2r6daq,2024-03-20T22:48:06Z,"shoegaze","Sunday Drive",0.443,0.889,1,-6.225,1,0.0454,0.00000564,0.37,0.346,0.265,117.053,4
spotify:track:3pnw86Nzm1nLdX5w9ZeObP,"Leach","Ours Is Chrome","Superheaven",2015-05-04,229515,36,false,31xsxa7znpvdpe5hoflcao2r6daq,2023-08-18T22:48:38Z,"shoegaze,post-grunge","SideOneDummy Records",0.53,0.947,6,-5.811,1,0.0481,0.0000755,0.00362,0.575,0.454,123.014,4
