Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4DWmh92WmRLhZE9i5Mdrgz,"Younger Than You","Feels Like You","Whirr",2019-10-29,269654,0,false,anthonymoran1000,2023-05-29T07:24:08Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.39,0.426,3,-13.969,1,0.0325,0.131,0.86,0.107,0.0713,176.873,4
spotify:track:0iEzdzuVxxEQGPQ9EqACeD,"Rose Cold","Feels Like You","Whirr",2019-10-29,325023,0,false,anthonymoran1000,2023-05-29T07:27:49Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.234,0.391,1,-11.853,1,0.0355,0.0104,0.846,0.286,0.0394,123.812,4
spotify:track:555b3SPYwrj1TtJ7tQPQRT,"Mellow","Feels Like You","Whirr",2019-10-29,313614,0,false,anthonymoran1000,2023-05-29T07:33:21Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.235,0.502,3,-10.924,1,0.0413,0.00015,0.749,0.163,0.0386,143.68,4
spotify:track:2qWcQEuAOhXXlbo7wAelms,"How Time Stretches","Feels Like You","Whirr",2019-10-29,216468,0,false,anthonymoran1000,2023-05-29T07:36:07Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.387,0.727,8,-9.128,1,0.0382,0.0000865,0.829,0.256,0.203,108.042,4
spotify:track:4QVMqGWfMSypoUB8A92jwd,"Rental","Feels Like You","Whirr",2019-10-29,243103,0,false,anthonymoran1000,2023-05-29T07:37:39Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.258,0.471,8,-12.476,1,0.0351,0.00325,0.872,0.118,0.0392,141.246,4
spotify:track:3a24DYYBzEEsDaFO5TEZi6,"Vividly","Feels Like You","Whirr",2019-10-29,238101,0,false,anthonymoran1000,2023-05-29T07:37:51Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.431,0.309,9,-15.246,1,0.0283,0.167,0.896,0.151,0.145,140.683,4
spotify:track:7DqUqsxtYuYkZhNpkwxsyT,"Under the Same Name","Feels Like You","Whirr",2019-10-29,279451,0,false,anthonymoran1000,2023-05-29T07:38:08Z,"shoegaze,slowcore,dream pop","Free Whirl Records",0.487,0.44,11,-11.748,1,0.03,0.0113,0.74,0.0958,0.0399,100.031,4
spotify:track:0dcu28YT8cXZH7JTIraszp,"Starting Over","LSD and the Search for God","LSD and the Search for God",2007-01-16,304240,69,false,anthonymoran1000,2023-05-29T07:40:57Z,"shoegaze,dream pop,slowcore","Mind Expansion",0.225,0.511,4,-9.316,1,0.0339,0.506,0.918,0.108,0.117,114.255,4
spotify:track:7EzKrIF3T2XqUZfhnHw5CE,"Endlessly","Guilty of Everything","Nothing",2014-03-03,253664,37,false,anthonymoran1000,2023-05-29T07:48:05Z,"shoegaze,dream pop,slowcore","Relapse Records",0.31,0.838,2,-5.48,1,0.055,0.00000981,0.92,0.127,0.117,145.238,3
spotify:track:0wrUMltYXH5OX82ylmEbD7,"Get Well","Guilty of Everything","Nothing",2014-03-03,272864,32,false,anthonymoran1000,2023-05-29T07:45:52Z,"shoegaze,dream pop,slowcore","Relapse Records",0.176,0.962,10,-5.822,1,0.0628,0.00000196,0.873,0.153,0.155,143.711,4
spotify:track:5mR1Clx2pnR6RNSS0U3wq9,"Hymn to the Pillory","Guilty of Everything","Nothing",2014-03-03,281004,36,false,anthonymoran1000,2023-05-29T07:46:59Z,"shoegaze,dream pop,slowcore","Relapse Records",0.499,0.584,9,-6.803,1,0.0347,0.00307,0.737,0.0961,0.136,120.041,4
spotify:track:2jUvEnpLXGQh94Qoymx4P8,"Dig","Guilty of Everything","Nothing",2014-03-03,242759,35,false,anthonymoran1000,2023-05-29T07:47:03Z,"shoegaze,dream pop,slowcore","Relapse Records",0.304,0.899,2,-2.705,1,0.0588,0.0000101,0.711,0.0294,0.255,144.113,4
spotify:track:1X3RzfQtAcsj3K6QE9l9IO,"Somersault","Guilty of Everything","Nothing",2014-03-03,270565,35,false,anthonymoran1000,2023-05-29T07:48:21Z,"shoegaze,dream pop,slowcore","Relapse Records",0.254,0.771,4,-6.127,0,0.0423,0.000722,0.853,0.328,0.0392,137.947,4
spotify:track:0oxYB9GoOIDrdzniNdKC44,"When the Sun Hits","Souvlaki","Slowdive",1993,285906,79,false,anthonymoran1000,2023-05-29T07:49:27Z,"shoegaze,dream pop,slowcore","Creation Records",0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,4
spotify:track:3vuG06ETVyqQlxW2wbBVjg,"Relay","[trauma ray]","trauma ray",2018-09-21,202747,54,false,anthonymoran1000,2023-08-19T02:07:15Z,"shoegaze,slowcore","Dreamy Life Records and Music, LLC",0.278,0.886,8,-7.281,1,0.0499,0.00000397,0.875,0.182,0.49,83.153,4
spotify:track:6nWhpAwAu32nFHIwzxMX8t,"Hazel Would - Silver Album Version","Starflyer 59","Starflyer 59",1994-01-01,173693,37,false,anthonymoran1000,2023-05-29T07:51:26Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.5,0.755,5,-6.119,1,0.0332,0.0000203,0.346,0.115,0.362,127.506,4
spotify:track:4I6U9gQBQUvZvMLPGldI6e,"Blue Collar Love - Silver Album Version","Starflyer 59","Starflyer 59",1994-01-01,244026,41,false,anthonymoran1000,2023-05-29T07:51:30Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.422,0.707,10,-7.821,1,0.0357,0.00459,0.888,0.313,0.266,80.705,4
spotify:track:2uFPQxlA3ccmDzXt24pNZc,"Monterey","Starflyer 59","Starflyer 59",1994-01-01,179906,49,false,anthonymoran1000,2023-05-29T07:51:35Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.369,0.667,10,-6.595,1,0.0272,0.00164,0.945,0.353,0.312,74.675,4
spotify:track:1eAbTnS2aTcmEQjJe23Me3,"Sled","Starflyer 59","Starflyer 59",1994-01-01,207400,36,false,anthonymoran1000,2023-05-29T07:51:40Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.441,0.77,7,-6.914,1,0.0373,0.0000166,0.849,0.306,0.132,114.578,4
spotify:track:3GnKm1yfm8H2PibSssK8li,"The Zenith","Starflyer 59","Starflyer 59",1994-01-01,336706,42,false,anthonymoran1000,2023-05-29T07:51:44Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.297,0.741,0,-8.66,1,0.0369,0.023,0.936,0.083,0.235,102.101,4
spotify:track:3ivkORJmP12B3fxXkDszyY,"Second Space Song","Starflyer 59","Starflyer 59",1994-01-01,200266,40,false,anthonymoran1000,2023-05-29T07:51:49Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.357,0.704,7,-8.538,1,0.033,0.000774,0.818,0.13,0.0758,99.477,4
spotify:track:4kNhPwdVBOIaLJFdRbLzpk,"She Only Knows","Starflyer 59","Starflyer 59",1994-01-01,127756,50,false,anthonymoran1000,2023-05-29T07:51:54Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.322,0.399,5,-10.169,1,0.0278,0.647,0.856,0.375,0.19,133.336,4
spotify:track:2KP6ly5lF9FE5PeaDPnQFK,"The Dungeon","Starflyer 59","Starflyer 59",1994-01-01,229440,32,false,anthonymoran1000,2023-05-29T07:51:59Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.374,0.822,2,-7.266,0,0.0538,0.000095,0.914,0.661,0.194,129.771,4
spotify:track:3vuxeQgFafAYvOghmxqLLK,"Happy Days Are Here Again - Silver Album Version","Starflyer 59","Starflyer 59",1994-01-01,76600,42,false,anthonymoran1000,2023-05-29T07:52:08Z,"shoegaze,dream pop,slowcore,christian alternative rock","Tooth & Nail (TNN)",0.212,0.554,0,-8.352,1,0.0473,0.00325,0.859,0.324,0.625,137.787,4
