Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,87,false,king_milo101,2020-10-25T21:36:14Z,"indie","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,91,true,king_milo101,2020-10-25T21:39:38Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:1eyzqe2QqGZUmfcPZtrIyt,"Midnight City","Hurry Up, We're Dreaming","M83",2011,241440,76,false,king_milo101,2020-10-25T21:41:53Z,"","Mute",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
spotify:track:3FM33HqRlV7J1QJoPOnd2u,"1901","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,193106,2,false,king_milo101,2020-10-25T21:36:43Z,"indie","Glassnote Entertainment Group LLC",0.591,0.831,0,-5.647,1,0.0415,0.0605,0.0000467,0.19,0.705,144.084,4
spotify:track:4iG2gAwKXsOcijVaVXzRPW,"Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,82,true,king_milo101,2020-10-25T21:36:28Z,"indie","Red Ink/Columbia",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
spotify:track:3FtYbEfBqAlGO46NUDQSAt,"Electric Feel","Oracular Spectacular","MGMT",2007-12-14,229640,84,false,king_milo101,2020-10-25T21:36:19Z,"indie","Red Ink/Columbia",0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
spotify:track:2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299933,80,false,king_milo101,2020-10-25T21:36:23Z,"indie","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
spotify:track:0t4z0WaQomQqPONghWn8c2,"Me and Michael","Little Dark Age","MGMT",2018-02-09,289880,64,false,king_milo101,2020-10-25T21:36:34Z,"indie","Columbia",0.628,0.841,9,-4.583,1,0.0268,0.0285,0.00332,0.254,0.706,111.985,4
spotify:track:7hwcojGiRqYm100tSmpZE3,"Lisztomania","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,241640,1,false,king_milo101,2020-10-25T21:36:49Z,"indie","Glassnote Entertainment Group LLC",0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154,4
spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,"Take a Walk","Gossamer","Passion Pit",2012-07-23,264546,68,false,king_milo101,2020-10-25T21:36:59Z,"indie","Columbia",0.566,0.755,11,-5.526,1,0.0368,0.0338,0,0.315,0.445,101.006,4
spotify:track:57i3M29DWoo7RDk0Tf0LZG,"Daylight","Grand","Matt and Kim",2009-01-20,171333,5,false,king_milo101,2020-10-25T21:37:15Z,"","FADER LABEL",0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,4
spotify:track:0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,85,false,king_milo101,2020-10-25T21:37:24Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,89,false,king_milo101,2020-10-25T21:37:50Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
spotify:track:6qZjm61s6u8Ead9sWxCDro,"Elephant","Lonerism","Tame Impala",2012-01-01,211226,75,false,king_milo101,2020-10-25T21:39:55Z,"neo-psychedelic,indie","Modular",0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,4
spotify:track:27LyQFdQbui4TnRs05cZ8C,"Such Great Heights - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,266506,3,false,king_milo101,2020-10-25T21:40:07Z,"","Sub Pop Records",0.641,0.808,5,-7.268,1,0.0512,0.0487,0.191,0.065,0.172,174.981,4
spotify:track:5Fli1xRi01bvCjsZvKWro0,"Houdini","Torches","Foster The People",2011-05-23,202466,70,false,king_milo101,2020-10-25T21:37:57Z,"","Columbia",0.632,0.908,8,-3.511,1,0.0458,0.00762,0.000172,0.167,0.764,110.024,4
spotify:track:4BdGO1CaObRD4La9l5Zanz,"Sit Next to Me","Sacred Hearts Club","Foster The People",2017-07-21,243146,77,false,king_milo101,2020-10-25T21:38:03Z,"","Columbia",0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,4
spotify:track:4HRa9ZWcmZ8JD7UySPu0wT,"Don't Stop (Color on the Walls)","Torches","Foster The People",2011-05-23,174920,63,false,king_milo101,2020-10-25T21:38:07Z,"","Columbia",0.611,0.948,1,-3.751,0,0.0753,0.00183,0.0995,0.0969,0.79,133.004,4
spotify:track:4VbDJMkAX3dWNBdn3KH6Wx,"Helena Beat","Torches","Foster The People",2011-05-23,276173,68,false,king_milo101,2020-10-25T21:38:13Z,"","Columbia",0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,4
spotify:track:5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,90,false,king_milo101,2020-10-25T21:38:38Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
spotify:track:0eozuFNutbnEbWKOvf4W86,"Clearest Blue","Every Open Eye (Special Edition)","CHVRCHES",2015-09-25,233762,1,false,king_milo101,2020-10-25T21:39:16Z,"synthpop","Glassnote Entertainment Group LLC",0.649,0.802,1,-7.148,1,0.0328,0.0155,0.00255,0.0652,0.163,123.036,4
spotify:track:2pE0CMK1fE3mfU0eEOHhKw,"The Mother We Share","The Bones of What You Believe","CHVRCHES",2013-09-20,191293,0,true,king_milo101,2020-10-25T21:39:08Z,"synthpop","Glassnote Entertainment Group LLC",0.46,0.686,1,-6.43,1,0.0301,0.0324,0.00000445,0.126,0.338,173.829,4
spotify:track:0LtOwyZoSNZKJWHqjzADpW,"Feels Like We Only Go Backwards","Lonerism","Tame Impala",2012-01-01,192960,80,false,king_milo101,2020-10-25T21:39:43Z,"neo-psychedelic,indie","Modular",0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
spotify:track:5JWPUEov2wlX7c0jhYZpeB,"Lost In Yesterday","The Slow Rush","Tame Impala",2020-02-14,249586,74,false,king_milo101,2020-10-25T21:39:48Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,3
spotify:track:3rTnGUeDrnZV22DvRuUuXr,"Wait","Hurry Up, We're Dreaming","M83",2011,343253,65,false,king_milo101,2020-10-25T21:41:58Z,"","Mute",0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,4
