Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:41MOCUNOgWtaYBFUsGnpZ5,"The Safety Dance - Video Version","Rhythm of Youth","Men Without Hats",1982,166920,44,false,12128872417,2017-12-19T00:34:18Z,"synthpop,new wave","Bulldog Brothers",0.572,0.837,5,-7.876,1,0.0367,0.0197,0,0.163,0.627,100.343,4
spotify:track:0YqgyyypNhIKgMR6D716PN,"Love My Way","Forever Now","The Psychedelic Furs",1982,213973,0,false,12128872417,2017-12-19T00:14:47Z,"new wave,post-punk","Columbia/Legacy",0.637,0.85,0,-5.054,1,0.0351,0.0048,0.000179,0.152,0.52,126.106,4
spotify:track:0Des4gyZ2Z9jq6VA8VPwGE,"If You Leave","Pretty In Pink (Original Motion Picture Soundtrack)","Orchestral Manoeuvres In The Dark",1986-01-01,265360,48,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","A&M",0.631,0.592,0,-13.808,1,0.0325,0.054,0.0934,0.0788,0.896,120.362,4
spotify:track:4jhsuQCUCJKA5f0bXb6XdJ,"It's My Life - 1997 Remaster","It's My Life","Talk Talk",1984,232400,77,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","Parlophone UK",0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,4
spotify:track:0xzn2U71zNWLeJbE4Zat4C,"Space Age Love Song","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,227866,15,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","Jive",0.493,0.516,2,-13.071,1,0.0295,0.00072,0.229,0.121,0.621,139.865,4
spotify:track:0C6EIiQu8CS4eYtOCMEiAd,"Policy of Truth - 2006 Remaster","Violator (2006 Remaster)","Depeche Mode",1990-03-19,294040,1,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop,darkwave","Rhino/Warner Records",0.678,0.657,8,-7.3,1,0.028,0.00933,0.225,0.118,0.358,114.209,4
spotify:track:2RVQIq7bLi4Eu6xHPyQ46t,"A Little Respect","The Innocents","Erasure",1988,213373,69,false,12128872417,2017-12-19T00:14:47Z,"synthpop,new wave","Rhino/Warner Records",0.596,0.598,0,-13.409,1,0.0268,0.00808,0.00000307,0.241,0.595,113.825,4
spotify:track:5ObgLyp4ytTtnFLDhrmcOi,"I Melt with You","After the Snow","Modern English",1982-05-03,251573,0,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","4AD",0.542,0.804,0,-11.752,1,0.035,0.00102,0.00311,0.0658,0.687,155.601,4
spotify:track:6yEAAIEHu4GcUFptg5W9kI,"Don't You (Forget About Me)","The Breakfast Club","Simple Minds",1985-01-01,260866,58,false,12128872417,2017-12-19T00:14:47Z,"new wave","A&M",0.666,0.623,2,-12.697,1,0.0259,0.0766,0.0404,0.103,0.667,111.293,4
spotify:track:1uiktZkzFSVDhp7i73faz2,"Whisper to a Scream (Birds Fly) - Single Version","Dance Vault Mixes - Whisper To A Scream (Birds Fly)","The Icicle Works",2006-04-18,228613,50,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop,jangle pop","Arista",0.556,0.869,0,-9.01,1,0.0949,0.00725,0.00000412,0.614,0.574,114.425,4
spotify:track:4fh4nhZ9NTFubrtxFyd4uh,"Shout","Songs From The Big Chair (Remastered With Bonus Tracks)","Tears For Fears",1985-02-25,395600,0,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","Island Def Jam",0.512,0.987,0,-4.107,1,0.057,0.233,0.0000111,0.609,0.389,97.882,4
spotify:track:1KSkVwl54ghzE1jSbsVNBr,"Just like Heaven - 2006 Remaster","Kiss Me Kiss Me Kiss Me","The Cure",1987-05-25,212013,52,false,12128872417,2017-12-19T00:14:47Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.442,0.935,9,-6.903,1,0.0424,0.0524,0.000307,0.188,0.514,151.448,4
spotify:track:7tdvokSd2kWNqgiLdtMyam,"The Killing Moon","Ocean Rain (Deluxe Edition)","Echo & the Bunnymen",1984-05-04,345799,33,false,12128872417,2017-12-19T00:14:47Z,"new wave,post-punk,gothic rock","Rhino/Warner Records",0.587,0.79,7,-7.054,1,0.028,0.015,0.00112,0.341,0.756,124.118,4
spotify:track:0JOJ2SmO1S2dVFGOrayuzx,"Stand or Fall","Then and Now","The Fixx",2002-10-08,329906,42,false,12128872417,2024-01-08T12:41:01Z,"new wave,synthpop","Sanctuary Records",0.765,0.665,11,-8.297,1,0.0325,0.145,0.0524,0.121,0.862,120.062,4
spotify:track:2UhY7bWv6KHOqgvuf0RRvz,"Bizarre Love Triangle","Brotherhood","New Order",1986-09-29,261399,33,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop,post-punk,madchester","Rhino/Warner Records",0.617,0.918,10,-5.192,1,0.0502,0.0783,0.801,0.0918,0.931,118.472,4
spotify:track:654lELZqLqtqudKZDUveYK,"If You Were Here","Love, Lies And Other Strange Things: Greatest Hits","Thompson Twins",1996-10-01,176826,0,false,12128872417,2017-12-19T00:14:47Z,"new wave,synthpop","Arista",0.601,0.617,0,-10.904,1,0.035,0.0493,0.0000485,0.283,0.417,114.073,4
