Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,78,false,1158579689,2020-04-03T11:27:59Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
spotify:track:0cGG2EouYCEEC3xfa0tDFV,"Tainted Love","Non-Stop Erotic Cabaret","Soft Cell",1981,153800,77,false,1158579689,2020-04-03T11:28:05Z,"synthpop,new wave","EMI",0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,4
spotify:track:2gQaQUhDCNGfBVXTvxAmXQ,"Shout","Songs From The Big Chair","Tears For Fears",1985-02-25,393666,74,false,1158579689,2020-04-03T11:29:07Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.511,0.942,0,-10.407,1,0.0429,0.174,0.0000187,0.139,0.498,97.909,4
spotify:track:6JNJERZGJwDVgkmbohBw7u,"Self Control","Self Control","Laura Branigan",1984,246440,82,false,1158579689,2020-04-03T11:29:18Z,"","Rhino Atlantic",0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,4
spotify:track:3TieIQTlipul7oxGldyX09,"Big in Japan - Single Version; 2019 Remaster","Forever Young (Super Deluxe Edition; 2019 Remaster)","Alphaville",1984,234693,69,false,1158579689,2020-04-03T11:29:34Z,"synthpop","WM Germany",0.773,0.608,7,-8.606,1,0.049,0.146,0.00307,0.13,0.334,97.82,4
spotify:track:3yobQNuKVJ62WDU7h725Fu,"Fade To Grey","Visage","Visage",1980-01-01,239360,67,false,1158579689,2020-04-03T11:30:20Z,"synthpop,new wave","Polydor",0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,4
spotify:track:3NYCaxkggl0Hh8vQptSUvV,"Enola Gay - Remastered 2003","Organisation","Orchestral Manoeuvres In The Dark",1980-10-24,213693,71,false,1158579689,2020-04-03T11:30:24Z,"new wave,synthpop","EMI Marketing",0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319,4
spotify:track:0Qv7xi6uPSqH2k82tOkGSt,"Mad World","The Hurting","Tears For Fears",1983-03-07,215400,72,false,1158579689,2020-04-03T11:30:27Z,"new wave,synthpop","EMI",0.628,0.907,4,-6.047,1,0.0412,0.0471,0.0579,0.0635,0.954,118.724,4
spotify:track:1FL9DHDSED6lxNMDJUJQvB,"The Model - 2009 Remaster","The Man-Machine (2009 Remaster)","Kraftwerk",1978,220533,62,false,1158579689,2020-04-03T11:30:29Z,"krautrock,neue deutsche welle,synthpop,electronic,new wave,electro","Parlophone UK",0.708,0.683,4,-7.768,0,0.0344,0.00122,0.643,0.121,0.463,123.602,4
spotify:track:2d8D7uk3tbAThjRkdfrx9c,"Voyage voyage","François","Desireless",1989-01-02,266600,76,false,1158579689,2020-04-03T11:31:09Z,"","Choice of Music",0.606,0.913,8,-6.039,0,0.0351,0.246,0.00696,0.34,0.838,123.58,4
