Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5RRVZmTzWZxdyzzoTp0Sb7,"Rockstar","Things I Never Said","Memory Machine;Infinite Guest;Full Circle Avenue",2026-02-20,194754,19,false,31masje4q5gjarefgjpl6odotxte,2026-03-07T23:12:26Z,"","The Infinite Guest",0.644,0.673,4,-5.004,0,0.047,0.0943,0,0.11,0.359,122.003,4
spotify:track:2uM3i8gmdFNNoHjRPgAOlL,"Leave a Trace","Every Open Eye","CHVRCHES",2015-09-25,237480,52,false,31masje4q5gjarefgjpl6odotxte,2025-12-30T15:17:01Z,"synthpop","Glassnote - VMG",0.639,0.743,2,-6.042,1,0.0656,0.0142,0.000112,0.139,0.204,99.937,4
spotify:track:5yYyiOUpjnefk8i3sNnqFV,"Guess I Grew Up","Guess I Grew Up","uncszn",2026-04-03,148349,31,false,31masje4q5gjarefgjpl6odotxte,2026-04-03T17:41:11Z,"","Independent",0.569,0.763,5,-7.392,1,0.0323,0.00848,0,0.367,0.491,88.981,4
spotify:track:5ovzDxwSZfrpqZ8LubPV7X,"Running in the Night","Atlas","FM-84;Ollie Wride",2016-04-25,270000,62,false,31masje4q5gjarefgjpl6odotxte,2025-12-30T15:17:01Z,"synthwave,vaporwave,synthpop,chillwave","FM-84",0.527,0.714,2,-8.929,0,0.0371,0.00664,0.00000116,0.0672,0.375,133.015,4
spotify:track:5DrZIeaorDQUfGWoaEC4la,"Never Met Me","Things I Never Said","Memory Machine;Infinite Guest;Full Circle Avenue",2026-02-20,179076,19,false,31masje4q5gjarefgjpl6odotxte,2026-03-07T23:12:26Z,"","The Infinite Guest",0.688,0.566,0,-8.595,1,0.0308,0.00411,0.00000722,0.101,0.645,130.005,4
spotify:track:3yOFKYjvV8PrYuhz0BYYeH,"Chacka Bow Wow","Why So Serious","uncszn",2026-07-01,133056,7,false,31masje4q5gjarefgjpl6odotxte,2026-07-01T21:27:24Z,"","Independent",0.768,0.793,11,-7.302,0,0.0465,0.251,0.000649,0.25,0.715,110.011,4
spotify:track:6g4FbLU3XJmczmR1JjHnyg,"Fractures","Awake","ILLENIUM;Nevve",2017-09-21,245250,61,false,31masje4q5gjarefgjpl6odotxte,2025-12-30T15:17:01Z,"melodic bass,future bass,edm","Seeking Blue",0.406,0.711,4,-3.064,1,0.0436,0.373,0.00195,0.139,0.268,159.862,4
spotify:track:3B9DTDrza3JSg22jKZxxSo,"The Old Internet","Memory Machine","uncszn",2026-05-08,162331,42,false,31masje4q5gjarefgjpl6odotxte,2026-05-08T04:20:01Z,"","Independent",0.577,0.755,10,-6.652,1,0.0495,0.059,0,0.104,0.891,189.931,4
spotify:track:1jW0jjVzBkDohoOjqMhJ5J,"This Fuss","This Fuss","Tripping Jupiter",2026-02-13,219193,38,false,31masje4q5gjarefgjpl6odotxte,2026-03-07T23:14:07Z,"","Tripping Jupiter",0.656,0.687,4,-7.464,1,0.098,0.163,0.0000054,0.944,0.56,115.956,4
spotify:track:4WSgpeKhKxQy8DtkUeqcAw,"Slumber of Wonder","Slumber of Wonder","Bart & Baker;Emma Lea",2026-06-12,245230,30,false,31masje4q5gjarefgjpl6odotxte,2026-06-17T17:46:55Z,"electro swing,swing music,nu jazz","Ragtime Records",0.747,0.905,10,-6.152,1,0.046,0.0286,0.000849,0.0477,0.938,115.032,4
