Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LpkqWPeXviNcZdWUMrmWz,"All Night","All Night (Deluxe Edition)","PRIZM",2020-10-07,228666,40,false,jacr547,2021-11-30T02:58:34Z,"synthwave,synthpop,retro pop","FiXT",0.564,0.882,9,-4.751,1,0.036,0.176,0.0000372,0.108,0.199,103.952,4
spotify:track:7vBIFdKpmld32g31GFoq0r,"Automatic Love","Automatic Love (feat. Essenger)","Fury Weekend;Essenger",2020-09-16,242526,0,false,jacr547,2021-11-30T03:00:22Z,"synthwave","FiXT",0.553,0.969,2,-2.945,0,0.0492,0.0288,0.00171,0.311,0.845,94.994,4
spotify:track:3lY16GPKfWGePzSg6bRsLh,"Sleepless Nights","Escape From Neon City (Deluxe Edition)","Fury Weekend;PRIZM",2019-11-25,312258,31,false,jacr547,2021-11-30T03:00:34Z,"synthwave,synthpop,retro pop","FiXT",0.537,0.934,4,-3.773,1,0.0467,0.00121,0.00191,0.0973,0.412,92.995,4
spotify:track:2cxFV5hnI7w0YPLwyvU1n6,"Superstars On My Stereo","Superstars On My Stereo","Nightstop;Tomas Scott",2021-04-07,219295,40,false,jacr547,2021-11-30T03:00:43Z,"synthwave,vaporwave","Cobra Tonic",0.516,0.66,1,-9.161,1,0.0347,0.0146,0.221,0.155,0.35,110.004,4
spotify:track:6gKJCd9tbRvx2UaX2G3K3t,"Got You","Starlight (Deluxe Edition)","Sunset Neon",2017-12-01,219694,39,false,jacr547,2021-11-30T03:01:03Z,"synthwave,vaporwave","FiXT",0.63,0.938,1,-4.692,1,0.0864,0.00115,0.00104,0.203,0.735,118.014,4
spotify:track:7zmbtfKgZMTQ1GlqBno5T5,"Beyond Memory","Beyond Memory","NINA",2016-05-27,215040,46,false,jacr547,2021-11-30T03:03:21Z,"synthwave,synthpop","Aztec Records Ltd",0.6,0.749,11,-7.724,0,0.0341,0.27,0.0158,0.108,0.337,92.013,4
spotify:track:5Dg7xffxFbW9J9gwpzYtn2,"Coco","Electric Dreams","Siamese Youth",2019-09-06,232735,40,false,jacr547,2021-11-30T03:03:26Z,"synthwave,synthpop","NRW Records, under exclusive license to NewRetroWave, LLC",0.611,0.809,9,-6.308,0,0.0536,0.0676,0.00000818,0.0871,0.787,152.94,4
spotify:track:5fAvWbyvGXzcWZYBkvC5OL,"So Far from Home","Echoes of Tomorrow","Siamese Youth",2021-03-26,212632,43,false,jacr547,2021-11-30T03:03:32Z,"synthwave,synthpop","NRW Records, under exclusive license to NewRetroWave, LLC",0.627,0.727,7,-5.728,0,0.0262,0.0267,0.00318,0.205,0.387,113.986,4
spotify:track:3Qaq3lUUawG3MEWvRcNBcx,"Juliette","Juliette","Ollie Wride",2020-07-03,251329,44,false,jacr547,2021-11-30T03:03:38Z,"synthwave,synthpop,vaporwave","NRW Records under exclusive license to Amuseio AB",0.56,0.743,5,-6.693,1,0.0272,0.000816,0.00143,0.079,0.202,102.001,4
spotify:track:60emI1GBoT3BiY5QM3hapN,"Back to Life","Thanks in Advance","Ollie Wride",2019-07-19,287811,39,false,jacr547,2021-11-30T03:03:43Z,"synthwave,synthpop,vaporwave","NRW Records under exclusive license to Amuseio AB",0.576,0.845,1,-7.074,1,0.0332,0.0115,0.0322,0.107,0.623,102.008,4
