Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:42l1eOB0qSkTxHdEZEhqem,"Dancing with Tears in My Eyes","The Collection","Ultravox",1984-11-02,244120,0,false,finex0902,2018-09-03T06:46:00Z,"synthpop,new wave","Chrysalis Records",0.589,0.908,9,-8.117,1,0.0431,0.151,0.000252,0.596,0.926,143.959,4
spotify:track:4OdhffpvG3HxDJMxYOKh97,"I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,26,false,finex0902,2018-09-03T06:50:44Z,"new wave,synthpop","Jive",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
spotify:track:1nz1xzqPN4xYZtR4zgiLxt,"Smalltown Boy","The Age Of Consent","Bronski Beat",1984,303306,0,false,finex0902,2018-09-03T06:50:55Z,"synthpop,hi-nrg","London Records",0.679,0.564,10,-11.247,1,0.0267,0.529,0.0709,0.275,0.926,134.586,4
spotify:track:6adNmhEh8Kb1Swoy1XG8gn,"Destination Unknown","The Best Of Missing Persons","Missing Persons",1987-04-24,215640,32,false,finex0902,2018-09-03T06:51:12Z,"new wave,synthpop","Capitol Records",0.7,0.516,5,-14.834,1,0.0522,0.0394,0.00532,0.0978,0.312,120.863,4
spotify:track:5ohAoMoOcWyTMam6Da5NeU,"What is Love? - 2008 Remastered Version","Human's Lib","Howard Jones",1984-06-12,392906,0,false,finex0902,2018-09-03T06:51:32Z,"new wave,synthpop","Rhino/Elektra",0.629,0.681,0,-11.54,0,0.0415,0.223,0.00105,0.0753,0.899,96.801,4
spotify:track:7gPxnVMJmvyL0GQnfHuSHF,"Telephone Operator","XL1","Pete Shelley",1983,198080,0,false,finex0902,2018-09-03T06:51:37Z,"synthpop,new wave","Western Songs Ltd",0.656,0.938,2,-7.795,1,0.0535,0.00742,0.0813,0.263,0.877,129.694,4
spotify:track:3OQtbwQ9U4A0VDH1rjamZJ,"Too Shy - 2004 Remaster","Too Shy: The Best Of Kajagoogoo & Limahl","Kajagoogoo",2009-09-07,225853,49,false,finex0902,2018-09-03T06:51:50Z,"synthpop,new wave","Parlophone UK",0.691,0.79,10,-10.263,0,0.0633,0.0418,0.0000693,0.091,0.746,108.266,4
spotify:track:5Kausbaf528VLbqlu93kab,"War","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984,373613,0,false,finex0902,2018-09-03T06:51:58Z,"synthpop,hi-nrg","ZTT Records",0.699,0.498,5,-14.387,0,0.0751,0.042,0.18,0.093,0.583,110.118,4
spotify:track:3CKLPDN1AIOYa7QPpy6oDH,"Cars","Premier Hits","Gary Numan",1981-04-01,235466,0,false,finex0902,2018-09-03T06:52:14Z,"new wave,synthpop,post-punk","Beggars Banquet",0.488,0.595,2,-9.074,1,0.0533,0.0421,0.000465,0.143,0.732,128.013,4
spotify:track:5nvLGQApZ2ly9Ngn0BKbeW,"Elstree","The Age Of Plastic","The Buggles",1980-01-10,271600,27,false,finex0902,2018-09-03T06:52:34Z,"","Island Records",0.805,0.658,1,-13.954,1,0.0434,0.476,0.656,0.159,0.624,134.215,4
spotify:track:7fRvtXvJMpGfTLdF0M09a1,"Talking In Your Sleep (2023 Remaster)","In Heat (2023 Remaster)","The Romantics",1983-02-14,236624,73,false,finex0902,2018-09-03T06:56:16Z,"power pop","Legacy Recordings",0.7,0.927,9,-4.981,0,0.0358,0.0013,0.00124,0.0445,0.972,129.778,4
spotify:track:5HQ639Z3ms3hnZx0KfWnkp,"Private Eyes","Private Eyes (Expanded Edition)","Daryl Hall & John Oates",1981,217200,73,false,finex0902,2018-09-03T06:57:21Z,"yacht rock,soft rock","RCA/BMG Heritage",0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,4
spotify:track:6nz1ojKuYx5HO7Vh0wmuWp,"Vuela, Vuela (Voyage, Voyage)","La Historia De Magneto","Magneto",2007-06-12,265466,68,false,finex0902,2018-09-03T06:57:38Z,"latin pop,retro pop","Columbia",0.667,0.777,5,-11.435,0,0.0293,0.000247,0.00111,0.0602,0.797,124.947,4
spotify:track:0cKSI1lvb2qsm4cGZvVZeq,"Hooked on Love - Rip It Up Version","Rip It Up","Dead Or Alive",1987,250666,0,false,finex0902,2018-09-03T06:58:54Z,"hi-nrg,synthpop","Epic",0.615,0.913,6,-8.011,1,0.0631,0.182,0.00000708,0.214,0.793,118.137,4
spotify:track:6oHwfcxAPf2D9qOIRCJnbw,"Something in My House - Rip It Up Version","Rip It Up","Dead Or Alive",1987,265160,0,false,finex0902,2018-09-03T06:59:04Z,"hi-nrg,synthpop","Epic",0.577,0.919,2,-8.452,0,0.05,0.00613,0.0343,0.109,0.428,130.354,4
spotify:track:2UzUajTCaQEgB3dbBOAF4v,"My Heart Goes Bang (Get Me to the Doctor) - Rip It Up Version","Rip It Up","Dead Or Alive",1987,323733,0,false,finex0902,2018-09-03T06:59:17Z,"hi-nrg,synthpop","Epic",0.604,0.771,7,-9.142,1,0.0486,0.0638,0.0165,0.687,0.881,126.089,4
spotify:track:29r3fDexnrto7WABfpblNH,"Who Can It Be Now?","The Essential Men At Work","Men At Work",2003-04-01,203266,56,false,finex0902,2018-09-03T07:00:17Z,"","Columbia/Legacy",0.807,0.83,4,-4.04,1,0.0367,0.0444,0.000358,0.0842,0.954,128.501,4
spotify:track:38Ngied9rBORlAbLYNCl4k,"Once in a Lifetime - 2005 Remaster","Remain in Light (Deluxe Version)","Talking Heads",1980-10-08,259906,71,false,finex0902,2018-09-03T07:01:44Z,"new wave,post-punk","Rhino/Warner Records",0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,4
spotify:track:2HC6DOJvppo0Dn3KFl084N,"Today - 1997 Remaster","The Party's Over","Talk Talk",1982,210293,45,false,finex0902,2018-09-03T07:45:43Z,"new wave,synthpop","Parlophone UK",0.544,0.923,6,-6.033,0,0.0603,0.115,0.000133,0.346,0.653,153.437,4
spotify:track:5V9FrOjiLqd9eyiny1s78a,"Nocturnal Me","Ocean Rain","Echo & the Bunnymen",1984-05-04,298933,41,false,finex0902,2018-09-12T18:32:44Z,"new wave,post-punk,gothic rock","Rhino/Warner Records",0.471,0.562,9,-11.37,0,0.0288,0.557,0.00365,0.157,0.646,85.08,4
spotify:track:2Hf6NFGwSqZqFXp5at5J9h,"A Victory of Love","Forever Young","Alphaville",1984,257812,52,false,finex0902,2018-09-12T18:32:56Z,"synthpop","WM Germany",0.732,0.431,9,-10.283,0,0.0475,0.146,0.000264,0.275,0.637,118.649,4
spotify:track:3HEZ6dNm68TrRF7JbiTf9B,"When Love Breaks Down","Two Wheels Good","Prefab Sprout",1985-12-30,224240,0,false,finex0902,2018-10-22T19:17:43Z,"jangle pop","Epic",0.495,0.379,1,-14.265,1,0.0422,0.842,0.0000222,0.0997,0.324,133.115,4
spotify:track:39qYD4J4BKvZMQgxfXl5bv,"Eye In The Sky","Eye In The Sky (Expanded Edition)","The Alan Parsons Project",1982,276280,57,false,finex0902,2018-11-11T04:22:27Z,"progressive rock,classic rock","Arista/Legacy",0.823,0.417,2,-12.643,1,0.032,0.562,0.00098,0.0765,0.522,111.928,4
spotify:track:5x3dGnrug2oN9CGbKO4WDU,"Children of the Moon","Eye In The Sky (Expanded Edition)","The Alan Parsons Project",1982,291280,24,false,finex0902,2018-11-11T04:22:51Z,"progressive rock,classic rock","Arista/Legacy",0.684,0.395,2,-9.289,0,0.0279,0.625,0.000325,0.143,0.493,86.87,4
spotify:track:7FlwylpJSe3ea6m1IrkizS,"West End Girls - 2001 Remaster","Please: Further Listening 1984-1986","Pet Shop Boys",1986-03-24,245360,2,false,finex0902,2018-11-11T04:25:30Z,"synthpop,new wave","Parlophone UK",0.648,0.947,4,-6.617,0,0.0369,0.0114,0.0567,0.105,0.602,113.255,4
spotify:track:6t1FIJlZWTQfIZhsGjaulM,"Video Killed The Radio Star","The Age Of Plastic","The Buggles",1980-01-10,253800,69,false,finex0902,2018-11-11T04:55:18Z,"","Island Records",0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,4
spotify:track:2K22nUTdyr48JDwI5t906t,"Relax (Come Fighting)","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,236800,74,false,finex0902,2018-12-02T18:54:05Z,"synthpop,hi-nrg","ZTT Records",0.676,0.693,11,-13.396,0,0.0394,0.327,0.0000108,0.0462,0.688,114.934,4
spotify:track:3NYCaxkggl0Hh8vQptSUvV,"Enola Gay - Remastered 2003","Organisation","Orchestral Manoeuvres In The Dark",1980-10-24,213693,71,false,finex0902,2019-03-09T20:07:41Z,"new wave,synthpop","EMI Marketing",0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319,4
spotify:track:4jhsuQCUCJKA5f0bXb6XdJ,"It's My Life - 1997 Remaster","It's My Life","Talk Talk",1984,232400,77,false,finex0902,2019-03-09T20:08:20Z,"new wave,synthpop","Parlophone UK",0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,4
spotify:track:3yobQNuKVJ62WDU7h725Fu,"Fade To Grey","Visage","Visage",1980-01-01,239360,67,false,finex0902,2019-03-09T20:09:46Z,"synthpop,new wave","Polydor",0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,87,false,finex0902,2019-03-09T20:09:49Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:5rgY6vN5CaEL3boucCi3CT,"Money","The Flying Lizards","The Flying Lizards",1979,338186,44,false,finex0902,2019-04-14T19:24:28Z,"new wave","Caroline Records",0.858,0.937,5,-11.667,1,0.163,0.0342,0.142,0.612,0.539,130.117,4
spotify:track:3iB7lzsBC7PdJLU9k2nttT,"Vamos a la Playa - 1983","Best of Righeira (Le meilleur des annees 80)","Righeira",2012,217327,55,false,finex0902,2019-06-03T06:13:20Z,"italo disco,italo dance","La Bionda Music",0.944,0.73,9,-9.527,0,0.0457,0.162,0.000699,0.114,0.864,128.967,4
spotify:track:1F43XlPBiwAUUIhrUGzylO,"Never Ending Story","Don't Suppose","Limahl",2009-09-25,212173,68,false,finex0902,2019-07-14T22:23:44Z,"synthpop","Parlophone UK",0.599,0.622,0,-13.971,1,0.0296,0.359,0.00235,0.114,0.851,122.312,4
spotify:track:1RSy7B2vfPi84N80QJ6frX,"Blue Monday - 2016 Remaster","Singles (2016 Remaster)","New Order",2005-09-30,450800,64,false,finex0902,2019-10-01T21:13:56Z,"new wave,synthpop,post-punk,madchester","Rhino/Warner Records",0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,4
spotify:track:7uHO4AmKtyGa5v5fsElGoC,"You Spin Me Round (Like a Record)","Youthquake","Dead Or Alive",1985-03-26,199666,5,false,finex0902,2019-10-01T21:14:00Z,"hi-nrg,synthpop","Epic",0.567,0.943,6,-7.992,0,0.0387,0.0312,0.0965,0.544,0.965,128.207,4
spotify:track:7zSAI7Ae6DPVepN8MksKVZ,"Space Age Love Song","We Are The '80s","A Flock Of Seagulls",1981,226693,21,false,finex0902,2019-10-01T21:14:04Z,"new wave,synthpop","Jive/Legacy",0.447,0.744,2,-4.613,1,0.0311,0.0000362,0.106,0.21,0.552,139.959,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,86,false,finex0902,2019-12-06T22:12:52Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:169oHBed4Nj1Q073yu9bFB,"Out of Touch - Single Version","The Essential Daryl Hall & John Oates","Daryl Hall & John Oates",2005-04-25,247160,54,false,finex0902,2019-12-29T21:09:10Z,"yacht rock,soft rock","Legacy Recordings",0.803,0.718,9,-6.457,0,0.0357,0.082,0.00094,0.0791,0.933,115.023,4
spotify:track:48p5E25cFPanxuwCTmTpuL,"The Promise","When In Rome","When In Rome",1988-01-01,220960,77,false,finex0902,2020-03-04T19:00:58Z,"new wave,synthpop","Virgin",0.629,0.876,0,-10.141,1,0.0444,0.0864,0.0000772,0.0431,0.358,118.01,4
spotify:track:1jinux2Q5Afix30KCtZiuz,"Pac-Man Fever","Pac-Man Fever","Buckner & Garcia",1999-05-01,229041,0,false,finex0902,2020-03-05T19:46:36Z,"","Buckner & Garcia Productions",0.802,0.831,10,-6.743,1,0.0627,0.485,0.000121,0.302,0.888,141.553,4
spotify:track:5NN5MQyE3Lo91zAEHpGa7S,"Two Tribes","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,208133,57,false,finex0902,2020-03-05T19:47:08Z,"synthpop,hi-nrg","ZTT Records",0.54,0.621,7,-13.164,1,0.0368,0.00293,0.00282,0.367,0.193,130.202,4
spotify:track:1RbOObDFn7GOseR1w529Zj,"Things Can Only Get Better","Dream Into Action","Howard Jones",1985,235826,1,false,finex0902,2020-05-20T06:17:58Z,"new wave,synthpop","Cherry Red Records",0.752,0.743,7,-6.083,1,0.0331,0.0314,0.000117,0.128,0.832,108.254,4
spotify:track:4EFkvOhgAmlHEfDfvfSoh5,"Girls on Film - 2010 Remaster","Duran Duran (Deluxe Edition)","Duran Duran",1981-06-15,212853,70,false,finex0902,2020-05-20T06:18:03Z,"new wave,synthpop","Parlophone UK",0.725,0.859,7,-6.208,1,0.0636,0.0173,0.0137,0.048,0.53,131.697,4
spotify:track:1EjQRTG53jsinzk2xlVVJP,"Enjoy the Silence - 2006 Remaster","Violator (2006 Remaster)","Depeche Mode",1990-03-19,372813,2,false,finex0902,2020-07-15T06:40:42Z,"new wave,synthpop,darkwave","Rhino/Warner Records",0.38,0.591,0,-11.966,0,0.0321,0.348,0.0146,0.127,0.22,113.003,4
spotify:track:6VyR9z26oKw6BvlwSjqvoY,"Girlfriend Is Better - 2005 Remaster","Speaking in Tongues (Deluxe Version)","Talking Heads",1983-05-31,343426,58,false,finex0902,2020-10-30T00:27:16Z,"new wave,post-punk","Rhino/Warner Records",0.865,0.752,7,-6.493,1,0.0941,0.0892,0.000626,0.0401,0.966,118.649,4
spotify:track:2WuSpzSBRO7MeVQDp2e3WL,"The Art of Parties - 2003 - Remaster","Tin Drum","Japan",1981,252293,32,false,finex0902,2021-06-27T04:29:21Z,"new wave,synthpop,post-punk,art pop,art rock","Virgin Catalogue",0.77,0.735,9,-7.536,0,0.0563,0.248,0.00581,0.0684,0.862,112.312,4
spotify:track:5FkW4djGNgTOL1yyXKq73H,"Strangelove - 2006 Remaster","Music for the Masses (2006 Remaster)","Depeche Mode",1987-09-28,296680,0,false,finex0902,2021-06-27T04:40:22Z,"new wave,synthpop,darkwave","Rhino/Warner Records",0.66,0.802,4,-7.889,0,0.043,0.195,0.00749,0.186,0.646,118.9,4
spotify:track:6Vipnok4Hf5xpH6eJaxvr0,"Talk Talk - 1997 Remaster","The Party's Over","Talk Talk",1982,203626,56,false,finex0902,2021-09-12T03:10:33Z,"new wave,synthpop","Parlophone UK",0.61,0.835,7,-7.778,0,0.046,0.0000907,0.063,0.0422,0.828,135.248,4
spotify:track:5ugSh2p5noxQzSW2yy1qJt,"Oh l'amour","Wonderland","Erasure",1986-03-12,216480,44,false,finex0902,2021-11-12T03:25:18Z,"synthpop,new wave","Warner Records",0.65,0.934,3,-6.2,1,0.0319,0.0148,0.0653,0.351,0.922,120.924,4
spotify:track:3UQAxQ66OpBD4ZHpx0ksvD,"Machine Age Voodoo","Machine Age Voodoo","Spk",1984,244466,22,false,finex0902,2021-12-09T20:11:27Z,"industrial,ebm,dark ambient,cold wave,neofolk,industrial rock,synthpop","Rhino/Elektra",0.631,0.965,1,-7.54,1,0.0664,0.00153,0.203,0.0812,0.776,122.525,4
spotify:track:053m4id9rWaV51dCV5sqts,"Cat House","Dark Adapted Eye","Danielle Dax",1988,208360,23,false,finex0902,2021-12-09T20:24:01Z,"deathrock,gothic rock,darkwave,post-punk","Rhino/Warner Records",0.358,0.829,1,-8.431,1,0.053,0.00606,0.00104,0.186,0.61,151.865,4
spotify:track:5Knl7BTPCME3Kh5WxctWLU,"What Have I Done to Deserve This? (with Dusty Springfield) - 2001 Remaster","Actually: Further Listening 1987-1988","Pet Shop Boys;Dusty Springfield",1987-09-07,260413,0,false,finex0902,2022-02-22T19:43:52Z,"synthpop,new wave","Parlophone UK",0.711,0.875,5,-5.24,1,0.0336,0.129,0.00126,0.159,0.925,118.022,4
spotify:track:6TaHShmHB955lxcJ92V0gs,"Sex Dwarf","Non-Stop Erotic Cabaret","Soft Cell",1981-05-31,318533,0,true,finex0902,2024-02-20T20:01:25Z,"synthpop,new wave","Some Bizzare",0.516,0.646,5,-13.029,1,0.0613,0.175,0.0000248,0.0809,0.679,147.973,4
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,87,false,finex0902,2024-04-22T22:12:16Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
