Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0BB9eUBBaaX6GALSYNcEp7,"You Spin Me Round (Like a Record)","Youthquake","Dead Or Alive",1985-09-05,196800,2,false,hipersonica,2015-07-02T17:24:48Z,"hi-nrg,synthpop","Epic",0.554,0.851,6,-10.526,0,0.0334,0.006,0.0242,0.405,0.96,128.103,4
spotify:track:3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,78,false,hipersonica,2015-07-02T17:24:56Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
spotify:track:6eTZyUjg4ZoGElNcAINIwJ,"Tainted Love","The Very Best Of Soft Cell [International Version (Excluding UK & Eire)]","Soft Cell",2002-01-01,160400,0,false,hipersonica,2015-07-02T17:25:04Z,"synthpop,new wave","Mercury",0.556,0.535,0,-4.789,0,0.0372,0.467,0,0.332,0.687,144.635,4
spotify:track:5TXAySV8WBjAIMg3lPDCLN,"Shout","Songs From The Big Chair (Deluxe)","Tears For Fears",1985-02-25,392675,0,false,hipersonica,2015-07-02T17:33:39Z,"new wave,synthpop","Universal Music Group",0.509,0.935,0,-11.081,1,0.0411,0.178,0.0000521,0.119,0.527,97.921,4
spotify:track:1K3RzyzlBhMzOZtR0yepeb,"Relax","Welcome To The Pleasuredome: 25th Anniversary Deluxe Edition","Frankie Goes To Hollywood",1984,236786,0,false,hipersonica,2015-07-02T17:34:17Z,"synthpop,hi-nrg","Salvo",0.677,0.83,11,-8.147,0,0.0389,0.295,0.0000104,0.0295,0.705,114.921,4
spotify:track:1ZCJSzvIq1ftluMRKqjklN,"You're a Woman","Bad Boys Best","Bad Boys Blue",1989-02-20,321840,0,false,hipersonica,2015-07-02T17:37:39Z,"italo disco,italo dance,eurodance,europop,hi-nrg","Coconut Music",0.737,0.308,0,-12.438,0,0.0426,0.0296,0.000507,0.313,0.769,118.218,4
spotify:track:6U51gSZ5PNHf9Pbq2Zy14c,"Brother Louie","25 Years Of Disco-Pop","Modern Talking",2010-01-25,221093,46,false,hipersonica,2015-07-02T17:38:00Z,"europop,italo disco,eurodance","NITRON media",0.778,0.89,0,-5.65,0,0.0568,0.312,0.0181,0.208,0.709,108.962,4
spotify:track:2DzC0BiOn12UdZqO3QqrgP,"Young Hearts","The Karate Kid: The Original Motion Picture Soundtrack","Commuter",2010-01-01,217173,0,false,hipersonica,2015-07-02T17:40:45Z,"electroclash,melodic techno","Island Records",0.687,0.595,11,-10.812,1,0.0289,0.226,0.00194,0.0741,0.65,108.13,4
spotify:track:7n6CKf9uT5qM1D9lBlCRfm,"Don't Go","Pure 80s Pop","Yazoo",2008-06-13,188466,0,false,hipersonica,2015-07-02T17:41:05Z,"synthpop,new wave","Parlophone UK",0.803,0.411,6,-16.013,1,0.0521,0.312,0.00344,0.0411,0.654,126.236,4
spotify:track:4nbXiNmDj28xmEjsFdlSpo,"Always","Essential: Erasure (Remastered)","Erasure",2012-03-19,241626,0,false,hipersonica,2015-07-02T17:41:38Z,"synthpop,new wave","Mute/BMG",0.578,0.844,5,-6.494,1,0.028,0.212,0.0000048,0.227,0.184,103.014,4
spotify:track:6JEK0CvvjDjjMUBFoXShNZ,"Never Gonna Give You Up","The Best Of","Rick Astley",2003-09-27,213453,2,false,hipersonica,2015-07-02T17:52:10Z,"","BMG Entertainment",0.728,0.974,8,-8.134,1,0.0408,0.0936,0.0000154,0.0855,0.923,113.325,4
