Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vmRQ3zELMLUQPo2FLQ76x,"Smalltown Boy","The Age of Consent","Bronski Beat",1984-10-15,302413,85,false,,2024-07-09T02:45:34Z,"synthpop,hi-nrg","London Records (Because Ltd)",0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4
spotify:track:3KuAa8Y79xlfJgYtBKbynY,"Don't Go","Upstairs At Eric's","Yaz",1982,191306,61,false,,2024-07-09T02:45:34Z,"","Rhino/Warner Records",0.776,0.44,6,-15.887,1,0.0613,0.34,0.00704,0.0508,0.606,125.756,4
spotify:track:4fpxnJGDWFxjGvLJOqPPt8,"True Faith","Substance","New Order",1987-08-17,355066,68,false,,2024-07-09T02:45:34Z,"new wave,synthpop,post-punk,madchester","Rhino",0.589,0.784,0,-13.037,1,0.0312,0.175,0.0767,0.132,0.941,116.981,4
spotify:track:0cGG2EouYCEEC3xfa0tDFV,"Tainted Love","Non-Stop Erotic Cabaret","Soft Cell",1981,153800,77,false,,2024-07-09T02:45:34Z,"synthpop,new wave","EMI",0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,4
spotify:track:48p5E25cFPanxuwCTmTpuL,"The Promise","When In Rome","When In Rome",1988-01-01,220960,77,false,,2024-07-09T02:45:34Z,"new wave,synthpop","Virgin",0.629,0.876,0,-10.141,1,0.0444,0.0864,0.0000772,0.0431,0.358,118.01,4
spotify:track:4d6eqRtpDX7tydHJGDZUBQ,"She Drives Me Crazy","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,215773,80,false,,2024-07-09T02:45:34Z,"","London Records (Because Ltd)",0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4
spotify:track:0T57cTUpYpvSvZ3GowBuTP,"Never Let Me Down Again","Music for the Masses (Deluxe)","Depeche Mode",1987-09-28,288120,71,false,,2024-07-09T02:45:34Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.584,0.897,0,-6.485,1,0.0359,0.297,0.0329,0.7,0.577,106.075,4
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,"Break My Stride","I Don't Speak The Language","Matthew Wilder",1983-03-19,184480,78,false,,2024-07-09T02:45:34Z,"","Legacy Recordings",0.917,0.588,10,-11.047,1,0.0607,0.195,0,0.0914,0.828,110.077,4
spotify:track:0odIT9B9BvOCnXfS0e4lB5,"Bette Davis Eyes","Mistaken Identity","Kim Carnes",1981-01-01,228000,82,false,,2024-07-09T02:45:34Z,"","Capitol Records",0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,4
spotify:track:2YiCMmONQcoMPX2bV1LxE0,"Everybody Wants To Rule The World","Songs From The Big Chair","Tears For Fears",1985-02-25,251480,85,false,,2024-07-09T02:45:34Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.631,0.821,7,-11.284,1,0.0555,0.336,0.00641,0.104,0.504,112.052,4
spotify:track:2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,79,false,,2024-07-09T02:45:34Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
spotify:track:2EGaDf0cPX789H3LNeB03D,"Cruel Summer","Bananarama (Collector's Edition)","Bananarama",1984-01-01,215326,74,false,,2024-07-09T02:45:34Z,"hi-nrg","London Records (Because Ltd)",0.666,0.871,1,-6.017,0,0.0272,0.27,0.0213,0.263,0.936,108.501,4
spotify:track:7ioy6ppmN9Rn8Pm5axNzUP,"Vienna - 2008 Remaster","Vienna (Remastered Definitive Edition)","Ultravox",1980-10-15,296160,61,false,,2024-07-09T02:45:34Z,"synthpop,new wave","Chrysalis Records",0.598,0.583,5,-10.242,1,0.0551,0.214,0.188,0.116,0.333,80.343,4
spotify:track:3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,78,false,,2024-07-09T02:45:34Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
spotify:track:6ZCyDN2ArlWB4GKAj644Cd,"Strangelove","The Singles 86-98","Depeche Mode",1998-09-28,225880,71,false,,2024-07-09T02:45:34Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.566,0.961,4,-3.46,0,0.0354,0.044,0.00106,0.352,0.866,118.988,4
spotify:track:5uRsBdLhn91AYcsTCOGNOC,"Sunglasses At Night","First Offense","Corey Hart",1983,320000,65,false,,2024-07-09T02:45:34Z,"synthpop","CAPITOL CATALOG MKT (C92)",0.665,0.624,10,-11.106,0,0.049,0.505,0.0104,0.518,0.717,127.083,4
spotify:track:43h4FonpCeaaURpFpiQsf9,"Hold Me Now","Into the Gap (Deluxe Edition)","Thompson Twins",1984-01-01,286226,72,false,,2024-07-09T02:45:34Z,"new wave,synthpop","BMG Rights Management (UK) Ltd.",0.787,0.616,7,-9.811,1,0.0324,0.601,0.0000156,0.0978,0.858,108.347,4
spotify:track:1ChulFMnwxoD74Me8eX2TU,"You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",2003-05-19,195146,73,false,,2024-07-09T02:45:34Z,"hi-nrg,synthpop","Epic",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - 2005 Remaster","Sweet Dreams (Are Made Of This)","Eurythmics;Annie Lennox;Dave Stewart",1983-01-04,216933,87,false,,2024-07-09T02:45:34Z,"new wave,synthpop","RCA Records Label",0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,90,false,,2024-07-09T02:45:34Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,87,false,,2024-07-09T02:45:34Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
spotify:track:5yR9u8QiOt8hJaddv32oo7,"I Feel for You","I Feel for You","Chaka Khan",1984,343400,67,false,,2024-07-09T02:45:34Z,"","Rhino/Warner Records",0.698,0.912,11,-8.993,1,0.0675,0.0145,0.0225,0.279,0.797,124.917,4
spotify:track:15ob9SMGLWrexuPuyuMjKl,"Gloria","The Best of Branigan","Laura Branigan",1995-06-06,295066,66,false,,2024-07-09T02:45:34Z,"","Atlantic Records",0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.875,131.338,4
spotify:track:78RIER8V6EhrqVPOBi2GYa,"Here Comes the Rain Again - Remastered Version","Touch (Reissue - Deluxe Edition)","Eurythmics;Annie Lennox;Dave Stewart",1983-11-14,294586,73,false,,2024-07-09T02:45:34Z,"new wave,synthpop","RCA Records Label",0.648,0.755,0,-7.901,1,0.03,0.0139,0.000253,0.225,0.607,126.341,4
spotify:track:4jhsuQCUCJKA5f0bXb6XdJ,"It's My Life - 1997 Remaster","It's My Life","Talk Talk",1984,232400,77,false,,2024-07-09T02:45:34Z,"new wave,synthpop","Parlophone UK",0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,4
spotify:track:2K22nUTdyr48JDwI5t906t,"Relax (Come Fighting)","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,236800,74,false,,2024-07-09T02:45:34Z,"synthpop,hi-nrg","ZTT Records",0.676,0.693,11,-13.396,0,0.0394,0.327,0.0000108,0.0462,0.688,114.934,4
spotify:track:3mGwufkovVPrzsJaXWg8PU,"Only You","Upstairs At Eric's","Yaz",1982,195506,63,false,,2024-07-09T02:45:34Z,"","Rhino/Warner Records",0.731,0.347,9,-16.691,1,0.0398,0.31,0.0000129,0.0946,0.855,105.791,4
spotify:track:6UBQONiLH8kNmmB8UrV2Ef,"Genius of Love","Tom Tom Club","Tom Tom Club",1981,334360,62,false,,2024-07-09T02:45:34Z,"","Rhino/Warner Records",0.921,0.529,2,-11.974,1,0.0851,0.0845,0.000779,0.0478,0.724,102.941,4
spotify:track:3yWAyRHfclztY1TzF2gAUD,"Always Something There to Remind Me - 2018 Remaster","Naked Eyes","Naked Eyes",1983-01-01,219373,67,false,,2024-07-09T02:45:34Z,"new wave,synthpop","Chrysalis Records",0.611,0.777,7,-5.853,1,0.0376,0.127,0,0.519,0.682,149.26,4
spotify:track:709ffFK4o4MtG1NKoLvOma,"Major Tom (Coming Home)","The Different Story (World Of Lust And Crime)","Peter Schilling",1989-04-11,301373,67,false,,2024-07-09T02:45:34Z,"neue deutsche welle,synthpop","WM Germany",0.787,0.42,4,-14.32,0,0.0645,0.153,0.164,0.169,0.838,161.247,4
spotify:track:38w6aqERgBYjyvWQsltcvs,"If You Leave - Remastered 2019","Souvenir","Orchestral Manoeuvres In The Dark",2019-10-04,269800,56,false,,2024-07-09T02:45:34Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.628,0.868,0,-4.924,1,0.0334,0.0686,0.0805,0.212,0.863,120.197,4
spotify:track:3LaHsdzzmvhx6TJedpomVy,"Kids In America","Kim Wilde","Kim Wilde",1981-06-29,206426,71,false,,2024-07-09T02:45:34Z,"","Cherry Red Records",0.56,0.654,4,-9.881,1,0.0458,0.0565,0,0.399,0.343,159.666,4
spotify:track:0qi4b1l0eT3jpzeNHeFXDT,"Just Can't Get Enough","Speak and Spell (Deluxe)","Depeche Mode",1981-11-02,220893,78,false,,2024-07-09T02:45:34Z,"new wave,synthpop,darkwave","Venusnote Ltd.",0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,4
spotify:track:2KY0QUeRY3IPuJI1gyU9BJ,"Steppin' Out","Night And Day","Joe Jackson",1982-01-01,268200,58,false,,2024-07-09T02:45:34Z,"new wave,power pop","A&M",0.579,0.223,11,-20.208,1,0.0364,0.0439,0.00232,0.0613,0.532,159.696,4
spotify:track:4dk40nfaQav6b4ZsJ9OYUo,"Love My Way","Forever Now","The Psychedelic Furs",1982,213973,71,false,,2024-07-09T02:45:34Z,"new wave,post-punk","Columbia",0.637,0.85,0,-5.054,1,0.0351,0.00487,0.00018,0.152,0.52,126.106,4
